instance_index,original_test_index,predicted_probability,SHAP_feature_1_name,SHAP_feature_1_rank,SHAP_feature_1_sign,SHAP_feature_1_value,SHAP_feature_2_name,SHAP_feature_2_rank,SHAP_feature_2_sign,SHAP_feature_2_value,SHAP_feature_3_name,SHAP_feature_3_rank,SHAP_feature_3_sign,SHAP_feature_3_value,other_feature_0_name,other_feature_0_mentioned,other_feature_0_value,other_feature_1_name,other_feature_1_mentioned,other_feature_1_value,other_feature_2_name,other_feature_2_mentioned,other_feature_2_value,other_feature_3_name,other_feature_3_mentioned,other_feature_3_value,other_feature_4_name,other_feature_4_mentioned,other_feature_4_value,other_feature_5_name,other_feature_5_mentioned,other_feature_5_value,other_feature_6_name,other_feature_6_mentioned,other_feature_6_value,other_feature_7_name,other_feature_7_mentioned,other_feature_7_value,other_feature_8_name,other_feature_8_mentioned,other_feature_8_value,other_feature_9_name,other_feature_9_mentioned,other_feature_9_value,other_feature_10_name,other_feature_10_mentioned,other_feature_10_value,other_feature_11_name,other_feature_11_mentioned,other_feature_11_value,other_feature_12_name,other_feature_12_mentioned,other_feature_12_value,other_feature_13_name,other_feature_13_mentioned,other_feature_13_value,other_feature_14_name,other_feature_14_mentioned,other_feature_14_value,other_feature_15_name,other_feature_15_mentioned,other_feature_15_value,other_feature_16_name,other_feature_16_mentioned,other_feature_16_value,other_feature_17_name,other_feature_17_mentioned,other_feature_17_value,other_feature_18_name,other_feature_18_mentioned,other_feature_18_value,other_feature_19_name,other_feature_19_mentioned,other_feature_19_value
10,983,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
11,958,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
12,444,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
13,672,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
14,622,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
15,416,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
16,143,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
17,782,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
18,112,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
19,339,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
20,645,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
21,624,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
22,188,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
23,938,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
24,878,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
25,706,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
26,369,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
27,569,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
28,790,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
29,489,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
30,108,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
31,875,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
32,443,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
33,60,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
34,536,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
35,166,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
36,887,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
37,585,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
38,804,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
39,501,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
40,319,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
41,287,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
42,192,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
43,835,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
44,931,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
45,141,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
46,205,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
47,146,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
48,927,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
49,972,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
50,373,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
51,578,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
52,610,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
53,503,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
54,809,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
55,775,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
56,889,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
57,94,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
58,848,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
59,310,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
60,297,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
61,587,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
62,9,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
63,853,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
64,450,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
65,199,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
66,525,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
67,979,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
68,125,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
69,67,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
70,375,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
71,148,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
72,248,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
73,51,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
74,885,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
75,461,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
76,72,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
77,581,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
78,739,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
79,226,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
80,822,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
81,720,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
82,980,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
83,301,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
84,359,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
85,11,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
86,405,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
87,307,,,,,,,,,,,,,,status,,,duration,,,credit_history,,,purpose,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
