instance_index,original_test_index,predicted_probability,SHAP_feature_1_name,SHAP_feature_1_rank,SHAP_feature_1_sign,SHAP_feature_1_value,SHAP_feature_2_name,SHAP_feature_2_rank,SHAP_feature_2_sign,SHAP_feature_2_value,SHAP_feature_3_name,SHAP_feature_3_rank,SHAP_feature_3_sign,SHAP_feature_3_value,other_feature_0_name,other_feature_0_value,other_feature_1_name,other_feature_1_value,other_feature_2_name,other_feature_2_value,other_feature_3_name,other_feature_3_value,other_feature_4_name,other_feature_4_value,other_feature_5_name,other_feature_5_value,other_feature_6_name,other_feature_6_value,other_feature_7_name,other_feature_7_value,other_feature_8_name,other_feature_8_value,other_feature_9_name,other_feature_9_value,other_feature_10_name,other_feature_10_value,other_feature_11_name,other_feature_11_value,other_feature_12_name,other_feature_12_value,other_feature_13_name,other_feature_13_value,other_feature_14_name,other_feature_14_value,other_feature_15_name,other_feature_15_value,other_feature_16_name,other_feature_16_value,other_feature_17_name,other_feature_17_value,other_feature_18_name,other_feature_18_value,other_feature_19_name,other_feature_19_value,other_feature_20_name,other_feature_20_value,other_feature_21_name,other_feature_21_value,other_feature_22_name,other_feature_22_value,other_feature_23_name,other_feature_23_value,other_feature_24_name,other_feature_24_value,other_feature_25_name,other_feature_25_value
10,477,0.68,Training_programs_During_last_three_years,1,-1,3.0,Job_Opportunities,2,1,1.0,Years_Experience,3,1,2.0,Academic_degree,2.0,Years_experience_lastorganization,1.0,Sector,1.0,MonthlySalary,2.0,MedicalInsurance,1.0,Bonus,1.0,OverTime,0.0,Payment_Overtime,0.0,Rewards_Wages_Satisfaction,1.0,Get_Deserved_Promotion,1.0,Useful_Training_Programs,1.0,Business_Travel,1.0,Job_Support,2.0,Recognition,1.0,Emotional_Commitment,2.0,Job_Engagement,1.0,Distance_to_work,2.0,Work_Live_Balance,2.0,Physical_Stress,0.0,Psychological_Exhaustion,2.0,Job_Stability,0.0,Environment_Satisfaction,2.0,Job_Satisfaction,1.0,Gender,1.0,Age,2.0,Health_Issues,0.0
11,398,0.8,Years_Experience,1,1,1.0,Years_experience_lastorganization,2,1,0.0,Job_Opportunities,3,1,1.0,Academic_degree,0.0,Sector,5.0,MonthlySalary,0.0,MedicalInsurance,1.0,Bonus,0.0,OverTime,0.0,Payment_Overtime,0.0,Rewards_Wages_Satisfaction,0.0,Get_Deserved_Promotion,0.0,Training_programs_During_last_three_years,0.0,Useful_Training_Programs,0.0,Business_Travel,0.0,Job_Support,0.0,Recognition,1.0,Emotional_Commitment,0.0,Job_Engagement,1.0,Distance_to_work,0.0,Work_Live_Balance,2.0,Physical_Stress,2.0,Psychological_Exhaustion,2.0,Job_Stability,0.0,Environment_Satisfaction,1.0,Job_Satisfaction,2.0,Gender,0.0,Age,1.0,Health_Issues,0.0
12,160,0.66,Years_Experience,1,-1,0.0,Job_Opportunities,2,1,1.0,Job_Stability,3,1,0.0,Academic_degree,1.0,Years_experience_lastorganization,0.0,Sector,2.0,MonthlySalary,1.0,MedicalInsurance,1.0,Bonus,0.0,OverTime,0.0,Payment_Overtime,0.0,Rewards_Wages_Satisfaction,1.0,Get_Deserved_Promotion,0.0,Training_programs_During_last_three_years,0.0,Useful_Training_Programs,0.0,Business_Travel,0.0,Job_Support,1.0,Recognition,0.0,Emotional_Commitment,1.0,Job_Engagement,1.0,Distance_to_work,1.0,Work_Live_Balance,1.0,Physical_Stress,1.0,Psychological_Exhaustion,0.0,Environment_Satisfaction,1.0,Job_Satisfaction,1.0,Gender,0.0,Age,1.0,Health_Issues,0.0
13,603,0.52,Job_Opportunities,1,-1,0.0,Years_experience_lastorganization,2,-1,1.0,Years_Experience,3,1,1.0,Academic_degree,1.0,Sector,1.0,MonthlySalary,1.0,MedicalInsurance,1.0,Bonus,0.0,OverTime,0.0,Payment_Overtime,0.0,Rewards_Wages_Satisfaction,0.0,Get_Deserved_Promotion,0.0,Training_programs_During_last_three_years,2.0,Useful_Training_Programs,1.0,Business_Travel,0.0,Job_Support,1.0,Recognition,1.0,Emotional_Commitment,0.0,Job_Engagement,2.0,Distance_to_work,0.0,Work_Live_Balance,1.0,Physical_Stress,0.0,Psychological_Exhaustion,1.0,Job_Stability,0.0,Environment_Satisfaction,1.0,Job_Satisfaction,1.0,Gender,0.0,Age,1.0,Health_Issues,0.0
14,190,0.71,Years_Experience,1,1,1.0,Years_experience_lastorganization,2,1,0.0,Job_Opportunities,3,-1,0.0,Academic_degree,1.0,Sector,3.0,MonthlySalary,0.0,MedicalInsurance,0.0,Bonus,0.0,OverTime,0.0,Payment_Overtime,0.0,Rewards_Wages_Satisfaction,0.0,Get_Deserved_Promotion,0.0,Training_programs_During_last_three_years,1.0,Useful_Training_Programs,1.0,Business_Travel,0.0,Job_Support,0.0,Recognition,0.0,Emotional_Commitment,0.0,Job_Engagement,0.0,Distance_to_work,1.0,Work_Live_Balance,1.0,Physical_Stress,0.0,Psychological_Exhaustion,0.0,Job_Stability,0.0,Environment_Satisfaction,0.0,Job_Satisfaction,0.0,Gender,0.0,Age,1.0,Health_Issues,0.0
15,1004,0.73,Years_Experience,1,1,1.0,Years_experience_lastorganization,2,1,0.0,Job_Opportunities,3,1,1.0,Academic_degree,1.0,Sector,2.0,MonthlySalary,1.0,MedicalInsurance,1.0,Bonus,1.0,OverTime,1.0,Payment_Overtime,2.0,Rewards_Wages_Satisfaction,0.0,Get_Deserved_Promotion,0.0,Training_programs_During_last_three_years,1.0,Useful_Training_Programs,1.0,Business_Travel,0.0,Job_Support,1.0,Recognition,0.0,Emotional_Commitment,2.0,Job_Engagement,1.0,Distance_to_work,2.0,Work_Live_Balance,1.0,Physical_Stress,2.0,Psychological_Exhaustion,2.0,Job_Stability,1.0,Environment_Satisfaction,1.0,Job_Satisfaction,0.0,Gender,1.0,Age,1.0,Health_Issues,0.0
16,285,0.6,Years_Experience,1,1,1.0,Years_experience_lastorganization,2,1,0.0,Job_Opportunities,3,-1,0.0,Academic_degree,0.0,Sector,4.0,MonthlySalary,0.0,MedicalInsurance,1.0,Bonus,1.0,OverTime,1.0,Payment_Overtime,2.0,Rewards_Wages_Satisfaction,0.0,Get_Deserved_Promotion,1.0,Training_programs_During_last_three_years,1.0,Useful_Training_Programs,1.0,Business_Travel,0.0,Job_Support,1.0,Recognition,1.0,Emotional_Commitment,1.0,Job_Engagement,2.0,Distance_to_work,0.0,Work_Live_Balance,1.0,Physical_Stress,1.0,Psychological_Exhaustion,1.0,Job_Stability,0.0,Environment_Satisfaction,2.0,Job_Satisfaction,1.0,Gender,1.0,Age,0.0,Health_Issues,0.0
17,207,0.68,Job_Opportunities,1,1,1.0,Years_experience_lastorganization,2,-1,1.0,Years_Experience,3,1,2.0,Academic_degree,1.0,Sector,1.0,MonthlySalary,0.0,MedicalInsurance,1.0,Bonus,0.0,OverTime,0.0,Payment_Overtime,0.0,Rewards_Wages_Satisfaction,0.0,Get_Deserved_Promotion,0.0,Training_programs_During_last_three_years,0.0,Useful_Training_Programs,0.0,Business_Travel,0.0,Job_Support,0.0,Recognition,0.0,Emotional_Commitment,0.0,Job_Engagement,1.0,Distance_to_work,2.0,Work_Live_Balance,1.0,Physical_Stress,0.0,Psychological_Exhaustion,1.0,Job_Stability,0.0,Environment_Satisfaction,0.0,Job_Satisfaction,2.0,Gender,0.0,Age,0.0,Health_Issues,0.0
18,347,0.9,Years_Experience,1,1,1.0,Job_Opportunities,2,1,1.0,Years_experience_lastorganization,3,1,0.0,Academic_degree,1.0,Sector,1.0,MonthlySalary,2.0,MedicalInsurance,1.0,Bonus,0.0,OverTime,0.0,Payment_Overtime,0.0,Rewards_Wages_Satisfaction,0.0,Get_Deserved_Promotion,0.0,Training_programs_During_last_three_years,1.0,Useful_Training_Programs,1.0,Business_Travel,1.0,Job_Support,1.0,Recognition,1.0,Emotional_Commitment,1.0,Job_Engagement,1.0,Distance_to_work,1.0,Work_Live_Balance,2.0,Physical_Stress,2.0,Psychological_Exhaustion,2.0,Job_Stability,0.0,Environment_Satisfaction,2.0,Job_Satisfaction,0.0,Gender,1.0,Age,1.0,Health_Issues,0.0
19,1107,0.96,Years_Experience,1,1,2.0,Job_Opportunities,2,1,1.0,Years_experience_lastorganization,3,1,0.0,Academic_degree,1.0,Sector,1.0,MonthlySalary,1.0,MedicalInsurance,1.0,Bonus,0.0,OverTime,1.0,Payment_Overtime,2.0,Rewards_Wages_Satisfaction,0.0,Get_Deserved_Promotion,0.0,Training_programs_During_last_three_years,0.0,Useful_Training_Programs,0.0,Business_Travel,0.0,Job_Support,0.0,Recognition,0.0,Emotional_Commitment,1.0,Job_Engagement,1.0,Distance_to_work,2.0,Work_Live_Balance,1.0,Physical_Stress,2.0,Psychological_Exhaustion,2.0,Job_Stability,0.0,Environment_Satisfaction,0.0,Job_Satisfaction,0.0,Gender,1.0,Age,1.0,Health_Issues,0.0
20,544,0.88,Years_Experience,1,1,1.0,Job_Opportunities,2,1,1.0,Years_experience_lastorganization,3,1,0.0,Academic_degree,0.0,Sector,5.0,MonthlySalary,1.0,MedicalInsurance,1.0,Bonus,0.0,OverTime,1.0,Payment_Overtime,1.0,Rewards_Wages_Satisfaction,0.0,Get_Deserved_Promotion,0.0,Training_programs_During_last_three_years,1.0,Useful_Training_Programs,1.0,Business_Travel,1.0,Job_Support,1.0,Recognition,1.0,Emotional_Commitment,1.0,Job_Engagement,2.0,Distance_to_work,1.0,Work_Live_Balance,1.0,Physical_Stress,0.0,Psychological_Exhaustion,1.0,Job_Stability,0.0,Environment_Satisfaction,1.0,Job_Satisfaction,1.0,Gender,1.0,Age,0.0,Health_Issues,0.0
21,579,0.61,Job_Opportunities,1,1,1.0,Training_programs_During_last_three_years,2,1,1.0,Years_Experience,3,1,1.0,Academic_degree,2.0,Years_experience_lastorganization,1.0,Sector,1.0,MonthlySalary,1.0,MedicalInsurance,1.0,Bonus,0.0,OverTime,0.0,Payment_Overtime,0.0,Rewards_Wages_Satisfaction,1.0,Get_Deserved_Promotion,1.0,Useful_Training_Programs,1.0,Business_Travel,0.0,Job_Support,2.0,Recognition,1.0,Emotional_Commitment,2.0,Job_Engagement,2.0,Distance_to_work,1.0,Work_Live_Balance,1.0,Physical_Stress,2.0,Psychological_Exhaustion,2.0,Job_Stability,1.0,Environment_Satisfaction,1.0,Job_Satisfaction,1.0,Gender,1.0,Age,1.0,Health_Issues,0.0
22,921,0.58,Years_Experience,1,-1,0.0,Job_Opportunities,2,1,1.0,Years_experience_lastorganization,3,1,0.0,Academic_degree,1.0,Sector,2.0,MonthlySalary,1.0,MedicalInsurance,1.0,Bonus,1.0,OverTime,0.0,Payment_Overtime,0.0,Rewards_Wages_Satisfaction,1.0,Get_Deserved_Promotion,0.0,Training_programs_During_last_three_years,1.0,Useful_Training_Programs,1.0,Business_Travel,0.0,Job_Support,0.0,Recognition,1.0,Emotional_Commitment,1.0,Job_Engagement,2.0,Distance_to_work,1.0,Work_Live_Balance,1.0,Physical_Stress,0.0,Psychological_Exhaustion,1.0,Job_Stability,0.0,Environment_Satisfaction,1.0,Job_Satisfaction,1.0,Gender,0.0,Age,0.0,Health_Issues,0.0
23,860,0.51,Years_Experience,1,-1,0.0,Job_Opportunities,2,1,1.0,Years_experience_lastorganization,3,1,0.0,Academic_degree,1.0,Sector,5.0,MonthlySalary,0.0,MedicalInsurance,1.0,Bonus,0.0,OverTime,1.0,Payment_Overtime,1.0,Rewards_Wages_Satisfaction,0.0,Get_Deserved_Promotion,0.0,Training_programs_During_last_three_years,1.0,Useful_Training_Programs,1.0,Business_Travel,0.0,Job_Support,1.0,Recognition,0.0,Emotional_Commitment,1.0,Job_Engagement,1.0,Distance_to_work,1.0,Work_Live_Balance,2.0,Physical_Stress,2.0,Psychological_Exhaustion,2.0,Job_Stability,0.0,Environment_Satisfaction,1.0,Job_Satisfaction,0.0,Gender,0.0,Age,0.0,Health_Issues,0.0
24,1140,0.52,Job_Opportunities,1,1,1.0,Years_experience_lastorganization,2,-1,1.0,Years_Experience,3,1,2.0,Academic_degree,2.0,Sector,2.0,MonthlySalary,0.0,MedicalInsurance,1.0,Bonus,1.0,OverTime,1.0,Payment_Overtime,2.0,Rewards_Wages_Satisfaction,0.0,Get_Deserved_Promotion,1.0,Training_programs_During_last_three_years,1.0,Useful_Training_Programs,1.0,Business_Travel,1.0,Job_Support,1.0,Recognition,1.0,Emotional_Commitment,1.0,Job_Engagement,1.0,Distance_to_work,1.0,Work_Live_Balance,1.0,Physical_Stress,1.0,Psychological_Exhaustion,0.0,Job_Stability,0.0,Environment_Satisfaction,1.0,Job_Satisfaction,1.0,Gender,1.0,Age,1.0,Health_Issues,0.0
25,412,0.86,Years_Experience,1,1,2.0,Years_experience_lastorganization,2,1,0.0,Job_Opportunities,3,1,1.0,Academic_degree,0.0,Sector,1.0,MonthlySalary,0.0,MedicalInsurance,0.0,Bonus,1.0,OverTime,1.0,Payment_Overtime,2.0,Rewards_Wages_Satisfaction,0.0,Get_Deserved_Promotion,0.0,Training_programs_During_last_three_years,1.0,Useful_Training_Programs,1.0,Business_Travel,0.0,Job_Support,1.0,Recognition,0.0,Emotional_Commitment,1.0,Job_Engagement,1.0,Distance_to_work,2.0,Work_Live_Balance,1.0,Physical_Stress,2.0,Psychological_Exhaustion,2.0,Job_Stability,0.0,Environment_Satisfaction,1.0,Job_Satisfaction,1.0,Gender,1.0,Age,1.0,Health_Issues,0.0
26,438,0.76,Years_Experience,1,1,2.0,Years_experience_lastorganization,2,1,0.0,Job_Opportunities,3,1,1.0,Academic_degree,1.0,Sector,4.0,MonthlySalary,1.0,MedicalInsurance,1.0,Bonus,0.0,OverTime,1.0,Payment_Overtime,2.0,Rewards_Wages_Satisfaction,0.0,Get_Deserved_Promotion,0.0,Training_programs_During_last_three_years,2.0,Useful_Training_Programs,1.0,Business_Travel,1.0,Job_Support,2.0,Recognition,0.0,Emotional_Commitment,1.0,Job_Engagement,2.0,Distance_to_work,1.0,Work_Live_Balance,1.0,Physical_Stress,2.0,Psychological_Exhaustion,2.0,Job_Stability,0.0,Environment_Satisfaction,1.0,Job_Satisfaction,1.0,Gender,1.0,Age,2.0,Health_Issues,0.0
27,587,0.84,Job_Opportunities,1,1,1.0,Years_Experience,2,1,1.0,Sector,3,1,1.0,Academic_degree,1.0,Years_experience_lastorganization,1.0,MonthlySalary,1.0,MedicalInsurance,1.0,Bonus,0.0,OverTime,0.0,Payment_Overtime,0.0,Rewards_Wages_Satisfaction,0.0,Get_Deserved_Promotion,0.0,Training_programs_During_last_three_years,1.0,Useful_Training_Programs,1.0,Business_Travel,0.0,Job_Support,1.0,Recognition,1.0,Emotional_Commitment,2.0,Job_Engagement,2.0,Distance_to_work,1.0,Work_Live_Balance,1.0,Physical_Stress,0.0,Psychological_Exhaustion,0.0,Job_Stability,1.0,Environment_Satisfaction,1.0,Job_Satisfaction,1.0,Gender,0.0,Age,0.0,Health_Issues,0.0
28,356,0.52,Years_Experience,1,1,1.0,Job_Opportunities,2,-1,0.0,Years_experience_lastorganization,3,1,0.0,Academic_degree,0.0,Sector,5.0,MonthlySalary,0.0,MedicalInsurance,1.0,Bonus,0.0,OverTime,0.0,Payment_Overtime,2.0,Rewards_Wages_Satisfaction,0.0,Get_Deserved_Promotion,0.0,Training_programs_During_last_three_years,0.0,Useful_Training_Programs,0.0,Business_Travel,0.0,Job_Support,2.0,Recognition,1.0,Emotional_Commitment,2.0,Job_Engagement,0.0,Distance_to_work,0.0,Work_Live_Balance,2.0,Physical_Stress,2.0,Psychological_Exhaustion,2.0,Job_Stability,1.0,Environment_Satisfaction,2.0,Job_Satisfaction,2.0,Gender,0.0,Age,0.0,Health_Issues,0.0
29,997,0.61,Years_Experience,1,-1,0.0,Job_Opportunities,2,1,1.0,Years_experience_lastorganization,3,1,0.0,Academic_degree,1.0,Sector,5.0,MonthlySalary,0.0,MedicalInsurance,1.0,Bonus,0.0,OverTime,1.0,Payment_Overtime,2.0,Rewards_Wages_Satisfaction,0.0,Get_Deserved_Promotion,0.0,Training_programs_During_last_three_years,1.0,Useful_Training_Programs,1.0,Business_Travel,0.0,Job_Support,1.0,Recognition,0.0,Emotional_Commitment,1.0,Job_Engagement,2.0,Distance_to_work,1.0,Work_Live_Balance,2.0,Physical_Stress,1.0,Psychological_Exhaustion,2.0,Job_Stability,0.0,Environment_Satisfaction,1.0,Job_Satisfaction,0.0,Gender,0.0,Age,0.0,Health_Issues,0.0
30,941,0.79,Job_Opportunities,1,1,1.0,Years_Experience,2,1,1.0,Years_experience_lastorganization,3,1,0.0,Academic_degree,1.0,Sector,4.0,MonthlySalary,3.0,MedicalInsurance,1.0,Bonus,1.0,OverTime,0.0,Payment_Overtime,0.0,Rewards_Wages_Satisfaction,1.0,Get_Deserved_Promotion,1.0,Training_programs_During_last_three_years,2.0,Useful_Training_Programs,1.0,Business_Travel,1.0,Job_Support,1.0,Recognition,1.0,Emotional_Commitment,1.0,Job_Engagement,1.0,Distance_to_work,0.0,Work_Live_Balance,2.0,Physical_Stress,0.0,Psychological_Exhaustion,2.0,Job_Stability,1.0,Environment_Satisfaction,1.0,Job_Satisfaction,1.0,Gender,1.0,Age,1.0,Health_Issues,1.0
31,1032,0.67,Job_Opportunities,1,1,1.0,Years_Experience,2,-1,0.0,Sector,3,1,1.0,Academic_degree,2.0,Years_experience_lastorganization,0.0,MonthlySalary,1.0,MedicalInsurance,0.0,Bonus,1.0,OverTime,1.0,Payment_Overtime,2.0,Rewards_Wages_Satisfaction,1.0,Get_Deserved_Promotion,0.0,Training_programs_During_last_three_years,1.0,Useful_Training_Programs,1.0,Business_Travel,0.0,Job_Support,1.0,Recognition,1.0,Emotional_Commitment,1.0,Job_Engagement,0.0,Distance_to_work,0.0,Work_Live_Balance,1.0,Physical_Stress,1.0,Psychological_Exhaustion,1.0,Job_Stability,0.0,Environment_Satisfaction,1.0,Job_Satisfaction,1.0,Gender,0.0,Age,0.0,Health_Issues,0.0
32,62,0.58,Years_Experience,1,1,2.0,Job_Opportunities,2,-1,0.0,Years_experience_lastorganization,3,1,0.0,Academic_degree,0.0,Sector,4.0,MonthlySalary,1.0,MedicalInsurance,1.0,Bonus,0.0,OverTime,0.0,Payment_Overtime,1.0,Rewards_Wages_Satisfaction,0.0,Get_Deserved_Promotion,0.0,Training_programs_During_last_three_years,1.0,Useful_Training_Programs,1.0,Business_Travel,1.0,Job_Support,1.0,Recognition,1.0,Emotional_Commitment,0.0,Job_Engagement,2.0,Distance_to_work,0.0,Work_Live_Balance,2.0,Physical_Stress,2.0,Psychological_Exhaustion,2.0,Job_Stability,0.0,Environment_Satisfaction,2.0,Job_Satisfaction,2.0,Gender,1.0,Age,1.0,Health_Issues,0.0
