instance_index,original_test_index,predicted_probability,SHAP_feature_1_name,SHAP_feature_1_rank,SHAP_feature_1_sign,SHAP_feature_1_value,SHAP_feature_2_name,SHAP_feature_2_rank,SHAP_feature_2_sign,SHAP_feature_2_value,SHAP_feature_3_name,SHAP_feature_3_rank,SHAP_feature_3_sign,SHAP_feature_3_value,other_feature_0_name,other_feature_0_mentioned,other_feature_0_value,other_feature_1_name,other_feature_1_mentioned,other_feature_1_value,other_feature_2_name,other_feature_2_mentioned,other_feature_2_value,other_feature_3_name,other_feature_3_mentioned,other_feature_3_value,other_feature_4_name,other_feature_4_mentioned,other_feature_4_value,other_feature_5_name,other_feature_5_mentioned,other_feature_5_value,other_feature_6_name,other_feature_6_mentioned,other_feature_6_value,other_feature_7_name,other_feature_7_mentioned,other_feature_7_value,other_feature_8_name,other_feature_8_mentioned,other_feature_8_value,other_feature_9_name,other_feature_9_mentioned,other_feature_9_value,other_feature_10_name,other_feature_10_mentioned,other_feature_10_value,other_feature_11_name,other_feature_11_mentioned,other_feature_11_value,other_feature_12_name,other_feature_12_mentioned,other_feature_12_value,other_feature_13_name,other_feature_13_mentioned,other_feature_13_value,other_feature_14_name,other_feature_14_mentioned,other_feature_14_value,other_feature_15_name,other_feature_15_mentioned,other_feature_15_value,other_feature_16_name,other_feature_16_mentioned,other_feature_16_value,other_feature_17_name,other_feature_17_mentioned,other_feature_17_value,other_feature_18_name,other_feature_18_mentioned,other_feature_18_value,other_feature_19_name,other_feature_19_mentioned,other_feature_19_value,other_feature_20_name,other_feature_20_mentioned,other_feature_20_value,other_feature_21_name,other_feature_21_mentioned,other_feature_21_value,other_feature_22_name,other_feature_22_mentioned,other_feature_22_value,other_feature_23_name,other_feature_23_mentioned,other_feature_23_value,other_feature_24_name,other_feature_24_mentioned,other_feature_24_value,other_feature_25_name,other_feature_25_mentioned,other_feature_25_value,other_feature_26_name,other_feature_26_mentioned,other_feature_26_value,other_feature_27_name,other_feature_27_mentioned,other_feature_27_value,other_feature_28_name,other_feature_28_mentioned,other_feature_28_value
10,477,,,,,,,,,,,,,,Years_Experience,,,Job_Opportunities,,,Years_experience_lastorganization,,,Academic_degree,,,Sector,,,MonthlySalary,,,MedicalInsurance,,,Bonus,,,OverTime,,,Payment_Overtime,,,Rewards_Wages_Satisfaction,,,Get_Deserved_Promotion,,,Training_programs_During_last_three_years,,,Useful_Training_Programs,,,Business_Travel,,,Job_Support,,,Recognition,,,Emotional_Commitment,,,Job_Engagement,,,Distance_to_work,,,Work_Live_Balance,,,Physical_Stress,,,Psychological_Exhaustion,,,Job_Stability,,,Environment_Satisfaction,,,Job_Satisfaction,,,Gender,,,Age,,,Health_Issues,,
11,398,,,,,,,,,,,,,,Years_Experience,,,Job_Opportunities,,,Years_experience_lastorganization,,,Academic_degree,,,Sector,,,MonthlySalary,,,MedicalInsurance,,,Bonus,,,OverTime,,,Payment_Overtime,,,Rewards_Wages_Satisfaction,,,Get_Deserved_Promotion,,,Training_programs_During_last_three_years,,,Useful_Training_Programs,,,Business_Travel,,,Job_Support,,,Recognition,,,Emotional_Commitment,,,Job_Engagement,,,Distance_to_work,,,Work_Live_Balance,,,Physical_Stress,,,Psychological_Exhaustion,,,Job_Stability,,,Environment_Satisfaction,,,Job_Satisfaction,,,Gender,,,Age,,,Health_Issues,,
12,160,,,,,,,,,,,,,,Years_Experience,,,Job_Opportunities,,,Years_experience_lastorganization,,,Academic_degree,,,Sector,,,MonthlySalary,,,MedicalInsurance,,,Bonus,,,OverTime,,,Payment_Overtime,,,Rewards_Wages_Satisfaction,,,Get_Deserved_Promotion,,,Training_programs_During_last_three_years,,,Useful_Training_Programs,,,Business_Travel,,,Job_Support,,,Recognition,,,Emotional_Commitment,,,Job_Engagement,,,Distance_to_work,,,Work_Live_Balance,,,Physical_Stress,,,Psychological_Exhaustion,,,Job_Stability,,,Environment_Satisfaction,,,Job_Satisfaction,,,Gender,,,Age,,,Health_Issues,,
13,603,,,,,,,,,,,,,,Years_Experience,,,Job_Opportunities,,,Years_experience_lastorganization,,,Academic_degree,,,Sector,,,MonthlySalary,,,MedicalInsurance,,,Bonus,,,OverTime,,,Payment_Overtime,,,Rewards_Wages_Satisfaction,,,Get_Deserved_Promotion,,,Training_programs_During_last_three_years,,,Useful_Training_Programs,,,Business_Travel,,,Job_Support,,,Recognition,,,Emotional_Commitment,,,Job_Engagement,,,Distance_to_work,,,Work_Live_Balance,,,Physical_Stress,,,Psychological_Exhaustion,,,Job_Stability,,,Environment_Satisfaction,,,Job_Satisfaction,,,Gender,,,Age,,,Health_Issues,,
14,190,,,,,,,,,,,,,,Years_Experience,,,Job_Opportunities,,,Years_experience_lastorganization,,,Academic_degree,,,Sector,,,MonthlySalary,,,MedicalInsurance,,,Bonus,,,OverTime,,,Payment_Overtime,,,Rewards_Wages_Satisfaction,,,Get_Deserved_Promotion,,,Training_programs_During_last_three_years,,,Useful_Training_Programs,,,Business_Travel,,,Job_Support,,,Recognition,,,Emotional_Commitment,,,Job_Engagement,,,Distance_to_work,,,Work_Live_Balance,,,Physical_Stress,,,Psychological_Exhaustion,,,Job_Stability,,,Environment_Satisfaction,,,Job_Satisfaction,,,Gender,,,Age,,,Health_Issues,,
15,1004,,,,,,,,,,,,,,Years_Experience,,,Job_Opportunities,,,Years_experience_lastorganization,,,Academic_degree,,,Sector,,,MonthlySalary,,,MedicalInsurance,,,Bonus,,,OverTime,,,Payment_Overtime,,,Rewards_Wages_Satisfaction,,,Get_Deserved_Promotion,,,Training_programs_During_last_three_years,,,Useful_Training_Programs,,,Business_Travel,,,Job_Support,,,Recognition,,,Emotional_Commitment,,,Job_Engagement,,,Distance_to_work,,,Work_Live_Balance,,,Physical_Stress,,,Psychological_Exhaustion,,,Job_Stability,,,Environment_Satisfaction,,,Job_Satisfaction,,,Gender,,,Age,,,Health_Issues,,
16,285,,,,,,,,,,,,,,Years_Experience,,,Job_Opportunities,,,Years_experience_lastorganization,,,Academic_degree,,,Sector,,,MonthlySalary,,,MedicalInsurance,,,Bonus,,,OverTime,,,Payment_Overtime,,,Rewards_Wages_Satisfaction,,,Get_Deserved_Promotion,,,Training_programs_During_last_three_years,,,Useful_Training_Programs,,,Business_Travel,,,Job_Support,,,Recognition,,,Emotional_Commitment,,,Job_Engagement,,,Distance_to_work,,,Work_Live_Balance,,,Physical_Stress,,,Psychological_Exhaustion,,,Job_Stability,,,Environment_Satisfaction,,,Job_Satisfaction,,,Gender,,,Age,,,Health_Issues,,
17,207,,,,,,,,,,,,,,Years_Experience,,,Job_Opportunities,,,Years_experience_lastorganization,,,Academic_degree,,,Sector,,,MonthlySalary,,,MedicalInsurance,,,Bonus,,,OverTime,,,Payment_Overtime,,,Rewards_Wages_Satisfaction,,,Get_Deserved_Promotion,,,Training_programs_During_last_three_years,,,Useful_Training_Programs,,,Business_Travel,,,Job_Support,,,Recognition,,,Emotional_Commitment,,,Job_Engagement,,,Distance_to_work,,,Work_Live_Balance,,,Physical_Stress,,,Psychological_Exhaustion,,,Job_Stability,,,Environment_Satisfaction,,,Job_Satisfaction,,,Gender,,,Age,,,Health_Issues,,
18,347,,,,,,,,,,,,,,Years_Experience,,,Job_Opportunities,,,Years_experience_lastorganization,,,Academic_degree,,,Sector,,,MonthlySalary,,,MedicalInsurance,,,Bonus,,,OverTime,,,Payment_Overtime,,,Rewards_Wages_Satisfaction,,,Get_Deserved_Promotion,,,Training_programs_During_last_three_years,,,Useful_Training_Programs,,,Business_Travel,,,Job_Support,,,Recognition,,,Emotional_Commitment,,,Job_Engagement,,,Distance_to_work,,,Work_Live_Balance,,,Physical_Stress,,,Psychological_Exhaustion,,,Job_Stability,,,Environment_Satisfaction,,,Job_Satisfaction,,,Gender,,,Age,,,Health_Issues,,
19,1107,,,,,,,,,,,,,,Years_Experience,,,Job_Opportunities,,,Years_experience_lastorganization,,,Academic_degree,,,Sector,,,MonthlySalary,,,MedicalInsurance,,,Bonus,,,OverTime,,,Payment_Overtime,,,Rewards_Wages_Satisfaction,,,Get_Deserved_Promotion,,,Training_programs_During_last_three_years,,,Useful_Training_Programs,,,Business_Travel,,,Job_Support,,,Recognition,,,Emotional_Commitment,,,Job_Engagement,,,Distance_to_work,,,Work_Live_Balance,,,Physical_Stress,,,Psychological_Exhaustion,,,Job_Stability,,,Environment_Satisfaction,,,Job_Satisfaction,,,Gender,,,Age,,,Health_Issues,,
20,544,,,,,,,,,,,,,,Years_Experience,,,Job_Opportunities,,,Years_experience_lastorganization,,,Academic_degree,,,Sector,,,MonthlySalary,,,MedicalInsurance,,,Bonus,,,OverTime,,,Payment_Overtime,,,Rewards_Wages_Satisfaction,,,Get_Deserved_Promotion,,,Training_programs_During_last_three_years,,,Useful_Training_Programs,,,Business_Travel,,,Job_Support,,,Recognition,,,Emotional_Commitment,,,Job_Engagement,,,Distance_to_work,,,Work_Live_Balance,,,Physical_Stress,,,Psychological_Exhaustion,,,Job_Stability,,,Environment_Satisfaction,,,Job_Satisfaction,,,Gender,,,Age,,,Health_Issues,,
21,579,,,,,,,,,,,,,,Years_Experience,,,Job_Opportunities,,,Years_experience_lastorganization,,,Academic_degree,,,Sector,,,MonthlySalary,,,MedicalInsurance,,,Bonus,,,OverTime,,,Payment_Overtime,,,Rewards_Wages_Satisfaction,,,Get_Deserved_Promotion,,,Training_programs_During_last_three_years,,,Useful_Training_Programs,,,Business_Travel,,,Job_Support,,,Recognition,,,Emotional_Commitment,,,Job_Engagement,,,Distance_to_work,,,Work_Live_Balance,,,Physical_Stress,,,Psychological_Exhaustion,,,Job_Stability,,,Environment_Satisfaction,,,Job_Satisfaction,,,Gender,,,Age,,,Health_Issues,,
22,921,,,,,,,,,,,,,,Years_Experience,,,Job_Opportunities,,,Years_experience_lastorganization,,,Academic_degree,,,Sector,,,MonthlySalary,,,MedicalInsurance,,,Bonus,,,OverTime,,,Payment_Overtime,,,Rewards_Wages_Satisfaction,,,Get_Deserved_Promotion,,,Training_programs_During_last_three_years,,,Useful_Training_Programs,,,Business_Travel,,,Job_Support,,,Recognition,,,Emotional_Commitment,,,Job_Engagement,,,Distance_to_work,,,Work_Live_Balance,,,Physical_Stress,,,Psychological_Exhaustion,,,Job_Stability,,,Environment_Satisfaction,,,Job_Satisfaction,,,Gender,,,Age,,,Health_Issues,,
23,860,,,,,,,,,,,,,,Years_Experience,,,Job_Opportunities,,,Years_experience_lastorganization,,,Academic_degree,,,Sector,,,MonthlySalary,,,MedicalInsurance,,,Bonus,,,OverTime,,,Payment_Overtime,,,Rewards_Wages_Satisfaction,,,Get_Deserved_Promotion,,,Training_programs_During_last_three_years,,,Useful_Training_Programs,,,Business_Travel,,,Job_Support,,,Recognition,,,Emotional_Commitment,,,Job_Engagement,,,Distance_to_work,,,Work_Live_Balance,,,Physical_Stress,,,Psychological_Exhaustion,,,Job_Stability,,,Environment_Satisfaction,,,Job_Satisfaction,,,Gender,,,Age,,,Health_Issues,,
24,1140,,,,,,,,,,,,,,Years_Experience,,,Job_Opportunities,,,Years_experience_lastorganization,,,Academic_degree,,,Sector,,,MonthlySalary,,,MedicalInsurance,,,Bonus,,,OverTime,,,Payment_Overtime,,,Rewards_Wages_Satisfaction,,,Get_Deserved_Promotion,,,Training_programs_During_last_three_years,,,Useful_Training_Programs,,,Business_Travel,,,Job_Support,,,Recognition,,,Emotional_Commitment,,,Job_Engagement,,,Distance_to_work,,,Work_Live_Balance,,,Physical_Stress,,,Psychological_Exhaustion,,,Job_Stability,,,Environment_Satisfaction,,,Job_Satisfaction,,,Gender,,,Age,,,Health_Issues,,
25,412,,,,,,,,,,,,,,Years_Experience,,,Job_Opportunities,,,Years_experience_lastorganization,,,Academic_degree,,,Sector,,,MonthlySalary,,,MedicalInsurance,,,Bonus,,,OverTime,,,Payment_Overtime,,,Rewards_Wages_Satisfaction,,,Get_Deserved_Promotion,,,Training_programs_During_last_three_years,,,Useful_Training_Programs,,,Business_Travel,,,Job_Support,,,Recognition,,,Emotional_Commitment,,,Job_Engagement,,,Distance_to_work,,,Work_Live_Balance,,,Physical_Stress,,,Psychological_Exhaustion,,,Job_Stability,,,Environment_Satisfaction,,,Job_Satisfaction,,,Gender,,,Age,,,Health_Issues,,
26,438,,,,,,,,,,,,,,Years_Experience,,,Job_Opportunities,,,Years_experience_lastorganization,,,Academic_degree,,,Sector,,,MonthlySalary,,,MedicalInsurance,,,Bonus,,,OverTime,,,Payment_Overtime,,,Rewards_Wages_Satisfaction,,,Get_Deserved_Promotion,,,Training_programs_During_last_three_years,,,Useful_Training_Programs,,,Business_Travel,,,Job_Support,,,Recognition,,,Emotional_Commitment,,,Job_Engagement,,,Distance_to_work,,,Work_Live_Balance,,,Physical_Stress,,,Psychological_Exhaustion,,,Job_Stability,,,Environment_Satisfaction,,,Job_Satisfaction,,,Gender,,,Age,,,Health_Issues,,
27,587,,,,,,,,,,,,,,Years_Experience,,,Job_Opportunities,,,Years_experience_lastorganization,,,Academic_degree,,,Sector,,,MonthlySalary,,,MedicalInsurance,,,Bonus,,,OverTime,,,Payment_Overtime,,,Rewards_Wages_Satisfaction,,,Get_Deserved_Promotion,,,Training_programs_During_last_three_years,,,Useful_Training_Programs,,,Business_Travel,,,Job_Support,,,Recognition,,,Emotional_Commitment,,,Job_Engagement,,,Distance_to_work,,,Work_Live_Balance,,,Physical_Stress,,,Psychological_Exhaustion,,,Job_Stability,,,Environment_Satisfaction,,,Job_Satisfaction,,,Gender,,,Age,,,Health_Issues,,
28,356,,,,,,,,,,,,,,Years_Experience,,,Job_Opportunities,,,Years_experience_lastorganization,,,Academic_degree,,,Sector,,,MonthlySalary,,,MedicalInsurance,,,Bonus,,,OverTime,,,Payment_Overtime,,,Rewards_Wages_Satisfaction,,,Get_Deserved_Promotion,,,Training_programs_During_last_three_years,,,Useful_Training_Programs,,,Business_Travel,,,Job_Support,,,Recognition,,,Emotional_Commitment,,,Job_Engagement,,,Distance_to_work,,,Work_Live_Balance,,,Physical_Stress,,,Psychological_Exhaustion,,,Job_Stability,,,Environment_Satisfaction,,,Job_Satisfaction,,,Gender,,,Age,,,Health_Issues,,
29,997,,,,,,,,,,,,,,Years_Experience,,,Job_Opportunities,,,Years_experience_lastorganization,,,Academic_degree,,,Sector,,,MonthlySalary,,,MedicalInsurance,,,Bonus,,,OverTime,,,Payment_Overtime,,,Rewards_Wages_Satisfaction,,,Get_Deserved_Promotion,,,Training_programs_During_last_three_years,,,Useful_Training_Programs,,,Business_Travel,,,Job_Support,,,Recognition,,,Emotional_Commitment,,,Job_Engagement,,,Distance_to_work,,,Work_Live_Balance,,,Physical_Stress,,,Psychological_Exhaustion,,,Job_Stability,,,Environment_Satisfaction,,,Job_Satisfaction,,,Gender,,,Age,,,Health_Issues,,
30,941,,,,,,,,,,,,,,Years_Experience,,,Job_Opportunities,,,Years_experience_lastorganization,,,Academic_degree,,,Sector,,,MonthlySalary,,,MedicalInsurance,,,Bonus,,,OverTime,,,Payment_Overtime,,,Rewards_Wages_Satisfaction,,,Get_Deserved_Promotion,,,Training_programs_During_last_three_years,,,Useful_Training_Programs,,,Business_Travel,,,Job_Support,,,Recognition,,,Emotional_Commitment,,,Job_Engagement,,,Distance_to_work,,,Work_Live_Balance,,,Physical_Stress,,,Psychological_Exhaustion,,,Job_Stability,,,Environment_Satisfaction,,,Job_Satisfaction,,,Gender,,,Age,,,Health_Issues,,
31,1032,,,,,,,,,,,,,,Years_Experience,,,Job_Opportunities,,,Years_experience_lastorganization,,,Academic_degree,,,Sector,,,MonthlySalary,,,MedicalInsurance,,,Bonus,,,OverTime,,,Payment_Overtime,,,Rewards_Wages_Satisfaction,,,Get_Deserved_Promotion,,,Training_programs_During_last_three_years,,,Useful_Training_Programs,,,Business_Travel,,,Job_Support,,,Recognition,,,Emotional_Commitment,,,Job_Engagement,,,Distance_to_work,,,Work_Live_Balance,,,Physical_Stress,,,Psychological_Exhaustion,,,Job_Stability,,,Environment_Satisfaction,,,Job_Satisfaction,,,Gender,,,Age,,,Health_Issues,,
32,62,,,,,,,,,,,,,,Years_Experience,,,Job_Opportunities,,,Years_experience_lastorganization,,,Academic_degree,,,Sector,,,MonthlySalary,,,MedicalInsurance,,,Bonus,,,OverTime,,,Payment_Overtime,,,Rewards_Wages_Satisfaction,,,Get_Deserved_Promotion,,,Training_programs_During_last_three_years,,,Useful_Training_Programs,,,Business_Travel,,,Job_Support,,,Recognition,,,Emotional_Commitment,,,Job_Engagement,,,Distance_to_work,,,Work_Live_Balance,,,Physical_Stress,,,Psychological_Exhaustion,,,Job_Stability,,,Environment_Satisfaction,,,Job_Satisfaction,,,Gender,,,Age,,,Health_Issues,,
33,166,,,,,,,,,,,,,,Years_Experience,,,Job_Opportunities,,,Years_experience_lastorganization,,,Academic_degree,,,Sector,,,MonthlySalary,,,MedicalInsurance,,,Bonus,,,OverTime,,,Payment_Overtime,,,Rewards_Wages_Satisfaction,,,Get_Deserved_Promotion,,,Training_programs_During_last_three_years,,,Useful_Training_Programs,,,Business_Travel,,,Job_Support,,,Recognition,,,Emotional_Commitment,,,Job_Engagement,,,Distance_to_work,,,Work_Live_Balance,,,Physical_Stress,,,Psychological_Exhaustion,,,Job_Stability,,,Environment_Satisfaction,,,Job_Satisfaction,,,Gender,,,Age,,,Health_Issues,,
34,1097,,,,,,,,,,,,,,Years_Experience,,,Job_Opportunities,,,Years_experience_lastorganization,,,Academic_degree,,,Sector,,,MonthlySalary,,,MedicalInsurance,,,Bonus,,,OverTime,,,Payment_Overtime,,,Rewards_Wages_Satisfaction,,,Get_Deserved_Promotion,,,Training_programs_During_last_three_years,,,Useful_Training_Programs,,,Business_Travel,,,Job_Support,,,Recognition,,,Emotional_Commitment,,,Job_Engagement,,,Distance_to_work,,,Work_Live_Balance,,,Physical_Stress,,,Psychological_Exhaustion,,,Job_Stability,,,Environment_Satisfaction,,,Job_Satisfaction,,,Gender,,,Age,,,Health_Issues,,
35,975,,,,,,,,,,,,,,Years_Experience,,,Job_Opportunities,,,Years_experience_lastorganization,,,Academic_degree,,,Sector,,,MonthlySalary,,,MedicalInsurance,,,Bonus,,,OverTime,,,Payment_Overtime,,,Rewards_Wages_Satisfaction,,,Get_Deserved_Promotion,,,Training_programs_During_last_three_years,,,Useful_Training_Programs,,,Business_Travel,,,Job_Support,,,Recognition,,,Emotional_Commitment,,,Job_Engagement,,,Distance_to_work,,,Work_Live_Balance,,,Physical_Stress,,,Psychological_Exhaustion,,,Job_Stability,,,Environment_Satisfaction,,,Job_Satisfaction,,,Gender,,,Age,,,Health_Issues,,
36,1054,,,,,,,,,,,,,,Years_Experience,,,Job_Opportunities,,,Years_experience_lastorganization,,,Academic_degree,,,Sector,,,MonthlySalary,,,MedicalInsurance,,,Bonus,,,OverTime,,,Payment_Overtime,,,Rewards_Wages_Satisfaction,,,Get_Deserved_Promotion,,,Training_programs_During_last_three_years,,,Useful_Training_Programs,,,Business_Travel,,,Job_Support,,,Recognition,,,Emotional_Commitment,,,Job_Engagement,,,Distance_to_work,,,Work_Live_Balance,,,Physical_Stress,,,Psychological_Exhaustion,,,Job_Stability,,,Environment_Satisfaction,,,Job_Satisfaction,,,Gender,,,Age,,,Health_Issues,,
