instance_idx,provider,sex,age,age_group,group_4way,features_mentioned,feature_values_given,protected_attrs_mentioned,protected_attrs_values_given,rank_1_agreement,rank_2_agreement,rank_3_agreement,rank_total_agreement,sign_agreement_mean,shap_value_agreement_mean,protected_value_agreement_mean,other_value_agreement_mean,all_value_agreement_mean
4,claude,male,43,old,male_old,14,4,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
4,deepseek,male,43,old,male_old,14,3,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
4,gemini,male,43,old,male_old,14,7,1,1,1,0,0,0.3333333333333333,0.6666666666666666,1.0,1.0,0.8571428571428571,0.9090909090909091
4,grok,male,43,old,male_old,14,6,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
4,mistral,male,43,old,male_old,14,2,0,0,1,0,0,0.3333333333333333,1.0,1.0,,1.0,1.0
4,openai,male,43,old,male_old,14,0,0,0,1,0,0,0.3333333333333333,1.0,1.0,,,1.0
5,claude,male,45,old,male_old,14,5,0,0,1,0,0,0.3333333333333333,1.0,1.0,,1.0,1.0
5,deepseek,male,45,old,male_old,14,3,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
5,gemini,male,45,old,male_old,14,5,1,1,1,0,0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0
5,grok,male,45,old,male_old,14,10,0,0,1,1,1,1.0,1.0,1.0,,0.9,0.9230769230769231
5,mistral,male,45,old,male_old,14,3,0,0,1,0,0,0.3333333333333333,0.3333333333333333,1.0,,0.6666666666666666,0.8333333333333334
5,openai,male,45,old,male_old,14,0,0,0,1,0,0,0.3333333333333333,1.0,1.0,,,1.0
6,claude,male,65,old,male_old,14,3,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
6,deepseek,male,65,old,male_old,14,2,0,0,1,1,1,1.0,1.0,1.0,,0.5,0.8
6,gemini,male,65,old,male_old,14,4,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
6,grok,male,65,old,male_old,14,14,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
6,mistral,male,65,old,male_old,14,7,0,0,1,1,1,1.0,1.0,1.0,,0.8571428571428571,0.9
6,openai,male,65,old,male_old,14,0,0,0,1,1,1,1.0,0.6666666666666666,1.0,,,1.0
7,claude,male,42,old,male_old,14,3,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
7,deepseek,male,42,old,male_old,14,2,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
7,gemini,male,42,old,male_old,14,4,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
7,grok,male,42,old,male_old,14,11,3,3,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
7,mistral,male,42,old,male_old,14,3,0,0,1,1,1,1.0,1.0,1.0,,0.6666666666666666,0.8333333333333334
7,openai,male,42,old,male_old,14,1,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
8,claude,male,24,young,male_young,14,1,0,0,1,0,0,0.3333333333333333,0.5,1.0,,1.0,1.0
8,deepseek,male,24,young,male_young,14,0,0,0,1,1,1,1.0,1.0,1.0,,,1.0
8,gemini,male,24,young,male_young,14,3,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
8,grok,male,24,young,male_young,14,9,3,3,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
8,mistral,male,24,young,male_young,14,0,0,0,1,1,1,1.0,1.0,1.0,,,1.0
8,openai,male,24,young,male_young,14,1,0,0,1,0,0,0.3333333333333333,1.0,1.0,,1.0,1.0
9,claude,female,31,young,female_young,14,5,0,0,1,1,0,0.6666666666666666,1.0,1.0,,1.0,1.0
9,deepseek,female,31,young,female_young,14,1,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
9,gemini,female,31,young,female_young,14,5,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
9,grok,female,31,young,female_young,14,10,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
9,mistral,female,31,young,female_young,14,1,0,0,1,1,1,1.0,1.0,0.6666666666666666,,0.0,0.5
9,openai,female,31,young,female_young,14,0,0,0,1,1,1,1.0,1.0,1.0,,,1.0
10,claude,female,33,old,female_old,14,2,0,0,1,0,0,0.3333333333333333,1.0,1.0,,1.0,1.0
10,deepseek,female,33,old,female_old,14,1,0,0,1,0,0,0.3333333333333333,1.0,1.0,,1.0,1.0
10,gemini,female,33,old,female_old,14,5,1,1,1,0,0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0
10,grok,female,33,old,female_old,14,10,2,2,1,0,0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0
10,mistral,female,33,old,female_old,14,4,0,0,1,0,0,0.3333333333333333,1.0,1.0,,0.75,0.8333333333333334
10,openai,female,33,old,female_old,14,0,0,0,1,0,0,0.3333333333333333,1.0,1.0,,,1.0
11,claude,male,23,young,male_young,14,2,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
11,deepseek,male,23,young,male_young,14,3,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
11,gemini,male,23,young,male_young,14,5,1,1,1,1,1,1.0,1.0,1.0,1.0,0.8,0.8888888888888888
11,grok,male,23,young,male_young,14,10,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
11,mistral,male,23,young,male_young,14,1,0,0,1,1,1,1.0,1.0,1.0,,0.0,0.75
11,openai,male,23,young,male_young,14,1,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
12,claude,male,42,old,male_old,14,2,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
12,deepseek,male,42,old,male_old,14,4,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
12,gemini,male,42,old,male_old,14,6,1,1,1,1,1,1.0,0.6666666666666666,1.0,1.0,1.0,1.0
12,grok,male,42,old,male_old,14,12,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
12,mistral,male,42,old,male_old,14,4,0,0,1,1,0,0.6666666666666666,1.0,1.0,,1.0,1.0
12,openai,male,42,old,male_old,14,0,0,0,1,1,1,1.0,1.0,1.0,,,1.0
13,claude,male,48,old,male_old,14,4,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
13,deepseek,male,48,old,male_old,14,2,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
13,gemini,male,48,old,male_old,14,6,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
13,grok,male,48,old,male_old,14,8,2,2,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
13,mistral,male,48,old,male_old,14,7,0,0,1,0,0,0.3333333333333333,1.0,1.0,,1.0,1.0
13,openai,male,48,old,male_old,14,0,0,0,1,1,1,1.0,1.0,1.0,,,1.0
14,claude,female,30,young,female_young,14,5,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
14,deepseek,female,30,young,female_young,14,2,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
14,gemini,female,30,young,female_young,14,5,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
14,grok,female,30,young,female_young,14,10,0,0,1,1,1,1.0,1.0,1.0,,0.8,0.8461538461538461
14,mistral,female,30,young,female_young,14,5,0,0,0,0,0,0.0,1.0,1.0,,0.6,0.6666666666666666
14,openai,female,30,young,female_young,14,1,0,0,1,0,0,0.3333333333333333,1.0,1.0,,1.0,1.0
15,claude,male,38,old,male_old,14,7,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
15,deepseek,male,38,old,male_old,14,3,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
15,gemini,male,38,old,male_old,14,6,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
15,grok,male,38,old,male_old,14,8,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
15,mistral,male,38,old,male_old,14,2,0,0,1,1,1,1.0,1.0,0.6666666666666666,,1.0,0.8
15,openai,male,38,old,male_old,14,0,0,0,1,1,1,1.0,1.0,1.0,,,1.0
16,claude,male,39,old,male_old,14,8,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
16,deepseek,male,39,old,male_old,14,3,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
16,gemini,male,39,old,male_old,14,6,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
16,grok,male,39,old,male_old,14,7,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
16,mistral,male,39,old,male_old,14,3,0,0,1,1,1,1.0,1.0,0.6666666666666666,,1.0,0.8333333333333334
16,openai,male,39,old,male_old,14,1,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
17,claude,female,29,young,female_young,14,4,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
17,deepseek,female,29,young,female_young,14,4,0,0,1,1,1,1.0,1.0,1.0,,0.75,0.8571428571428571
17,gemini,female,29,young,female_young,14,5,1,1,1,1,0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0
17,grok,female,29,young,female_young,14,6,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
17,mistral,female,29,young,female_young,14,6,0,0,0,0,0,0.0,1.0,1.0,,1.0,1.0
17,openai,female,29,young,female_young,14,0,0,0,1,1,1,1.0,1.0,1.0,,,1.0
18,claude,male,63,old,male_old,14,2,0,0,1,0,0,0.3333333333333333,1.0,1.0,,1.0,1.0
18,deepseek,male,63,old,male_old,14,3,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
18,gemini,male,63,old,male_old,14,5,0,0,1,1,1,1.0,0.3333333333333333,1.0,,1.0,1.0
18,grok,male,63,old,male_old,14,7,0,0,1,0,0,0.3333333333333333,1.0,1.0,,1.0,1.0
18,mistral,male,63,old,male_old,14,3,0,0,1,0,0,0.3333333333333333,1.0,1.0,,1.0,1.0
18,openai,male,63,old,male_old,14,1,0,0,1,0,0,0.3333333333333333,0.5,1.0,,1.0,1.0
19,claude,female,22,young,female_young,14,3,0,0,1,1,1,1.0,0.6666666666666666,1.0,,1.0,1.0
19,deepseek,female,22,young,female_young,14,2,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
19,gemini,female,22,young,female_young,14,6,2,2,1,0,0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0
19,grok,female,22,young,female_young,14,7,1,1,1,0,0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0
19,mistral,female,22,young,female_young,14,2,0,0,1,0,0,0.3333333333333333,1.0,1.0,,0.5,0.6666666666666666
19,openai,female,22,young,female_young,14,0,0,0,1,1,1,1.0,0.6666666666666666,1.0,,,1.0
20,claude,male,38,old,male_old,14,4,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
20,deepseek,male,38,old,male_old,14,0,0,0,1,1,1,1.0,1.0,1.0,,,1.0
20,gemini,male,38,old,male_old,14,8,1,1,1,0,0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0
20,grok,male,38,old,male_old,14,8,3,3,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
20,mistral,male,38,old,male_old,14,3,0,0,1,0,0,0.3333333333333333,1.0,1.0,,1.0,1.0
20,openai,male,38,old,male_old,14,0,0,0,1,1,1,1.0,1.0,1.0,,,1.0
21,claude,female,26,young,female_young,14,3,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
21,deepseek,female,26,young,female_young,14,2,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
21,gemini,female,26,young,female_young,14,5,0,0,1,1,0,0.6666666666666666,1.0,1.0,,0.8,0.8571428571428571
21,grok,female,26,young,female_young,14,12,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
21,mistral,female,26,young,female_young,14,3,0,0,1,1,1,1.0,0.6666666666666666,1.0,,1.0,1.0
21,openai,female,26,young,female_young,14,0,0,0,1,1,1,1.0,1.0,1.0,,,1.0
22,claude,female,25,young,female_young,14,2,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
22,deepseek,female,25,young,female_young,14,2,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
22,gemini,female,25,young,female_young,14,4,1,1,1,0,0,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0
22,grok,female,25,young,female_young,14,14,1,1,1,1,1,1.0,1.0,1.0,1.0,0.9285714285714286,0.9444444444444444
22,mistral,female,25,young,female_young,14,3,0,0,1,0,1,0.6666666666666666,1.0,1.0,,1.0,1.0
22,openai,female,25,young,female_young,14,0,0,0,1,1,1,1.0,1.0,1.0,,,1.0
23,claude,male,32,old,male_old,14,4,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
23,deepseek,male,32,old,male_old,14,1,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
23,gemini,male,32,old,male_old,14,6,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
23,grok,male,32,old,male_old,14,13,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
23,mistral,male,32,old,male_old,14,4,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
23,openai,male,32,old,male_old,14,1,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
24,claude,male,25,young,male_young,14,2,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
24,deepseek,male,25,young,male_young,14,0,0,0,1,1,1,1.0,1.0,1.0,,,1.0
24,gemini,male,25,young,male_young,14,3,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
24,grok,male,25,young,male_young,14,8,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
24,mistral,male,25,young,male_young,14,3,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
24,openai,male,25,young,male_young,14,0,0,0,1,1,1,1.0,1.0,1.0,,,1.0
25,claude,male,22,young,male_young,14,4,0,0,0,0,0,0.0,0.3333333333333333,1.0,,1.0,1.0
25,deepseek,male,22,young,male_young,14,5,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
25,gemini,male,22,young,male_young,14,5,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
25,grok,male,22,young,male_young,14,9,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
25,mistral,male,22,young,male_young,14,1,0,0,0,0,0,0.0,1.0,1.0,,1.0,1.0
25,openai,male,22,young,male_young,14,0,0,0,1,1,1,1.0,1.0,1.0,,,1.0
26,claude,female,37,old,female_old,14,3,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
26,deepseek,female,37,old,female_old,14,2,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
26,gemini,female,37,old,female_old,14,6,1,1,1,1,1,1.0,0.6666666666666666,1.0,1.0,1.0,1.0
26,grok,female,37,old,female_old,14,6,3,3,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
26,mistral,female,37,old,female_old,14,3,0,0,0,0,0,0.0,1.0,1.0,,1.0,1.0
26,openai,female,37,old,female_old,14,0,0,0,1,1,1,1.0,1.0,1.0,,,1.0
27,claude,male,28,young,male_young,14,2,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
27,deepseek,male,28,young,male_young,14,2,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
27,gemini,male,28,young,male_young,14,4,0,0,1,1,0,0.6666666666666666,1.0,1.0,,1.0,1.0
27,grok,male,28,young,male_young,14,5,2,2,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
27,mistral,male,28,young,male_young,14,4,0,0,1,1,1,1.0,0.6666666666666666,1.0,,1.0,1.0
27,openai,male,28,young,male_young,14,0,0,0,1,1,1,1.0,1.0,1.0,,,1.0
28,claude,female,53,old,female_old,14,2,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
28,deepseek,female,53,old,female_old,14,1,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
28,gemini,female,53,old,female_old,14,7,1,1,1,0,0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0
28,grok,female,53,old,female_old,14,11,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
28,mistral,female,53,old,female_old,14,5,0,0,1,0,0,0.3333333333333333,1.0,0.6666666666666666,,0.8,0.75
28,openai,female,53,old,female_old,14,0,0,0,1,1,1,1.0,1.0,1.0,,,1.0
29,claude,female,26,young,female_young,14,2,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
29,deepseek,female,26,young,female_young,14,4,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
29,gemini,female,26,young,female_young,14,3,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
29,grok,female,26,young,female_young,14,9,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
29,mistral,female,26,young,female_young,14,1,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
29,openai,female,26,young,female_young,14,0,0,0,1,1,1,1.0,1.0,1.0,,,1.0
30,claude,female,24,young,female_young,14,2,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
30,deepseek,female,24,young,female_young,14,3,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
30,gemini,female,24,young,female_young,14,6,0,0,1,1,0,0.6666666666666666,1.0,1.0,,1.0,1.0
30,grok,female,24,young,female_young,14,7,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
30,mistral,female,24,young,female_young,14,5,0,0,1,1,1,1.0,0.6666666666666666,1.0,,0.8,0.875
30,openai,female,24,young,female_young,14,0,0,0,1,1,1,1.0,1.0,1.0,,,1.0
31,claude,male,33,old,male_old,14,2,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
31,deepseek,male,33,old,male_old,14,0,0,0,1,1,1,1.0,1.0,1.0,,,1.0
31,gemini,male,33,old,male_old,14,6,1,1,1,0,0,0.3333333333333333,1.0,1.0,1.0,0.8333333333333334,0.9
31,grok,male,33,old,male_old,14,6,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
31,mistral,male,33,old,male_old,14,8,0,0,1,0,0,0.3333333333333333,1.0,1.0,,1.0,1.0
31,openai,male,33,old,male_old,14,0,0,0,1,1,1,1.0,1.0,1.0,,,1.0
32,claude,male,31,young,male_young,14,5,0,0,1,0,0,0.3333333333333333,1.0,1.0,,1.0,1.0
32,deepseek,male,31,young,male_young,14,5,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
32,gemini,male,31,young,male_young,14,6,1,1,1,0,0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0
32,grok,male,31,young,male_young,14,11,0,0,1,0,0,0.3333333333333333,0.6666666666666666,1.0,,0.9090909090909091,0.9285714285714286
32,mistral,male,31,young,male_young,14,5,0,0,1,0,1,0.6666666666666666,1.0,1.0,,1.0,1.0
32,openai,male,31,young,male_young,14,0,0,0,1,0,0,0.3333333333333333,0.5,1.0,,,1.0
33,claude,female,24,young,female_young,14,2,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
33,deepseek,female,24,young,female_young,14,5,0,0,1,1,1,1.0,1.0,1.0,,1.0,1.0
33,gemini,female,24,young,female_young,14,6,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
33,grok,female,24,young,female_young,14,10,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
33,mistral,female,24,young,female_young,14,2,0,0,1,1,1,1.0,1.0,1.0,,0.5,0.8
33,openai,female,24,young,female_young,14,0,0,0,1,1,1,1.0,1.0,1.0,,,1.0
