instance_index,original_test_index,CF_number,distance,decile1,decile3,fam_inc,lsat,ugpa,fulltime
40,11598,3,0.30000000000000027,2.0,1.0,3.0,36.0,3.1,1.0
41,5477,1,1.0770329614269007,6.0,5.0,3.0,31.0,2.6,1.0
41,5477,2,1.118033988749895,6.0,5.0,3.0,31.0,2.7,1.0
41,5477,3,1.118033988749895,6.0,4.0,2.0,31.0,2.7,1.0
42,133,1,0.10000000000000009,5.0,3.0,4.0,33.0,3.4,1.0
42,133,2,0.10000000000000009,5.0,3.0,4.0,33.0,3.4,1.0
42,133,3,0.20000000000000018,5.0,3.0,4.0,33.0,3.3,1.0
43,9637,1,0.5099019513592785,1.0,2.0,3.0,33.0,3.0,1.0
43,9637,2,0.5385164807134504,1.0,2.0,3.0,33.0,2.7,1.0
43,9637,3,0.5385164807134504,1.0,2.0,3.0,34.0,2.7,1.0
44,13939,1,0.19999999999999973,1.0,1.0,4.0,39.0,2.9,1.0
44,13939,2,0.2999999999999998,1.0,1.0,4.0,39.0,3.0,1.0
44,13939,3,0.58309518948453,1.0,1.0,4.0,39.5,3.0,1.0
45,19771,1,0.7999999999999998,1.0,1.0,3.0,37.0,3.3,1.0
45,19771,2,0.7999999999999998,1.0,1.0,3.0,37.0,3.3,1.0
45,19771,3,0.7999999999999998,1.0,1.0,3.0,37.0,3.3,1.0
46,795,1,0.7810249675906655,1.0,1.0,1.0,28.0,2.9,1.0
46,795,2,1.1224972160321824,1.0,1.0,2.0,27.0,3.4,1.0
46,795,3,1.1224972160321824,1.0,1.0,2.0,27.0,3.4,1.0
47,6325,1,0.20000000000000018,2.0,2.0,4.0,34.0,3.0,1.0
47,6325,2,0.20000000000000018,2.0,2.0,4.0,34.0,3.0,1.0
47,6325,3,0.40000000000000036,2.0,2.0,4.0,34.0,2.8,1.0
48,3387,1,0.5385164807134504,2.0,1.0,2.0,36.0,3.2,1.0
48,3387,2,0.6403124237432848,2.0,1.0,2.0,36.0,3.0,1.0
48,3387,3,0.7810249675906655,2.0,1.0,2.0,35.0,2.8,1.0
49,16392,1,0.5,3.0,2.0,3.0,31.0,3.1,1.0
49,16392,2,0.5,3.0,2.0,3.0,32.0,3.1,1.0
49,16392,3,0.58309518948453,3.0,2.0,3.0,32.0,3.4,1.0
50,4294,1,0.0,4.0,5.0,4.0,35.0,3.3,1.0
50,4294,2,0.09999999999999964,4.0,5.0,4.0,35.0,3.2,1.0
50,4294,3,0.09999999999999964,4.0,5.0,4.0,35.0,3.2,1.0
51,9991,1,1.004987562112089,1.0,1.0,2.0,24.0,2.8,1.0
51,9991,2,1.019803902718557,1.0,1.0,2.0,24.0,3.1,1.0
51,9991,3,1.118033988749895,1.0,1.0,1.0,25.0,2.4,1.0
52,7338,1,0.0,2.0,2.0,3.0,35.0,3.2,1.0
52,7338,2,0.0,2.0,2.0,3.0,35.0,3.2,1.0
52,7338,3,0.09999999999999964,2.0,2.0,3.0,35.0,3.3,1.0
53,7134,1,0.0,1.0,1.0,4.0,35.0,3.2,1.0
53,7134,2,0.09999999999999964,1.0,1.0,4.0,35.0,3.3,1.0
53,7134,3,0.09999999999999964,1.0,1.0,4.0,35.0,3.3,1.0
54,6799,1,0.0,4.0,3.0,4.0,36.0,3.2,1.0
54,6799,2,0.09999999999999964,4.0,3.0,4.0,36.0,3.3,1.0
54,6799,3,0.10000000000000009,4.0,3.0,4.0,36.0,3.1,1.0
55,7767,1,0.3999999999999999,2.0,1.0,3.0,41.0,2.8,1.0
55,7767,2,0.7000000000000002,2.0,1.0,3.0,41.0,3.1,1.0
55,7767,3,1.004987562112089,1.0,1.0,3.0,41.0,2.5,1.0
56,18557,1,0.10000000000000009,2.0,1.0,4.0,28.5,2.7,1.0
56,18557,2,0.3999999999999999,2.0,1.0,4.0,28.5,3.0,1.0
56,18557,3,0.5099019513592785,2.0,1.0,4.0,29.0,2.7,1.0
57,16495,1,0.7999999999999998,3.0,2.0,2.0,29.0,3.8,1.0
57,16495,2,1.019803902718557,3.0,3.0,2.0,29.0,2.8,1.0
57,16495,3,1.019803902718557,3.0,2.0,2.0,28.0,3.2,1.0
58,8930,1,0.8000000000000003,1.0,1.0,2.0,31.0,2.8,1.0
58,8930,2,1.0,2.0,1.0,2.0,31.0,3.6,1.0
58,8930,3,1.004987562112089,1.0,1.0,3.0,31.0,3.7,1.0
59,11616,1,0.40000000000000036,3.0,3.0,3.0,34.0,3.2,1.0
59,11616,2,0.5,3.0,3.0,3.0,34.0,3.3,1.0
59,11616,3,0.5,3.0,3.0,3.0,34.0,3.3,1.0
60,19664,1,0.10000000000000009,3.0,3.0,3.0,40.0,2.6,1.0
60,19664,2,0.2999999999999998,3.0,3.0,3.0,40.0,2.8,1.0
60,19664,3,0.5,3.0,3.0,3.0,40.0,3.0,1.0
61,10507,1,0.19999999999999973,2.0,1.0,3.0,39.0,2.7,1.0
61,10507,2,0.20000000000000018,2.0,1.0,3.0,39.0,3.1,1.0
61,10507,3,0.20000000000000018,2.0,1.0,3.0,39.0,3.1,1.0
62,9788,1,0.0,3.0,1.0,3.0,37.0,2.9,1.0
62,9788,2,0.30000000000000027,3.0,1.0,3.0,37.0,3.2,1.0
62,9788,3,0.7999999999999998,3.0,1.0,3.0,37.0,2.1,1.0
63,17677,1,0.0,2.0,1.0,3.0,36.0,3.0,1.0
63,17677,2,0.10000000000000009,2.0,1.0,3.0,36.0,3.1,1.0
63,17677,3,0.10000000000000009,2.0,1.0,3.0,36.0,2.9,1.0
64,18473,1,0.58309518948453,2.0,1.0,3.0,27.5,2.9,1.0
64,18473,2,0.9219544457292882,2.0,1.0,3.0,27.7,3.2,1.0
64,18473,3,1.004987562112089,1.0,1.0,3.0,27.0,2.5,1.0
65,10747,1,0.3999999999999999,1.0,1.0,4.0,31.0,2.4,1.0
65,10747,2,0.4242640687119289,1.0,1.0,4.0,31.3,2.5,1.0
65,10747,3,0.5099019513592785,1.0,1.0,4.0,30.5,2.9,1.0
66,9517,1,0.10000000000000009,1.0,1.0,4.0,32.0,2.8,1.0
66,9517,2,0.10000000000000009,1.0,1.0,4.0,32.0,2.8,1.0
66,9517,3,0.30000000000000027,1.0,1.0,4.0,32.0,3.2,1.0
67,16775,1,0.5,1.0,1.0,4.0,42.0,3.5,1.0
67,16775,2,0.6000000000000001,1.0,1.0,4.0,42.0,3.6,1.0
67,16775,3,0.6000000000000001,1.0,1.0,4.0,42.0,3.6,1.0
68,20368,1,1.0295630140987,1.0,1.0,3.0,30.5,3.0,1.0
68,20368,2,1.0440306508910548,1.0,1.0,3.0,30.0,2.4,2.0
68,20368,3,1.1401754250991376,1.0,1.0,3.0,29.3,3.0,1.0
69,18404,1,1.004987562112089,4.0,1.0,4.0,30.0,2.7,1.0
69,18404,2,1.004987562112089,4.0,2.0,5.0,30.0,2.5,1.0
69,18404,3,1.4177446878757827,4.0,2.0,4.0,30.0,2.7,1.0
70,11545,1,0.10000000000000009,3.0,2.0,4.0,37.0,2.9,1.0
70,11545,2,0.19999999999999973,3.0,2.0,4.0,37.0,2.6,1.0
70,11545,3,0.20000000000000018,3.0,2.0,4.0,37.0,3.0,1.0
71,19902,1,0.10000000000000009,2.0,1.0,4.0,31.0,2.6,1.0
71,19902,2,0.10000000000000009,2.0,1.0,4.0,31.0,2.6,1.0
71,19902,3,0.5099019513592785,2.0,1.0,4.0,30.5,2.6,1.0
72,15078,1,0.10000000000000009,1.0,1.0,2.0,29.0,3.0,1.0
72,15078,2,0.19999999999999973,1.0,1.0,2.0,29.0,3.3,1.0
72,15078,3,0.30000000000000027,1.0,1.0,2.0,29.0,2.8,1.0
73,6654,1,0.0,2.0,1.0,4.0,35.0,3.2,1.0
73,6654,2,0.09999999999999964,2.0,1.0,4.0,35.0,3.3,1.0
73,6654,3,0.19999999999999973,2.0,1.0,4.0,35.0,3.4,1.0
74,3915,1,0.10000000000000009,2.0,2.0,4.0,43.0,3.4,1.0
74,3915,2,0.20000000000000018,2.0,2.0,4.0,43.0,3.5,1.0
74,3915,3,0.20000000000000018,2.0,2.0,4.0,43.0,3.5,1.0
75,1639,1,0.5,3.0,2.0,4.0,35.5,3.0,1.0
75,1639,2,0.5099019513592785,3.0,2.0,4.0,35.0,3.4,1.0
75,1639,3,0.5099019513592785,3.0,2.0,4.0,35.0,3.4,1.0
76,10140,1,1.004987562112089,1.0,1.0,3.0,21.0,2.8,1.0
76,10140,2,1.019803902718557,1.0,1.0,3.0,21.0,3.1,1.0
76,10140,3,1.1224972160321824,2.0,1.0,4.0,20.5,2.8,1.0
77,18330,1,0.3605551275463964,3.0,2.0,4.0,34.3,2.8,1.0
77,18330,2,0.5,3.0,2.0,4.0,34.0,3.1,1.0
77,18330,3,0.5,3.0,2.0,4.0,34.5,2.6,1.0
78,5461,1,0.58309518948453,1.0,1.0,4.0,24.0,2.5,1.0
78,5461,2,0.8602325267042624,1.0,1.0,4.0,25.0,2.9,1.0
78,5461,3,0.943398113205661,1.0,1.0,4.0,23.7,2.7,1.0
79,16981,1,0.7810249675906655,1.0,1.0,1.0,26.0,3.6,1.0
79,16981,2,1.019803902718557,1.0,1.0,1.0,25.5,2.8,1.0
79,16981,3,1.1224972160321824,1.0,1.0,2.0,27.0,3.1,1.0
80,14512,1,0.5385164807134505,6.0,4.0,4.0,32.5,2.5,1.0
80,14512,2,0.5999999999999996,6.0,4.0,4.0,32.0,3.3,1.0
80,14512,3,0.6403124237432848,6.0,4.0,4.0,32.5,3.1,1.0
81,5705,1,1.4177446878757824,2.0,1.0,3.0,19.0,3.3,1.0
81,5705,2,2.009975124224178,1.0,1.0,3.0,18.0,3.4,1.0
81,5705,3,2.29128784747792,3.0,2.0,3.0,20.0,2.7,1.0
82,17941,1,0.10000000000000009,3.0,3.0,4.0,36.0,3.1,1.0
82,17941,2,0.20000000000000018,3.0,3.0,4.0,36.0,3.2,1.0
82,17941,3,0.2999999999999998,3.0,3.0,4.0,36.0,2.7,1.0
83,14096,1,0.5099019513592784,2.0,1.0,4.0,20.5,2.8,1.0
83,14096,2,1.4177446878757827,2.0,1.0,3.0,21.0,2.6,1.0
83,14096,3,1.42828568570857,2.0,1.0,3.0,21.0,2.9,1.0
84,14047,1,2.23606797749979,3.0,2.0,3.0,20.0,2.7,1.0
84,14047,2,2.238302928559939,6.0,3.0,3.0,20.0,2.8,1.0
84,14047,3,2.5,3.0,1.0,3.0,21.0,2.2,2.0
85,20346,1,0.7810249675906655,1.0,1.0,2.0,23.0,2.7,1.0
85,20346,2,0.8602325267042624,1.0,1.0,2.0,24.0,2.8,1.0
85,20346,3,1.118033988749895,1.0,1.0,2.0,24.0,3.1,1.0
86,17074,1,0.20000000000000018,1.0,1.0,3.0,33.0,3.2,1.0
86,17074,2,0.2999999999999998,1.0,1.0,3.0,33.0,2.7,1.0
86,17074,3,0.2999999999999998,1.0,1.0,3.0,33.0,3.3,1.0
87,11100,1,0.20000000000000018,3.0,2.0,3.0,30.0,3.0,1.0
87,11100,2,0.30000000000000027,3.0,2.0,3.0,30.0,3.1,1.0
87,11100,3,0.30000000000000027,3.0,2.0,3.0,30.0,3.1,1.0
88,5496,1,1.5,4.0,4.0,4.0,21.5,3.2,1.0
88,5496,2,1.7776388834631178,2.0,3.0,3.0,22.0,2.6,1.0
88,5496,3,1.7916472867168916,3.0,3.0,3.0,22.0,3.3,1.0
89,17456,1,0.20000000000000018,5.0,4.0,4.0,35.0,3.2,1.0
89,17456,2,0.20000000000000018,5.0,4.0,4.0,35.0,2.8,1.0
89,17456,3,0.20000000000000018,5.0,4.0,4.0,35.0,3.2,1.0
90,10929,1,1.004987562112089,4.0,1.0,4.0,34.0,2.9,1.0
90,10929,2,1.019803902718557,5.0,1.0,4.0,33.0,3.0,1.0
90,10929,3,1.044030650891055,5.0,1.0,3.0,34.0,3.1,1.0
91,7639,1,1.118033988749895,4.0,2.0,3.0,42.0,2.9,1.0
91,7639,2,1.224744871391589,4.0,2.0,3.0,41.5,2.9,1.0
91,7639,3,1.345362404707371,5.0,3.0,3.0,42.0,3.3,1.0
92,10394,1,0.2999999999999998,1.0,1.0,4.0,29.0,2.6,1.0
92,10394,2,0.30000000000000027,1.0,1.0,4.0,29.0,3.2,1.0
92,10394,3,0.5,1.0,1.0,4.0,29.0,2.4,1.0
93,15067,1,0.10000000000000009,3.0,3.0,4.0,34.0,3.2,1.0
93,15067,2,0.10000000000000009,3.0,3.0,4.0,34.0,3.0,1.0
93,15067,3,0.10000000000000009,3.0,3.0,4.0,34.0,3.0,1.0
94,18292,1,1.1661903789690602,2.0,2.0,3.0,24.0,3.2,1.0
94,18292,2,1.4177446878757827,2.0,2.0,2.0,24.0,2.5,1.0
94,18292,3,1.445683229480096,4.0,2.0,4.0,24.0,2.9,1.0
95,13931,1,0.19999999999999973,2.0,1.0,3.0,36.0,2.9,1.0
95,13931,2,0.2999999999999998,2.0,1.0,3.0,36.0,3.0,1.0
95,13931,3,0.30000000000000027,2.0,1.0,3.0,36.0,2.4,1.0
96,15999,1,0.10000000000000009,8.0,6.0,3.0,33.0,3.2,2.0
96,15999,2,0.6000000000000001,8.0,6.0,3.0,33.0,2.5,2.0
96,15999,3,1.0198039027185568,8.0,6.0,3.0,33.0,3.3,1.0
97,3540,1,0.0,5.0,3.0,4.0,35.0,3.4,1.0
97,3540,2,0.0,5.0,3.0,4.0,35.0,3.4,1.0
97,3540,3,0.10000000000000009,5.0,3.0,4.0,35.0,3.3,1.0
98,10004,1,1.044030650891055,3.0,1.0,3.0,27.0,3.2,1.0
98,10004,2,1.4177446878757824,3.0,2.0,3.0,27.0,2.8,1.0
98,10004,3,1.445683229480096,4.0,1.0,3.0,27.0,3.2,1.0
99,10060,1,0.10000000000000009,1.0,1.0,3.0,29.0,2.8,1.0
99,10060,2,0.31622776601683866,1.0,1.0,3.0,29.3,3.0,1.0
99,10060,3,0.3999999999999999,1.0,1.0,3.0,29.0,3.3,1.0
100,5515,1,0.5999999999999996,1.0,1.0,3.0,28.0,2.8,1.0
100,5515,2,0.5999999999999996,1.0,1.0,3.0,28.0,2.8,1.0
100,5515,3,0.5999999999999996,1.0,1.0,3.0,28.0,2.8,1.0
101,13644,1,0.10000000000000009,1.0,2.0,3.0,28.0,3.6,1.0
101,13644,2,1.0,1.0,1.0,3.0,28.0,3.7,1.0
101,13644,3,1.0,1.0,2.0,3.0,28.0,2.7,1.0
102,4196,1,0.0,9.0,9.0,4.0,40.0,3.3,1.0
102,4196,2,0.09999999999999964,9.0,9.0,4.0,40.0,3.2,1.0
102,4196,3,0.09999999999999964,9.0,9.0,4.0,40.0,3.2,1.0
103,7084,1,0.10000000000000009,1.0,1.0,4.0,30.5,3.1,1.0
103,7084,2,0.20000000000000018,1.0,1.0,4.0,30.5,3.0,1.0
103,7084,3,0.2999999999999998,1.0,1.0,4.0,30.5,3.5,1.0
104,16316,1,0.0,1.0,1.0,4.0,40.0,3.1,1.0
104,16316,2,0.10000000000000009,1.0,1.0,4.0,40.0,3.2,1.0
104,16316,3,0.10000000000000009,1.0,1.0,4.0,40.0,3.2,1.0
105,16137,1,0.5,2.0,2.0,2.0,28.0,2.6,1.0
105,16137,2,0.5099019513592785,2.0,2.0,2.0,28.5,3.0,1.0
105,16137,3,0.6403124237432848,2.0,2.0,2.0,28.5,3.5,1.0
106,5114,1,1.118033988749895,1.0,2.0,5.0,22.0,3.3,1.0
106,5114,2,1.1874342087037917,1.0,1.0,4.0,23.0,2.9,1.0
106,5114,3,1.224744871391589,1.0,1.0,4.0,23.0,2.8,1.0
107,9369,1,0.0,5.0,6.0,3.0,39.0,3.6,1.0
107,9369,2,0.10000000000000009,5.0,6.0,3.0,39.0,3.5,1.0
107,9369,3,0.10000000000000009,5.0,6.0,3.0,39.0,3.7,1.0
108,18021,1,0.20000000000000018,2.0,1.0,3.0,36.0,2.4,1.0
108,18021,2,0.2999999999999998,2.0,1.0,3.0,36.0,2.9,1.0
108,18021,3,0.3999999999999999,2.0,1.0,3.0,36.0,3.0,1.0
109,14233,1,0.5,1.0,1.0,3.0,25.0,3.2,1.0
109,14233,2,0.58309518948453,1.0,1.0,3.0,24.5,3.0,1.0
109,14233,3,1.0198039027185568,1.0,1.0,4.0,25.0,2.9,1.0
110,10529,1,0.0,2.0,1.0,4.0,38.0,2.9,1.0
110,10529,2,0.19999999999999973,2.0,1.0,4.0,38.0,2.7,1.0
110,10529,3,0.20000000000000018,2.0,1.0,4.0,38.0,3.1,1.0
111,9845,1,0.2999999999999998,1.0,1.0,4.0,33.5,2.6,1.0
111,9845,2,0.5,1.0,1.0,4.0,34.0,2.9,1.0
111,9845,3,0.5099019513592785,1.0,1.0,4.0,34.0,3.0,1.0
112,18662,1,0.2999999999999998,1.0,1.0,4.0,37.0,3.5,1.0
112,18662,2,0.5,1.0,1.0,4.0,37.0,3.3,1.0
112,18662,3,0.5,1.0,1.0,4.0,37.0,3.3,1.0
113,20182,1,1.4456832294800963,2.0,1.0,3.0,19.0,3.3,1.0
113,20182,2,1.5748015748023618,1.0,1.0,2.0,20.5,2.5,1.0
113,20182,3,1.6370705543744901,1.0,2.0,3.0,19.5,3.1,2.0
114,14429,1,0.3999999999999999,5.0,3.0,4.0,31.0,3.1,1.0
114,14429,2,0.5385164807134504,5.0,3.0,4.0,31.5,2.9,1.0
114,14429,3,0.6999999999999997,5.0,3.0,4.0,31.0,3.4,1.0
115,3976,1,0.2999999999999998,3.0,2.0,4.0,36.0,3.0,1.0
115,3976,2,0.30000000000000027,3.0,2.0,4.0,36.0,3.6,1.0
115,3976,3,0.40000000000000036,3.0,2.0,4.0,36.0,3.7,1.0
116,18206,1,1.0,5.0,4.0,3.0,24.0,3.6,1.0
116,18206,2,1.118033988749895,5.0,5.0,3.0,24.0,3.1,1.0
116,18206,3,1.345362404707371,4.0,4.0,3.0,24.0,3.5,1.0
117,14004,1,2.4515301344262523,6.0,3.0,3.0,20.0,2.8,1.0
117,14004,2,2.8792360097775935,6.0,4.0,2.0,19.5,2.9,1.0
117,14004,3,3.8587562763149474,5.0,5.0,4.0,18.5,3.5,1.0
118,10511,1,1.0440306508910548,4.0,2.0,2.0,30.0,2.6,1.0
