instance_index,original_test_index,decile1,decile3,fam_inc,lsat,ugpa,gender,race,fulltime,predicted_class,prediction_score,target_law
59,11616,3.0,3.0,3.0,34.0,2.8,1,0,1.0,1,0.554607395631285,0
60,19664,3.0,3.0,3.0,40.0,2.5,0,0,1.0,1,0.6,0
61,10507,2.0,1.0,3.0,39.0,2.9,1,0,1.0,1,0.7230357350073359,0
62,9788,3.0,1.0,3.0,37.0,2.9,1,0,1.0,1,0.554585528347268,1
63,17677,2.0,1.0,3.0,36.0,3.0,0,0,1.0,1,0.6354653088744601,0
64,18473,2.0,1.0,3.0,27.0,2.6,0,3,1.0,1,0.8288321213963167,0
65,10747,1.0,1.0,4.0,31.0,2.8,0,2,1.0,1,0.8045043584071716,1
66,9517,1.0,1.0,4.0,32.0,2.9,1,0,1.0,1,0.6798889969822867,0
67,16775,1.0,1.0,4.0,42.0,3.0,1,3,1.0,1,0.8,1
68,20368,1.0,1.0,3.0,30.0,2.1,1,4,1.0,1,0.77,0
69,18404,4.0,1.0,5.0,30.0,2.6,1,0,1.0,1,0.52,0
70,11545,3.0,2.0,4.0,37.0,2.8,1,3,1.0,1,0.688866042469861,0
71,19902,2.0,1.0,4.0,31.0,2.5,1,1,1.0,1,0.6,1
72,15078,1.0,1.0,2.0,29.0,3.1,1,1,1.0,1,0.7058120707209983,1
73,6654,2.0,1.0,4.0,35.0,3.2,0,0,1.0,1,0.6123955503001478,0
74,3915,2.0,2.0,4.0,43.0,3.3,0,3,1.0,1,0.7741911145171894,0
75,1639,3.0,2.0,4.0,35.5,3.5,1,0,1.0,1,0.5762726901313662,0
76,10140,1.0,1.0,4.0,21.0,2.9,1,1,1.0,1,0.8279630647466197,1
77,18330,3.0,2.0,4.0,34.0,2.6,1,0,1.0,1,0.58,0
78,5461,1.0,1.0,4.0,24.5,2.2,1,0,1.0,1,0.8,1
79,16981,1.0,1.0,1.0,26.5,3.0,0,1,1.0,1,0.6655881726403717,0
80,14512,6.0,4.0,4.0,32.0,2.7,1,0,1.0,1,0.61,0
81,5705,3.0,1.0,3.0,18.0,3.2,0,3,1.0,1,0.68,1
82,17941,3.0,3.0,4.0,36.0,3.0,1,1,1.0,1,0.6182649850239498,0
83,14096,2.0,1.0,4.0,20.0,2.7,0,3,1.0,1,0.64,1
84,14047,5.0,1.0,3.0,20.0,2.7,0,3,1.0,1,0.84,1
85,20346,1.0,1.0,2.0,23.5,2.1,0,3,1.0,1,0.97,1
86,17074,1.0,1.0,3.0,33.0,3.0,1,3,1.0,1,0.5969140526599238,1
87,11100,3.0,2.0,3.0,30.0,2.8,0,3,1.0,1,0.6513793113441014,1
88,5496,3.0,4.0,4.0,22.0,2.2,1,0,1.0,1,0.64,0
89,17456,5.0,4.0,4.0,35.0,3.0,1,1,1.0,1,0.728386336076985,0
90,10929,5.0,1.0,4.0,34.0,2.8,1,0,1.0,1,0.6625520885585269,1
91,7639,5.0,2.0,3.0,42.0,2.4,1,0,1.0,1,0.52,0
92,10394,1.0,1.0,4.0,29.0,2.9,0,3,1.0,1,0.7929515208082951,0
93,15067,3.0,3.0,4.0,34.0,3.1,1,0,1.0,1,0.62,0
94,18292,3.0,2.0,3.0,24.0,2.6,1,0,1.0,1,0.82,0
95,13931,2.0,1.0,3.0,36.0,2.7,0,1,1.0,1,0.77,0
96,15999,8.0,6.0,3.0,33.0,3.1,1,3,2.0,1,0.53,0
97,3540,5.0,3.0,4.0,35.0,3.4,0,0,1.0,1,0.5649349257605837,0
98,10004,3.0,1.0,3.0,27.0,2.9,0,3,2.0,1,0.58,1
99,10060,1.0,1.0,3.0,29.0,2.9,0,1,1.0,1,0.8828151891515705,0
100,5515,1.0,1.0,3.0,28.0,2.2,0,3,1.0,1,0.8273231876164219,0
101,13644,1.0,2.0,3.0,28.0,3.7,0,3,1.0,1,0.5647921719631006,0
102,4196,9.0,9.0,4.0,40.0,3.3,1,0,1.0,1,0.5958401626042205,0
103,7084,1.0,1.0,4.0,30.5,3.2,1,0,1.0,1,0.63,1
104,16316,1.0,1.0,4.0,40.0,3.1,1,0,1.0,1,0.8479279377776651,0
105,16137,2.0,2.0,2.0,28.0,3.1,0,3,1.0,1,0.63,0
106,5114,1.0,1.0,5.0,22.5,3.3,0,0,1.0,1,0.59,1
107,9369,5.0,6.0,3.0,39.0,3.6,0,0,1.0,1,0.6383537713098623,0
108,18021,2.0,1.0,3.0,36.0,2.6,1,0,1.0,1,0.5556120286543259,0
109,14233,1.0,1.0,3.0,25.0,2.7,0,0,1.0,1,0.96,1
110,10529,2.0,1.0,4.0,38.0,2.9,1,0,1.0,1,0.5977001093930037,1
111,9845,1.0,1.0,4.0,33.5,2.9,1,0,1.0,1,0.6047554795050135,0
112,18662,1.0,1.0,4.0,37.0,3.8,0,2,1.0,1,0.5472270165111986,0
113,20182,1.0,1.0,3.0,19.3,2.3,1,3,1.0,1,0.9,1
114,14429,5.0,3.0,4.0,31.0,2.7,1,0,1.0,1,0.73,0
115,3976,3.0,2.0,4.0,36.0,3.3,0,0,1.0,1,0.5109814020493836,0
116,18206,5.0,4.0,3.0,24.0,2.6,1,3,1.0,1,0.83,0
117,14004,7.0,2.0,3.0,18.0,2.7,1,1,1.0,1,0.54,0
118,10511,4.0,1.0,2.0,30.0,2.9,1,3,1.0,1,0.56,1
119,2466,1.0,1.0,3.0,38.0,3.4,1,3,1.0,1,0.6872705453809761,0
120,9661,1.0,1.0,3.0,35.0,2.9,0,0,1.0,1,0.8210585415216488,0
121,16557,6.0,9.0,4.0,35.0,3.0,0,0,1.0,1,0.64,0
122,20211,2.0,1.0,3.0,28.0,2.3,0,2,1.0,1,0.96,1
123,8729,2.0,1.0,1.0,26.0,3.6,0,3,1.0,1,0.52,1
124,14750,1.0,1.0,4.0,26.0,3.1,1,1,1.0,1,0.7797231376617995,1
125,20049,2.0,2.0,3.0,25.0,2.5,0,3,1.0,1,0.52,0
126,12638,6.0,6.0,3.0,34.0,3.7,0,0,1.0,1,0.6593989425540886,0
127,6770,2.0,2.0,3.0,35.0,3.2,1,0,1.0,1,0.568379457907805,0
128,2233,1.0,1.0,3.0,36.0,3.4,0,0,2.0,1,0.5100784243261423,1
129,16701,1.0,1.0,3.0,29.0,3.0,1,2,1.0,1,0.9468291072164808,1
130,19996,1.0,2.0,3.0,29.0,2.5,0,0,1.0,1,0.6,1
131,20370,3.0,2.0,4.0,31.0,2.1,1,0,1.0,1,0.6168291072164809,0
132,4806,1.0,2.0,2.0,36.0,3.3,1,0,1.0,1,0.5868181191878984,0
133,14516,2.0,3.0,4.0,32.5,2.7,0,0,1.0,1,0.55,0
134,13853,6.0,1.0,3.0,26.5,2.7,1,0,2.0,1,0.56,0
135,16248,2.0,2.0,4.0,40.0,3.1,0,0,1.0,1,0.84,0
136,19970,1.0,1.0,2.0,36.0,2.5,1,0,1.0,1,0.6695911026766997,0
137,14354,6.0,4.0,3.0,38.0,2.7,1,0,1.0,1,0.5783903286520921,1
138,7583,5.0,3.0,4.0,24.0,2.4,1,3,1.0,1,0.86,1
139,5050,3.0,2.0,4.0,36.5,3.3,1,0,1.0,1,0.5268291072164808,0
140,15910,2.0,2.0,3.0,39.0,3.1,0,0,1.0,1,0.5670666783443402,0
141,11141,2.0,1.0,3.0,26.0,2.8,0,3,1.0,1,0.82,1
142,18058,1.0,1.0,4.0,30.0,2.6,0,2,1.0,1,0.8358041887769369,1
143,18038,2.0,1.0,3.0,23.5,2.6,0,3,1.0,1,0.7279630647466198,0
144,5545,3.0,1.0,3.0,22.0,2.2,0,3,1.0,1,0.63,1
145,19309,5.0,4.0,3.0,27.0,3.8,0,0,1.0,1,0.5563917270319706,0
146,17768,5.0,5.0,4.0,30.5,3.0,1,0,1.0,1,0.5088660424698611,0
147,1647,6.0,4.0,4.0,38.5,3.5,1,0,1.0,1,0.64,0
148,596,1.0,1.0,3.0,25.0,3.5,0,3,1.0,1,0.8877320849397222,0
149,9401,3.0,1.0,3.0,26.0,3.6,0,3,1.0,1,0.59,0
150,17673,3.0,2.0,4.0,38.0,3.0,1,0,1.0,1,0.7601701534827593,0
151,17730,6.0,3.0,4.0,32.0,3.0,0,0,2.0,1,0.5,0
152,15696,1.0,2.0,2.0,20.0,3.1,1,3,2.0,1,0.56,0
153,2313,5.0,2.0,3.0,38.0,3.4,0,0,1.0,1,0.65,0
154,12534,2.0,2.0,3.0,37.0,3.7,0,0,2.0,1,0.5524127508014403,0
155,20224,1.0,1.0,4.0,29.5,2.3,1,3,1.0,1,0.8176497538684053,1
156,4920,4.0,4.0,3.0,25.0,3.3,0,3,1.0,1,0.54,0
157,10859,4.0,4.0,3.0,39.0,2.8,1,0,1.0,1,0.5750757129710992,0
158,18481,1.0,1.0,2.0,34.0,2.6,0,3,1.0,1,0.6019854230037496,0
159,3870,3.0,2.0,4.0,35.0,3.3,0,0,1.0,1,0.5305475852729429,0
160,10428,4.0,4.0,3.0,22.5,2.9,0,1,1.0,1,0.5888660424698611,0
161,20322,1.0,1.0,2.0,28.0,2.1,1,3,1.0,1,0.8283428518425765,0
162,3637,3.0,2.0,4.0,36.5,3.3,0,0,1.0,1,0.5268291072164808,0
163,4053,1.0,1.0,4.0,27.0,3.3,0,3,1.0,1,0.7195911026766997,1
164,2220,6.0,8.0,3.0,32.0,3.4,0,0,1.0,1,0.7,0
165,14424,1.0,1.0,1.0,22.5,2.7,0,3,1.0,1,0.82,0
166,20102,1.0,3.0,4.0,29.0,2.3,0,3,1.0,1,0.65,0
167,14551,1.0,1.0,3.0,31.0,2.7,0,0,2.0,1,0.74541716819043,0
168,18252,3.0,2.0,5.0,32.0,2.6,1,0,1.0,1,0.5463520525314968,0
169,14829,4.0,1.0,4.0,36.0,3.1,1,2,1.0,1,0.6678689556860213,1
170,19693,2.0,1.0,3.0,30.0,2.5,1,0,1.0,1,0.9,0
171,10097,1.0,1.0,2.0,26.0,2.9,1,3,1.0,1,0.7383903286520921,1
172,10954,1.0,1.0,4.0,26.0,2.8,0,3,1.0,1,0.9593989425540888,1
173,16021,3.0,2.0,1.0,35.0,3.1,1,0,1.0,1,0.63,0
174,19072,1.0,1.0,4.0,39.0,3.8,0,0,1.0,1,0.7379630647466198,1
175,2680,1.0,1.0,3.0,29.5,3.4,0,0,1.0,1,0.5611513995287614,1
176,18112,8.0,6.0,3.0,34.0,2.6,1,0,1.0,1,0.69,0
177,19723,5.0,6.0,3.0,36.0,2.5,1,2,1.0,1,0.6,0
178,5056,1.0,1.0,3.0,35.0,3.3,0,0,1.0,1,0.8414925666432179,0
179,17126,1.0,1.0,3.0,30.0,3.0,1,0,1.0,1,0.54,0
180,311,3.0,3.0,4.0,46.0,3.5,1,0,1.0,1,0.6047085251612626,1
181,16225,1.0,1.0,2.0,30.0,3.1,1,3,1.0,1,0.94,0
182,6813,1.0,1.0,3.0,35.0,3.2,1,0,1.0,1,0.8201248526659954,0
183,8150,1.0,1.0,3.0,25.0,3.6,0,3,1.0,1,0.97,1
184,2031,5.0,4.0,3.0,28.5,3.4,1,0,1.0,1,0.5271310274938109,0
185,14513,4.0,4.0,4.0,32.0,2.7,0,1,1.0,1,0.5252114011063473,0
186,16222,2.0,2.0,4.0,23.5,3.1,0,3,1.0,1,0.678390328652092,0
187,10694,2.0,1.0,5.0,37.0,2.9,0,0,1.0,1,0.82,0
188,10841,2.0,3.0,5.0,35.0,2.8,1,0,1.0,1,0.7179630647466198,0
189,16291,1.0,1.0,3.0,30.0,3.1,1,1,1.0,1,0.91,1
190,20391,2.0,1.0,3.0,26.0,2.1,1,3,2.0,1,0.78,1
191,14639,2.0,2.0,3.0,28.0,3.1,0,3,1.0,1,0.94,0
192,9930,2.0,2.0,3.0,38.0,2.9,1,0,1.0,1,0.6653960125177606,0
193,18299,3.0,1.0,2.0,38.0,2.6,0,1,1.0,1,0.5887978851081773,0
194,14152,2.0,1.0,3.0,35.0,2.7,1,0,1.0,1,0.6459261294932395,1
195,14108,1.0,1.0,3.0,32.0,2.7,0,3,1.0,1,0.6587161884550128,0
196,2455,1.0,1.0,3.0,29.0,3.4,0,3,1.0,1,0.5131986017466,1
197,20177,2.0,2.0,4.0,36.5,2.3,1,0,1.0,1,0.5159704071075286,0
198,7476,2.0,3.0,4.0,27.0,2.4,1,0,2.0,1,0.56,1
199,10629,1.0,1.0,3.0,29.0,2.9,0,3,1.0,1,0.8828151891515705,1
200,17096,2.0,1.0,4.0,27.0,3.0,0,0,1.0,1,0.5289044908283205,0
201,7534,4.0,2.0,2.0,24.0,2.4,1,3,1.0,1,0.5088660424698611,1
202,9945,2.0,1.0,3.0,35.0,2.9,1,0,1.0,1,0.6163592836811229,1
203,15320,2.0,2.0,3.0,39.0,3.1,0,0,1.0,1,0.5670666783443402,0
204,7908,1.0,1.0,3.0,27.0,3.6,0,1,1.0,1,0.8488660424698611,0
205,5792,3.0,4.0,3.0,23.0,3.2,0,3,1.0,1,0.7259261294932395,0
206,4015,4.0,2.0,4.0,34.0,3.3,0,0,1.0,1,0.5655264163494383,1
207,2533,8.0,9.0,4.0,42.0,3.4,0,0,1.0,1,0.6259427428129013,0
208,11214,5.0,3.0,4.0,25.5,2.8,1,0,1.0,1,0.54,0
209,3252,1.0,1.0,3.0,39.0,3.4,1,3,1.0,1,0.5236793616789085,0
210,10856,10.0,5.0,4.0,37.0,2.8,1,0,1.0,1,0.56,0
211,17626,4.0,2.0,4.0,34.0,3.0,1,1,1.0,1,0.7183903286520921,0
212,11230,3.0,2.0,4.0,38.0,2.8,0,0,1.0,1,0.7468291072164809,0
213,15857,1.0,1.0,3.0,44.0,3.1,0,4,1.0,1,0.6978560877006496,0
214,14461,4.0,1.0,3.0,35.0,2.7,1,0,1.0,1,0.69,1
215,974,1.0,2.0,5.0,37.0,3.5,1,0,1.0,1,0.8033972901201107,1
216,1413,2.0,1.0,4.0,30.0,3.5,0,0,1.0,1,0.8819941399273439,0
217,10295,4.0,3.0,4.0,33.0,2.9,1,2,1.0,1,0.65,0
218,15348,2.0,2.0,4.0,42.0,3.1,0,0,1.0,1,0.6057335980448013,0
219,18596,1.0,1.0,1.0,18.0,2.6,1,3,1.0,1,0.95,1
220,11523,2.0,2.0,3.0,36.0,2.8,1,0,1.0,1,0.8,0
221,14661,1.0,1.0,2.0,32.0,3.1,1,4,1.0,1,0.8831852837239414,0
222,19052,1.0,1.0,3.0,33.0,3.8,0,1,1.0,1,0.6902353040802933,0
223,13216,2.0,1.0,2.0,41.0,3.7,1,0,1.0,1,0.6882649850239497,0
224,17823,1.0,1.0,3.0,36.0,3.0,0,3,1.0,1,0.5482194491213478,0
225,16107,1.0,1.0,3.0,28.0,3.1,0,3,1.0,1,0.7108204730642511,0
226,20421,1.0,1.0,3.0,25.0,1.8,1,4,1.0,1,0.98,1
227,8010,3.0,2.0,3.0,27.0,3.6,0,0,1.0,1,0.59,0
228,15981,1.0,1.0,2.0,28.0,3.1,1,3,1.0,1,0.6326125950778273,1
229,13313,1.0,1.0,1.0,22.0,3.7,0,3,1.0,1,0.6288660424698611,1
230,3055,2.0,2.0,2.0,33.0,3.4,1,0,1.0,1,0.5076530026647594,0
231,19906,2.0,2.0,2.0,36.0,2.5,1,0,1.0,1,0.568390328652092,0
232,7770,2.0,1.0,4.0,29.5,2.4,1,4,1.0,1,0.765695149686342,1
233,1951,1.0,1.0,3.0,39.0,3.4,1,0,1.0,1,0.5236793616789085,0
234,18675,2.0,1.0,3.0,37.0,3.8,0,3,1.0,1,0.6096636484632868,0
235,10084,3.0,2.0,3.0,37.0,2.9,0,0,1.0,1,0.6149563807005181,0
236,17548,3.0,2.0,4.0,34.0,3.0,1,0,1.0,1,0.6514277061983935,0
237,14477,4.0,3.0,3.0,27.0,2.7,1,0,2.0,1,0.5693989425540886,0
238,5773,2.0,1.0,3.0,14.5,3.2,0,3,1.0,1,0.51,1
239,14348,3.0,1.0,3.0,30.0,2.7,0,0,2.0,1,0.87,0
240,2985,10.0,10.0,4.0,45.0,3.4,0,0,1.0,1,0.6076314174260573,0
241,20064,1.0,1.0,1.0,23.5,2.3,1,1,1.0,1,0.64,0
242,17627,1.0,1.0,4.0,25.5,3.0,1,3,1.0,1,0.9087523066733924,0
243,4675,3.0,2.0,4.0,39.0,3.3,1,0,1.0,1,0.65,0
244,7222,1.0,1.0,4.0,31.0,3.2,1,0,1.0,1,0.7250940922404305,1
245,10865,3.0,1.0,4.0,36.0,2.8,0,2,1.0,1,0.7316064152100704,0
246,19677,1.0,1.0,3.0,22.0,2.5,1,3,1.0,1,0.8594621346259905,1
247,15099,2.0,1.0,2.0,25.5,3.1,1,0,1.0,1,0.7280803736125365,0
248,8382,2.0,2.0,3.0,28.0,3.6,1,1,1.0,1,0.93,0
249,7256,1.0,1.0,2.0,31.0,3.2,1,0,1.0,1,0.73,1
250,14497,1.0,1.0,4.0,31.0,2.7,1,0,1.0,1,0.9172663206188052,1
251,15839,1.0,1.0,4.0,37.0,3.1,1,0,1.0,1,0.9193989425540887,1
252,12903,2.0,1.0,3.0,33.0,3.7,1,1,2.0,1,0.5754641698794444,1
253,7845,5.0,6.0,3.0,39.0,3.6,0,0,1.0,1,0.6383537713098623,0
254,7470,1.0,1.0,2.0,34.0,2.4,1,1,1.0,1,0.684085478338434,1
255,12231,4.0,3.0,3.0,33.0,3.9,1,0,1.0,1,0.61,0
256,18024,1.0,1.0,2.0,25.0,2.6,1,2,1.0,1,0.76,1
257,14494,1.0,1.0,3.0,29.0,2.7,0,3,1.0,1,0.7170013254778124,0
258,15792,1.0,1.0,3.0,27.0,3.1,1,3,1.0,1,0.7906481201032969,1
259,17641,1.0,1.0,2.0,20.0,3.0,0,0,1.0,1,0.69,1
260,19899,1.0,1.0,3.0,27.0,2.5,0,3,1.0,1,0.9598760210710396,0
261,1240,2.0,1.0,4.0,41.0,3.5,1,0,1.0,1,0.7522393623404497,0
262,17805,2.0,1.0,3.0,36.0,3.0,1,1,1.0,1,0.6354653088744601,0
263,19803,1.0,1.0,3.0,28.0,2.5,0,3,1.0,1,0.8672712661088151,1
264,7523,1.0,1.0,3.0,19.0,2.4,1,3,2.0,1,0.64,1
265,19416,1.0,1.0,3.0,28.0,3.8,0,3,1.0,1,0.5965371161867956,1
266,17597,3.0,3.0,3.0,43.0,3.0,0,0,1.0,1,0.66,0
267,18341,7.0,7.0,4.0,40.0,2.6,1,0,1.0,1,0.72,0
268,19951,1.0,1.0,3.0,22.7,2.5,1,4,1.0,1,0.6485339174241672,1
269,4835,5.0,4.0,3.0,33.5,3.3,1,0,2.0,1,0.5587978851081774,0
270,4959,2.0,2.0,2.0,28.0,3.3,0,0,1.0,1,0.51,1
271,17932,5.0,2.0,3.0,40.0,3.0,1,0,1.0,1,0.68,0
272,10824,1.0,2.0,3.0,35.5,2.8,1,0,1.0,1,0.52,0
273,10108,1.0,1.0,4.0,36.0,2.9,1,0,1.0,1,0.9456951496863419,0
274,7655,5.0,3.0,3.0,25.0,2.4,1,3,1.0,1,0.71,1
275,17458,1.0,1.0,1.0,19.0,3.0,0,3,1.0,1,0.8,1
276,1308,1.0,2.0,3.0,26.0,3.5,0,3,1.0,1,0.67,0
277,2260,8.0,9.0,4.0,42.0,3.4,1,0,1.0,1,0.6259427428129013,0
278,17970,2.0,1.0,3.0,27.0,3.0,1,3,1.0,1,0.6988660424698611,1
279,17389,2.0,3.0,4.0,36.0,3.0,0,4,1.0,1,0.6251662970516523,0
280,14878,1.0,1.0,3.0,34.0,3.1,0,3,1.0,1,0.5759348454399664,1
281,19613,1.0,1.0,2.0,36.0,2.5,0,3,1.0,1,0.6695911026766997,0
282,10335,1.0,1.0,3.0,34.0,2.9,0,0,1.0,1,0.7431006626775846,0
283,7606,4.0,1.0,4.0,30.0,2.4,1,0,2.0,1,0.56,1
284,1624,2.0,4.0,3.0,35.0,3.5,0,0,1.0,1,0.6188660424698611,0
285,16532,1.0,1.0,2.0,33.0,3.0,1,0,1.0,1,0.6168291072164809,0
286,2033,1.0,2.0,3.0,32.0,3.4,0,1,1.0,1,0.6754895405418676,0
287,16399,2.0,2.0,3.0,32.0,3.0,0,1,1.0,1,0.688866042469861,1
288,5942,2.0,1.0,4.0,31.0,3.2,0,0,1.0,1,0.8419055175333184,0
289,356,3.0,2.0,4.0,36.0,3.5,0,0,1.0,1,0.7272270165111988,0
290,14575,1.0,1.0,4.0,37.0,2.7,0,0,1.0,1,0.6892587808984131,0
291,5433,1.0,1.0,3.0,26.0,3.3,0,2,1.0,1,0.9688660424698611,1
292,6681,1.0,1.0,3.0,27.0,3.2,0,1,1.0,1,0.9076954260011809,1
293,10052,2.0,2.0,4.0,31.0,2.9,1,0,1.0,1,0.8225598035159145,0
294,14349,1.0,1.0,3.0,31.0,2.7,0,2,1.0,1,0.569546119726342,1
295,20233,5.0,5.0,4.0,23.0,2.3,1,0,1.0,1,0.54,0
296,10793,4.0,3.0,5.0,26.0,2.8,1,0,1.0,1,0.55,0
297,14986,1.0,1.0,1.0,33.0,3.1,0,3,1.0,1,0.51,0
298,15776,5.0,7.0,4.0,37.0,3.1,1,0,1.0,1,0.5923233911979778,0
299,14704,3.0,2.0,3.0,25.0,3.1,0,3,1.0,1,0.5721075266493036,0
300,932,1.0,1.0,4.0,38.0,3.5,1,0,1.0,1,0.7252084478399905,1
301,13868,1.0,1.0,3.0,23.0,2.7,1,3,1.0,1,0.88,1
302,5549,1.0,1.0,1.0,40.0,2.2,1,3,1.0,1,0.5595911026766998,1
303,19938,1.0,1.0,4.0,36.0,2.5,1,0,1.0,1,0.82,0
304,4273,5.0,4.0,3.0,34.0,3.3,1,0,2.0,1,0.5293989425540887,0
305,10191,1.0,1.0,3.0,28.0,2.9,0,3,1.0,1,0.7667007421337158,1
306,6981,1.0,1.0,2.0,19.3,3.2,1,3,1.0,1,0.8,0
307,3822,5.0,3.0,3.0,41.0,3.3,1,0,1.0,1,0.75,0
