instance_index,original_test_index,sex,age,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,predicted_class,prediction_score,target_student
36,35,0,15,0,1,2,3,2,1,1,1,2,1,0,1,1,0,1,0,0,0,0,3,5,1,1,1,5,4,0,0.08,0
37,400,1,18,0,1,4,3,4,2,0,0,1,3,0,1,0,0,0,0,0,1,1,5,3,2,1,2,4,4,0,0.02,0
38,107,1,16,0,1,3,3,3,1,2,1,1,3,0,1,1,0,1,0,0,1,0,5,3,3,1,1,5,4,0,0.02,0
39,275,0,18,0,1,2,1,2,1,0,2,2,3,0,1,1,0,0,1,0,1,1,4,4,4,1,1,3,10,0,0.07,0
40,229,0,17,1,1,3,2,2,1,3,0,2,2,0,1,0,0,0,0,0,1,0,4,4,4,1,3,1,2,0,0.02,0
41,458,0,16,0,1,1,1,2,1,2,1,4,4,0,1,1,0,0,1,0,1,0,4,3,2,1,1,1,0,0,0.07,0
42,181,0,16,0,1,4,2,1,2,2,1,1,2,0,1,0,0,0,0,0,1,1,4,2,3,1,1,3,0,0,0.03,0
43,549,0,17,0,1,4,2,2,1,0,0,2,2,0,0,1,0,0,1,0,1,0,4,3,3,2,3,5,0,0,0.04,0
44,59,0,16,0,1,4,2,3,1,0,0,1,2,0,1,1,1,0,0,0,1,0,4,2,3,1,1,5,2,0,0.05,0
45,345,0,18,1,0,4,4,1,1,2,0,1,2,0,1,1,1,0,0,0,1,1,4,2,4,1,1,4,0,0,0.09,0
46,498,0,16,0,1,2,1,2,2,0,0,1,2,0,1,1,0,1,0,0,1,0,5,3,3,1,1,1,0,0,0.06,0
47,272,1,17,0,1,1,1,2,1,2,1,2,3,0,1,0,0,0,1,0,1,1,4,3,3,1,1,1,2,0,0.07,0
48,448,0,16,0,1,4,4,4,0,0,0,2,3,0,1,0,0,1,0,0,1,1,4,2,2,1,1,4,6,0,0.06,0
49,40,0,16,1,1,2,2,2,1,2,0,2,2,0,1,1,0,1,1,0,1,1,3,3,3,1,2,3,16,0,0.04,0
50,102,1,15,0,1,4,4,3,1,0,0,1,1,0,1,1,1,1,1,0,1,0,5,3,3,1,1,5,2,0,0.05,0
51,416,1,17,1,0,3,2,2,1,3,0,1,2,0,1,1,0,0,0,0,1,0,4,4,4,1,2,5,10,0,0.05,0
52,638,1,17,0,1,2,3,2,2,2,1,2,2,0,1,0,0,1,0,0,1,0,4,4,3,1,1,3,4,0,0.03,0
53,289,0,17,1,1,4,2,4,2,3,0,1,4,0,1,1,0,1,0,0,1,0,4,2,3,1,1,4,2,0,0.01,0
54,202,0,17,0,0,3,3,1,1,3,0,1,2,0,1,1,0,0,1,0,1,1,3,3,3,1,3,3,10,0,0.04,0
55,277,0,17,0,1,1,1,2,2,0,1,1,2,0,1,1,0,0,0,0,0,0,4,3,4,1,2,5,4,0,0.08,0
56,75,1,15,0,1,4,3,4,1,2,0,1,2,0,1,1,0,1,0,0,1,0,4,3,3,2,3,5,0,0,0.0,0
57,623,1,18,1,1,4,4,4,2,1,0,2,3,0,1,0,0,0,0,0,1,1,4,2,2,2,2,5,0,0,0.01,0
