instance_index,original_test_index,predicted_probability,SHAP_feature_1_name,SHAP_feature_1_rank,SHAP_feature_1_sign,SHAP_feature_1_value,SHAP_feature_2_name,SHAP_feature_2_rank,SHAP_feature_2_sign,SHAP_feature_2_value,SHAP_feature_3_name,SHAP_feature_3_rank,SHAP_feature_3_sign,SHAP_feature_3_value,other_feature_0_name,other_feature_0_mentioned,other_feature_0_value,other_feature_1_name,other_feature_1_mentioned,other_feature_1_value,other_feature_2_name,other_feature_2_mentioned,other_feature_2_value,other_feature_3_name,other_feature_3_mentioned,other_feature_3_value,other_feature_4_name,other_feature_4_mentioned,other_feature_4_value,other_feature_5_name,other_feature_5_mentioned,other_feature_5_value,other_feature_6_name,other_feature_6_mentioned,other_feature_6_value,other_feature_7_name,other_feature_7_mentioned,other_feature_7_value
12,17670,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
13,7585,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
14,7755,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
15,17454,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
16,16710,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
17,15093,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
18,3759,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
19,11517,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
20,6894,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
21,9840,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
22,13984,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
23,14328,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
24,10855,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
25,4259,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
26,13649,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
27,20092,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
28,6318,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
29,1869,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
30,6314,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
31,6661,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
32,10353,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
33,19741,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
34,18011,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
35,2276,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
36,10037,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
37,18437,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
38,18167,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
39,16278,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
40,11598,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
41,5477,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
42,133,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
43,9637,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
44,13939,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
45,19771,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
46,795,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
47,6325,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
48,3387,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
49,16392,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
50,4294,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
51,9991,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
52,7338,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
53,7134,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
54,6799,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
55,7767,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
56,18557,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
57,16495,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
58,8930,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
59,11616,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
60,19664,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
61,10507,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
62,9788,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
63,17677,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
64,18473,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
65,10747,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
66,9517,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
67,16775,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
68,20368,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
69,18404,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
70,11545,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
71,19902,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
72,15078,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
73,6654,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
74,3915,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
75,1639,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
76,10140,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
77,18330,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
78,5461,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
79,16981,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
80,14512,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
81,5705,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
82,17941,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
83,14096,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
84,14047,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
85,20346,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
86,17074,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
87,11100,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
88,5496,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
89,17456,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
90,10929,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
91,7639,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
92,10394,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
93,15067,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
94,18292,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
95,13931,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
96,15999,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
97,3540,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
98,10004,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
99,10060,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
100,5515,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
101,13644,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
102,4196,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
103,7084,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
104,16316,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
105,16137,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
106,5114,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
107,9369,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
108,18021,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
109,14233,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
110,10529,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
111,9845,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
112,18662,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
113,20182,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
114,14429,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
115,3976,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
116,18206,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
117,14004,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
118,10511,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
119,2466,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
120,9661,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
121,16557,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
122,20211,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
123,8729,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
124,14750,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
125,20049,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
126,12638,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
127,6770,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
128,2233,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
129,16701,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
130,19996,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
131,20370,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
132,4806,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
133,14516,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
134,13853,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
135,16248,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
136,19970,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
137,14354,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
138,7583,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
139,5050,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
140,15910,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
141,11141,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
142,18058,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
143,18038,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
144,5545,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
145,19309,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
146,17768,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
147,1647,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
148,596,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
149,9401,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
150,17673,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
151,17730,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
152,15696,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
153,2313,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
154,12534,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
155,20224,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
156,4920,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
157,10859,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
158,18481,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
159,3870,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
160,10428,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
161,20322,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
162,3637,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
163,4053,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
164,2220,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
165,14424,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
166,20102,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
167,14551,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
168,18252,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
169,14829,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
170,19693,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
171,10097,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
172,10954,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
173,16021,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
174,19072,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
175,2680,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
176,18112,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
177,19723,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
178,5056,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
179,17126,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
180,311,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
181,16225,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
182,6813,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
183,8150,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
184,2031,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
185,14513,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
186,16222,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
187,10694,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
188,10841,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
189,16291,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
190,20391,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
191,14639,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
192,9930,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
193,18299,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
194,14152,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
195,14108,,,,,,,,,,,,,,decile3,,,lsat,,,decile1,,,fam_inc,,,ugpa,,,fulltime,,,gender,,,race,,
