instance_index,original_test_index,predicted_probability,SHAP_feature_1_name,SHAP_feature_1_rank,SHAP_feature_1_sign,SHAP_feature_1_value,SHAP_feature_2_name,SHAP_feature_2_rank,SHAP_feature_2_sign,SHAP_feature_2_value,SHAP_feature_3_name,SHAP_feature_3_rank,SHAP_feature_3_sign,SHAP_feature_3_value,other_feature_0_name,other_feature_0_value,other_feature_1_name,other_feature_1_value,other_feature_2_name,other_feature_2_value,other_feature_3_name,other_feature_3_value,other_feature_4_name,other_feature_4_value
10,17276,0.65,decile3,1,1,1.0,ugpa,2,-1,3.0,lsat,3,1,28.0,decile1,6.0,fam_inc,4.0,fulltime,1.0,gender,1.0,race,0.0
11,2376,0.5743753546027753,decile1,1,1,1.0,ugpa,2,-1,3.4,decile3,3,1,2.0,fam_inc,2.0,lsat,32.0,fulltime,1.0,gender,0.0,race,3.0
12,17670,0.5979630647466198,decile3,1,1,1.0,fam_inc,2,-1,2.0,lsat,3,1,24.0,decile1,1.0,ugpa,3.0,fulltime,1.0,gender,1.0,race,3.0
13,7585,0.57,lsat,1,1,25.0,decile3,2,-1,4.0,decile1,3,1,1.0,fam_inc,4.0,ugpa,2.4,fulltime,2.0,gender,1.0,race,2.0
14,7755,0.6388660424698611,decile3,1,1,1.0,decile1,2,1,2.0,ugpa,3,-1,2.4,fam_inc,4.0,lsat,27.0,fulltime,1.0,gender,1.0,race,0.0
15,17454,0.5306860397822571,decile3,1,1,4.0,fam_inc,2,1,4.0,lsat,3,-1,30.0,decile1,5.0,ugpa,3.0,fulltime,1.0,gender,1.0,race,0.0
16,16710,0.6324636482523368,decile3,1,1,1.0,ugpa,2,-1,3.0,lsat,3,1,25.5,decile1,2.0,fam_inc,3.0,fulltime,1.0,gender,0.0,race,2.0
17,15093,0.52,lsat,1,1,21.0,ugpa,2,-1,3.1,decile1,3,-1,8.0,decile3,5.0,fam_inc,2.0,fulltime,1.0,gender,1.0,race,3.0
18,3759,0.51,lsat,1,1,24.0,ugpa,2,-1,3.3,decile3,3,-1,4.0,decile1,1.0,fam_inc,3.0,fulltime,2.0,gender,0.0,race,0.0
19,11517,0.75,decile3,1,1,2.0,decile1,2,1,3.0,lsat,3,-1,38.0,fam_inc,2.0,ugpa,2.8,fulltime,1.0,gender,0.0,race,2.0
20,6894,0.83,fulltime,1,1,2.0,decile3,2,1,3.0,fam_inc,3,1,3.0,decile1,5.0,lsat,33.0,ugpa,3.2,gender,1.0,race,0.0
21,9840,0.8210585415216488,decile3,1,1,1.0,decile1,2,1,1.0,lsat,3,-1,35.0,fam_inc,3.0,ugpa,2.9,fulltime,1.0,gender,1.0,race,0.0
22,13984,0.9334550662817682,decile3,1,1,1.0,decile1,2,1,1.0,lsat,3,1,31.0,fam_inc,5.0,ugpa,2.7,fulltime,1.0,gender,1.0,race,0.0
23,14328,0.957557942324774,decile3,1,1,1.0,decile1,2,1,2.0,lsat,3,1,28.0,fam_inc,3.0,ugpa,2.7,fulltime,1.0,gender,1.0,race,3.0
24,10855,0.8,decile3,1,1,2.0,lsat,2,-1,35.0,fam_inc,3,1,4.0,decile1,6.0,ugpa,2.8,fulltime,1.0,gender,1.0,race,0.0
25,4259,0.72,decile3,1,1,2.0,decile1,2,1,3.0,lsat,3,-1,30.5,fam_inc,3.0,ugpa,3.3,fulltime,1.0,gender,0.0,race,0.0
26,13649,0.6741844781482897,decile3,1,1,2.0,decile1,2,1,2.0,ugpa,3,-1,3.7,fam_inc,3.0,lsat,31.0,fulltime,1.0,gender,1.0,race,0.0
27,20092,0.92,decile3,1,1,1.0,lsat,2,1,26.0,decile1,3,1,1.0,fam_inc,4.0,ugpa,2.3,fulltime,1.0,gender,0.0,race,3.0
28,6318,0.65,lsat,1,1,21.3,ugpa,2,-1,3.2,decile3,3,1,2.0,decile1,6.0,fam_inc,3.0,fulltime,1.0,gender,0.0,race,1.0
29,1869,0.6045092011619347,decile3,1,1,2.0,decile1,2,1,3.0,ugpa,3,-1,3.4,fam_inc,5.0,lsat,35.0,fulltime,1.0,gender,0.0,race,1.0
30,6314,0.84,decile3,1,1,1.0,decile1,2,1,2.0,lsat,3,1,30.0,fam_inc,2.0,ugpa,3.2,fulltime,1.0,gender,1.0,race,1.0
31,6661,0.6182750924480114,decile3,1,1,2.0,lsat,2,-1,35.5,decile1,3,1,3.0,fam_inc,3.0,ugpa,3.2,fulltime,1.0,gender,1.0,race,0.0
32,10353,0.7579630647466198,decile3,1,1,2.0,decile1,2,1,3.0,lsat,3,-1,29.3,fam_inc,3.0,ugpa,2.9,fulltime,1.0,gender,0.0,race,4.0
33,19741,0.64,decile3,1,1,2.0,lsat,2,1,25.0,fam_inc,3,-1,4.0,decile1,2.0,ugpa,2.5,fulltime,1.0,gender,0.0,race,3.0
34,18011,0.96,decile3,1,1,1.0,lsat,2,1,24.0,decile1,3,1,1.0,fam_inc,3.0,ugpa,2.6,fulltime,1.0,gender,0.0,race,3.0
35,2276,0.5343989237457851,decile3,1,1,1.0,ugpa,2,-1,3.4,fam_inc,3,-1,4.0,decile1,1.0,lsat,26.0,fulltime,1.0,gender,0.0,race,1.0
36,10037,0.5486216284570867,decile3,1,-1,6.0,lsat,2,1,32.5,decile1,3,1,4.0,fam_inc,4.0,ugpa,2.9,fulltime,1.0,gender,0.0,race,0.0
37,18437,0.95,decile3,1,1,1.0,fam_inc,2,1,3.0,decile1,3,1,2.0,lsat,31.5,ugpa,2.6,fulltime,1.0,gender,0.0,race,3.0
38,18167,0.51,lsat,1,1,23.0,fam_inc,2,-1,2.0,decile1,3,-1,4.0,decile3,3.0,ugpa,2.6,fulltime,2.0,gender,1.0,race,3.0
39,16278,0.9193989425540888,decile3,1,1,1.0,decile1,2,1,1.0,lsat,3,-1,37.0,fam_inc,4.0,ugpa,3.1,fulltime,1.0,gender,1.0,race,0.0
40,11598,0.6002841734982491,decile3,1,1,1.0,lsat,2,-1,36.0,decile1,3,1,2.0,fam_inc,3.0,ugpa,2.8,fulltime,1.0,gender,1.0,race,0.0
41,5477,0.6,ugpa,1,1,2.2,lsat,2,1,31.0,decile3,3,-1,5.0,decile1,6.0,fam_inc,2.0,fulltime,1.0,gender,1.0,race,3.0
42,133,0.6188660424698611,decile3,1,1,3.0,ugpa,2,-1,3.5,lsat,3,1,33.0,decile1,5.0,fam_inc,4.0,fulltime,1.0,gender,0.0,race,1.0
43,9637,0.5161795998582728,decile1,1,1,1.0,lsat,2,-1,33.5,decile3,3,1,2.0,fam_inc,3.0,ugpa,2.9,fulltime,1.0,gender,0.0,race,0.0
44,13939,0.6258002087958449,decile3,1,1,1.0,lsat,2,-1,39.0,decile1,3,1,1.0,fam_inc,4.0,ugpa,2.7,fulltime,1.0,gender,1.0,race,3.0
45,19771,0.6988660424698611,decile3,1,1,1.0,lsat,2,-1,37.0,decile1,3,1,1.0,fam_inc,3.0,ugpa,2.5,fulltime,1.0,gender,1.0,race,3.0
46,795,0.69,decile3,1,1,1.0,decile1,2,1,1.0,ugpa,3,-1,3.5,fam_inc,1.0,lsat,27.5,fulltime,1.0,gender,1.0,race,4.0
47,6325,0.7522218536625421,decile3,1,1,2.0,ugpa,2,-1,3.2,decile1,3,1,2.0,fam_inc,4.0,lsat,34.0,fulltime,1.0,gender,0.0,race,0.0
48,3387,0.563109659418823,decile3,1,1,1.0,lsat,2,-1,35.5,ugpa,3,-1,3.4,decile1,2.0,fam_inc,2.0,fulltime,1.0,gender,1.0,race,0.0
49,16392,0.5283360943893995,decile3,1,1,2.0,ugpa,2,-1,3.1,decile1,3,1,3.0,fam_inc,3.0,lsat,31.5,fulltime,1.0,gender,1.0,race,0.0
50,4294,0.6880018254871204,decile1,1,1,4.0,lsat,2,1,35.0,decile3,3,-1,5.0,fam_inc,4.0,ugpa,3.3,fulltime,1.0,gender,1.0,race,0.0
51,9991,0.77,decile3,1,1,1.0,lsat,2,1,24.0,decile1,3,1,1.0,fam_inc,1.0,ugpa,2.9,fulltime,1.0,gender,0.0,race,3.0
52,7338,0.568379457907805,decile3,1,1,2.0,ugpa,2,-1,3.2,decile1,3,1,2.0,fam_inc,3.0,lsat,35.0,fulltime,1.0,gender,0.0,race,0.0
53,7134,0.7293517769164278,decile3,1,1,1.0,decile1,2,1,1.0,lsat,3,-1,35.0,fam_inc,4.0,ugpa,3.2,fulltime,1.0,gender,1.0,race,0.0
54,6799,0.6883494219910787,decile3,1,1,3.0,decile1,2,1,4.0,fam_inc,3,1,4.0,lsat,36.0,ugpa,3.2,fulltime,1.0,gender,0.0,race,0.0
55,7767,0.6188660424698611,decile3,1,1,1.0,lsat,2,-1,41.0,decile1,3,1,2.0,fam_inc,3.0,ugpa,2.4,fulltime,1.0,gender,1.0,race,0.0
56,18557,0.6340561237276795,decile3,1,1,1.0,decile1,2,1,2.0,fam_inc,3,-1,4.0,lsat,28.5,ugpa,2.6,fulltime,1.0,gender,0.0,race,0.0
57,16495,0.5260930589810598,decile3,1,1,2.0,fam_inc,2,-1,2.0,decile1,3,1,3.0,lsat,29.0,ugpa,3.0,fulltime,1.0,gender,1.0,race,1.0
58,8930,0.6679630647466197,decile3,1,1,1.0,decile1,2,1,1.0,ugpa,3,-1,3.6,fam_inc,2.0,lsat,31.0,fulltime,1.0,gender,0.0,race,4.0
59,11616,0.554607395631285,lsat,1,-1,34.0,decile3,2,1,3.0,decile1,3,1,3.0,fam_inc,3.0,ugpa,2.8,fulltime,1.0,gender,1.0,race,0.0
60,19664,0.6,lsat,1,-1,40.0,ugpa,2,1,2.5,decile3,3,1,3.0,decile1,3.0,fam_inc,3.0,fulltime,1.0,gender,0.0,race,0.0
61,10507,0.7230357350073359,decile3,1,1,1.0,lsat,2,-1,39.0,decile1,3,1,2.0,fam_inc,3.0,ugpa,2.9,fulltime,1.0,gender,1.0,race,0.0
62,9788,0.554585528347268,decile3,1,1,1.0,lsat,2,-1,37.0,ugpa,3,-1,2.9,decile1,3.0,fam_inc,3.0,fulltime,1.0,gender,1.0,race,0.0
63,17677,0.6354653088744601,decile3,1,1,1.0,lsat,2,-1,36.0,decile1,3,1,2.0,fam_inc,3.0,ugpa,3.0,fulltime,1.0,gender,0.0,race,0.0
64,18473,0.8288321213963167,decile3,1,1,1.0,decile1,2,1,2.0,ugpa,3,-1,2.6,fam_inc,3.0,lsat,27.0,fulltime,1.0,gender,0.0,race,3.0
65,10747,0.8045043584071716,decile3,1,1,1.0,decile1,2,1,1.0,ugpa,3,-1,2.8,fam_inc,4.0,lsat,31.0,fulltime,1.0,gender,0.0,race,2.0
66,9517,0.6798889969822867,decile3,1,1,1.0,decile1,2,1,1.0,fam_inc,3,-1,4.0,lsat,32.0,ugpa,2.9,fulltime,1.0,gender,1.0,race,0.0
67,16775,0.8,decile3,1,1,1.0,decile1,2,1,1.0,lsat,3,-1,42.0,fam_inc,4.0,ugpa,3.0,fulltime,1.0,gender,1.0,race,3.0
68,20368,0.77,decile3,1,1,1.0,decile1,2,1,1.0,ugpa,3,-1,2.1,fam_inc,3.0,lsat,30.0,fulltime,1.0,gender,1.0,race,4.0
69,18404,0.52,decile3,1,1,1.0,fam_inc,2,-1,5.0,lsat,3,-1,30.0,decile1,4.0,ugpa,2.6,fulltime,1.0,gender,1.0,race,0.0
70,11545,0.688866042469861,decile3,1,1,2.0,lsat,2,-1,37.0,decile1,3,1,3.0,fam_inc,4.0,ugpa,2.8,fulltime,1.0,gender,1.0,race,3.0
71,19902,0.6,decile3,1,1,1.0,decile1,2,1,2.0,ugpa,3,-1,2.5,fam_inc,4.0,lsat,31.0,fulltime,1.0,gender,1.0,race,1.0
72,15078,0.7058120707209983,decile3,1,1,1.0,decile1,2,1,1.0,ugpa,3,-1,3.1,fam_inc,2.0,lsat,29.0,fulltime,1.0,gender,1.0,race,1.0
73,6654,0.6123955503001478,decile3,1,1,1.0,lsat,2,-1,35.0,decile1,3,1,2.0,fam_inc,4.0,ugpa,3.2,fulltime,1.0,gender,0.0,race,0.0
74,3915,0.7741911145171894,decile3,1,1,2.0,lsat,2,-1,43.0,decile1,3,1,2.0,fam_inc,4.0,ugpa,3.3,fulltime,1.0,gender,0.0,race,3.0
75,1639,0.5762726901313662,decile3,1,1,2.0,lsat,2,-1,35.5,ugpa,3,-1,3.5,decile1,3.0,fam_inc,4.0,fulltime,1.0,gender,1.0,race,0.0
76,10140,0.8279630647466197,decile3,1,1,1.0,decile1,2,1,1.0,lsat,3,1,21.0,fam_inc,4.0,ugpa,2.9,fulltime,1.0,gender,1.0,race,1.0
77,18330,0.58,decile3,1,1,2.0,lsat,2,-1,34.0,ugpa,3,-1,2.6,decile1,3.0,fam_inc,4.0,fulltime,1.0,gender,1.0,race,0.0
78,5461,0.8,decile3,1,1,1.0,lsat,2,1,24.5,decile1,3,1,1.0,fam_inc,4.0,ugpa,2.2,fulltime,1.0,gender,1.0,race,0.0
79,16981,0.6655881726403717,decile3,1,1,1.0,ugpa,2,-1,3.0,decile1,3,1,1.0,fam_inc,1.0,lsat,26.5,fulltime,1.0,gender,0.0,race,1.0
80,14512,0.61,lsat,1,1,32.0,ugpa,2,1,2.7,decile1,3,-1,6.0,decile3,4.0,fam_inc,4.0,fulltime,1.0,gender,1.0,race,0.0
81,5705,0.68,decile3,1,1,1.0,lsat,2,1,18.0,ugpa,3,-1,3.2,decile1,3.0,fam_inc,3.0,fulltime,1.0,gender,0.0,race,3.0
82,17941,0.6182649850239498,decile3,1,1,3.0,lsat,2,-1,36.0,decile1,3,1,3.0,fam_inc,4.0,ugpa,3.0,fulltime,1.0,gender,1.0,race,1.0
83,14096,0.64,decile3,1,1,1.0,lsat,2,1,20.0,ugpa,3,-1,2.7,decile1,2.0,fam_inc,4.0,fulltime,1.0,gender,0.0,race,3.0
84,14047,0.84,decile3,1,1,1.0,lsat,2,1,20.0,decile1,3,-1,5.0,fam_inc,3.0,ugpa,2.7,fulltime,1.0,gender,0.0,race,3.0
85,20346,0.97,decile3,1,1,1.0,lsat,2,1,23.5,decile1,3,1,1.0,fam_inc,2.0,ugpa,2.1,fulltime,1.0,gender,0.0,race,3.0
86,17074,0.5969140526599238,decile3,1,1,1.0,lsat,2,-1,33.0,decile1,3,1,1.0,fam_inc,3.0,ugpa,3.0,fulltime,1.0,gender,1.0,race,3.0
87,11100,0.6513793113441014,decile3,1,1,2.0,decile1,2,1,3.0,lsat,3,-1,30.0,fam_inc,3.0,ugpa,2.8,fulltime,1.0,gender,0.0,race,3.0
88,5496,0.64,lsat,1,1,22.0,fam_inc,2,-1,4.0,decile1,3,-1,3.0,decile3,4.0,ugpa,2.2,fulltime,1.0,gender,1.0,race,0.0
89,17456,0.728386336076985,decile3,1,1,4.0,ugpa,2,1,3.0,decile1,3,1,5.0,fam_inc,4.0,lsat,35.0,fulltime,1.0,gender,1.0,race,1.0
90,10929,0.6625520885585269,decile3,1,1,1.0,decile1,2,-1,5.0,lsat,3,-1,34.0,fam_inc,4.0,ugpa,2.8,fulltime,1.0,gender,1.0,race,0.0
91,7639,0.52,lsat,1,-1,42.0,decile3,2,1,2.0,ugpa,3,1,2.4,decile1,5.0,fam_inc,3.0,fulltime,1.0,gender,1.0,race,0.0
92,10394,0.7929515208082951,decile3,1,1,1.0,decile1,2,1,1.0,fam_inc,3,-1,4.0,lsat,29.0,ugpa,2.9,fulltime,1.0,gender,0.0,race,3.0
93,15067,0.62,decile3,1,1,3.0,fam_inc,2,1,4.0,decile1,3,1,3.0,lsat,34.0,ugpa,3.1,fulltime,1.0,gender,1.0,race,0.0
94,18292,0.82,lsat,1,1,24.0,decile3,2,1,2.0,ugpa,3,-1,2.6,decile1,3.0,fam_inc,3.0,fulltime,1.0,gender,1.0,race,0.0
95,13931,0.77,decile3,1,1,1.0,lsat,2,-1,36.0,fam_inc,3,1,3.0,decile1,2.0,ugpa,2.7,fulltime,1.0,gender,0.0,race,1.0
96,15999,0.53,fulltime,1,1,2.0,decile1,2,-1,8.0,decile3,3,-1,6.0,fam_inc,3.0,lsat,33.0,ugpa,3.1,gender,1.0,race,3.0
97,3540,0.5649349257605837,decile3,1,1,3.0,decile1,2,-1,5.0,fam_inc,3,1,4.0,lsat,35.0,ugpa,3.4,fulltime,1.0,gender,0.0,race,0.0
98,10004,0.58,decile3,1,1,1.0,ugpa,2,-1,2.9,fulltime,3,1,2.0,decile1,3.0,fam_inc,3.0,lsat,27.0,gender,0.0,race,3.0
99,10060,0.8828151891515705,decile3,1,1,1.0,decile1,2,1,1.0,ugpa,3,-1,2.9,fam_inc,3.0,lsat,29.0,fulltime,1.0,gender,0.0,race,1.0
100,5515,0.8273231876164219,decile3,1,1,1.0,decile1,2,1,1.0,lsat,3,1,28.0,fam_inc,3.0,ugpa,2.2,fulltime,1.0,gender,0.0,race,3.0
101,13644,0.5647921719631006,ugpa,1,-1,3.7,decile3,2,1,2.0,decile1,3,1,1.0,fam_inc,3.0,lsat,28.0,fulltime,1.0,gender,0.0,race,3.0
102,4196,0.5958401626042205,ugpa,1,1,3.3,decile3,2,-1,9.0,lsat,3,1,40.0,decile1,9.0,fam_inc,4.0,fulltime,1.0,gender,1.0,race,0.0
103,7084,0.63,decile3,1,1,1.0,decile1,2,1,1.0,lsat,3,-1,30.5,fam_inc,4.0,ugpa,3.2,fulltime,1.0,gender,1.0,race,0.0
104,16316,0.8479279377776651,decile3,1,1,1.0,decile1,2,1,1.0,lsat,3,-1,40.0,fam_inc,4.0,ugpa,3.1,fulltime,1.0,gender,1.0,race,0.0
105,16137,0.63,decile3,1,1,2.0,ugpa,2,-1,3.1,decile1,3,1,2.0,fam_inc,2.0,lsat,28.0,fulltime,1.0,gender,0.0,race,3.0
106,5114,0.59,lsat,1,1,22.5,decile3,2,1,1.0,fam_inc,3,-1,5.0,decile1,1.0,ugpa,3.3,fulltime,1.0,gender,0.0,race,0.0
107,9369,0.6383537713098623,fam_inc,1,1,3.0,decile1,2,1,5.0,lsat,3,1,39.0,decile3,6.0,ugpa,3.6,fulltime,1.0,gender,0.0,race,0.0
108,18021,0.5556120286543259,decile3,1,1,1.0,lsat,2,-1,36.0,fam_inc,3,1,3.0,decile1,2.0,ugpa,2.6,fulltime,1.0,gender,1.0,race,0.0
109,14233,0.96,decile3,1,1,1.0,lsat,2,1,25.0,decile1,3,1,1.0,fam_inc,3.0,ugpa,2.7,fulltime,1.0,gender,0.0,race,0.0
110,10529,0.5977001093930037,decile3,1,1,1.0,lsat,2,-1,38.0,fam_inc,3,-1,4.0,decile1,2.0,ugpa,2.9,fulltime,1.0,gender,1.0,race,0.0
111,9845,0.6047554795050135,decile3,1,1,1.0,lsat,2,-1,33.5,decile1,3,1,1.0,fam_inc,4.0,ugpa,2.9,fulltime,1.0,gender,1.0,race,0.0
112,18662,0.5472270165111986,decile3,1,1,1.0,ugpa,2,-1,3.8,decile1,3,1,1.0,fam_inc,4.0,lsat,37.0,fulltime,1.0,gender,0.0,race,2.0
113,20182,0.9,decile3,1,1,1.0,lsat,2,1,19.3,decile1,3,1,1.0,fam_inc,3.0,ugpa,2.3,fulltime,1.0,gender,1.0,race,3.0
114,14429,0.73,decile3,1,1,3.0,lsat,2,1,31.0,ugpa,3,1,2.7,decile1,5.0,fam_inc,4.0,fulltime,1.0,gender,1.0,race,0.0
115,3976,0.5109814020493836,decile3,1,1,2.0,ugpa,2,-1,3.3,lsat,3,-1,36.0,decile1,3.0,fam_inc,4.0,fulltime,1.0,gender,0.0,race,0.0
116,18206,0.83,lsat,1,1,24.0,decile1,2,1,5.0,decile3,3,1,4.0,fam_inc,3.0,ugpa,2.6,fulltime,1.0,gender,1.0,race,3.0
117,14004,0.54,lsat,1,1,18.0,decile1,2,-1,7.0,ugpa,3,-1,2.7,decile3,2.0,fam_inc,3.0,fulltime,1.0,gender,1.0,race,1.0
118,10511,0.56,decile3,1,1,1.0,decile1,2,-1,4.0,fam_inc,3,-1,2.0,lsat,30.0,ugpa,2.9,fulltime,1.0,gender,1.0,race,3.0
119,2466,0.6872705453809761,decile3,1,1,1.0,decile1,2,1,1.0,lsat,3,-1,38.0,fam_inc,3.0,ugpa,3.4,fulltime,1.0,gender,1.0,race,3.0
120,9661,0.8210585415216488,decile3,1,1,1.0,decile1,2,1,1.0,lsat,3,-1,35.0,fam_inc,3.0,ugpa,2.9,fulltime,1.0,gender,0.0,race,0.0
121,16557,0.64,decile3,1,-1,9.0,ugpa,2,1,3.0,decile1,3,1,6.0,fam_inc,4.0,lsat,35.0,fulltime,1.0,gender,0.0,race,0.0
122,20211,0.96,decile3,1,1,1.0,decile1,2,1,2.0,lsat,3,1,28.0,fam_inc,3.0,ugpa,2.3,fulltime,1.0,gender,0.0,race,2.0
123,8729,0.52,ugpa,1,-1,3.6,decile3,2,1,1.0,fam_inc,3,-1,1.0,decile1,2.0,lsat,26.0,fulltime,1.0,gender,0.0,race,3.0
124,14750,0.7797231376617995,decile3,1,1,1.0,ugpa,2,-1,3.1,lsat,3,1,26.0,decile1,1.0,fam_inc,4.0,fulltime,1.0,gender,1.0,race,1.0
125,20049,0.52,decile3,1,1,2.0,fam_inc,2,-1,3.0,ugpa,3,-1,2.5,decile1,2.0,lsat,25.0,fulltime,1.0,gender,0.0,race,3.0
126,12638,0.6593989425540886,lsat,1,1,34.0,decile1,2,1,6.0,fam_inc,3,1,3.0,decile3,6.0,ugpa,3.7,fulltime,1.0,gender,0.0,race,0.0
127,6770,0.568379457907805,decile3,1,1,2.0,ugpa,2,-1,3.2,decile1,3,1,2.0,fam_inc,3.0,lsat,35.0,fulltime,1.0,gender,1.0,race,0.0
128,2233,0.5100784243261423,decile3,1,1,1.0,lsat,2,-1,36.0,ugpa,3,-1,3.4,decile1,1.0,fam_inc,3.0,fulltime,2.0,gender,0.0,race,0.0
129,16701,0.9468291072164808,decile3,1,1,1.0,decile1,2,1,1.0,ugpa,3,-1,3.0,fam_inc,3.0,lsat,29.0,fulltime,1.0,gender,1.0,race,2.0
130,19996,0.6,decile1,1,1,1.0,decile3,2,1,2.0,fulltime,3,-1,1.0,fam_inc,3.0,lsat,29.0,ugpa,2.5,gender,0.0,race,0.0
131,20370,0.6168291072164809,decile3,1,1,2.0,decile1,2,1,3.0,fam_inc,3,-1,4.0,lsat,31.0,ugpa,2.1,fulltime,1.0,gender,1.0,race,0.0
132,4806,0.5868181191878984,decile3,1,1,2.0,decile1,2,1,1.0,lsat,3,-1,36.0,fam_inc,2.0,ugpa,3.3,fulltime,1.0,gender,1.0,race,0.0
133,14516,0.55,ugpa,1,-1,2.7,decile3,2,1,3.0,fam_inc,3,1,4.0,decile1,2.0,lsat,32.5,fulltime,1.0,gender,0.0,race,0.0
134,13853,0.56,decile3,1,1,1.0,decile1,2,-1,6.0,lsat,3,1,26.5,fam_inc,3.0,ugpa,2.7,fulltime,2.0,gender,1.0,race,0.0
135,16248,0.84,decile3,1,1,2.0,decile1,2,1,2.0,lsat,3,-1,40.0,fam_inc,4.0,ugpa,3.1,fulltime,1.0,gender,0.0,race,0.0
136,19970,0.6695911026766997,decile3,1,1,1.0,lsat,2,-1,36.0,decile1,3,1,1.0,fam_inc,2.0,ugpa,2.5,fulltime,1.0,gender,1.0,race,0.0
137,14354,0.5783903286520921,lsat,1,-1,38.0,decile3,2,1,4.0,ugpa,3,1,2.7,decile1,6.0,fam_inc,3.0,fulltime,1.0,gender,1.0,race,0.0
138,7583,0.86,lsat,1,1,24.0,decile3,2,1,3.0,ugpa,3,1,2.4,decile1,5.0,fam_inc,4.0,fulltime,1.0,gender,1.0,race,3.0
139,5050,0.5268291072164808,decile3,1,1,2.0,ugpa,2,-1,3.3,decile1,3,1,3.0,fam_inc,4.0,lsat,36.5,fulltime,1.0,gender,1.0,race,0.0
140,15910,0.5670666783443402,decile3,1,1,2.0,lsat,2,-1,39.0,ugpa,3,-1,3.1,decile1,2.0,fam_inc,3.0,fulltime,1.0,gender,0.0,race,0.0
141,11141,0.82,decile3,1,1,1.0,lsat,2,1,26.0,ugpa,3,-1,2.8,decile1,2.0,fam_inc,3.0,fulltime,1.0,gender,0.0,race,3.0
142,18058,0.8358041887769369,decile3,1,1,1.0,decile1,2,1,1.0,fam_inc,3,-1,4.0,lsat,30.0,ugpa,2.6,fulltime,1.0,gender,0.0,race,2.0
143,18038,0.7279630647466198,decile3,1,1,1.0,lsat,2,1,23.5,ugpa,3,-1,2.6,decile1,2.0,fam_inc,3.0,fulltime,1.0,gender,0.0,race,3.0
144,5545,0.63,decile3,1,1,1.0,lsat,2,1,22.0,decile1,3,-1,3.0,fam_inc,3.0,ugpa,2.2,fulltime,1.0,gender,0.0,race,3.0
145,19309,0.5563917270319706,lsat,1,1,27.0,ugpa,2,-1,3.8,decile3,3,1,4.0,decile1,5.0,fam_inc,3.0,fulltime,1.0,gender,0.0,race,0.0
146,17768,0.5088660424698611,decile3,1,-1,5.0,lsat,2,1,30.5,ugpa,3,1,3.0,decile1,5.0,fam_inc,4.0,fulltime,1.0,gender,1.0,race,0.0
147,1647,0.64,decile3,1,1,4.0,lsat,2,-1,38.5,decile1,3,1,6.0,fam_inc,4.0,ugpa,3.5,fulltime,1.0,gender,1.0,race,0.0
148,596,0.8877320849397222,decile3,1,1,1.0,lsat,2,1,25.0,ugpa,3,-1,3.5,decile1,1.0,fam_inc,3.0,fulltime,1.0,gender,0.0,race,3.0
149,9401,0.59,decile3,1,1,1.0,ugpa,2,-1,3.6,lsat,3,1,26.0,decile1,3.0,fam_inc,3.0,fulltime,1.0,gender,0.0,race,3.0
