instance_index,original_test_index,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,predicted_class,prediction_score,target_credit
20,645,4,36,4,9,7980,5,2,4,0,1,4,3,27,3,1,2,3,1,2,1,1,0.39,1
21,624,1,18,3,4,2600,1,3,4,0,1,4,4,65,3,3,2,3,1,1,1,1,0.56,1
22,188,1,12,3,4,674,2,4,4,0,1,1,2,20,3,2,1,3,1,1,1,1,0.37,1
23,938,2,60,3,7,6288,1,3,4,0,1,4,4,42,3,3,1,3,1,1,1,1,0.81,1
24,878,1,9,3,1,1422,1,2,3,0,1,2,4,27,3,3,1,4,1,2,1,1,0.35,1
25,706,2,48,3,1,6560,2,4,3,0,1,2,2,24,3,2,1,3,1,1,1,1,0.55,1
26,369,2,18,3,3,3001,1,4,2,1,1,4,1,40,3,1,1,3,1,1,1,1,0.27,0
27,569,1,48,3,4,6758,1,3,3,1,1,2,3,31,3,2,1,3,1,2,1,1,0.82,1
28,790,2,21,3,9,1188,1,5,2,1,1,4,2,39,3,2,1,3,2,1,1,1,0.29,1
29,489,4,6,3,1,3518,1,3,2,0,3,3,2,26,3,1,1,3,1,1,1,1,0.25,0
30,108,1,24,3,3,7721,5,2,1,1,1,2,2,30,3,2,1,3,1,2,2,1,0.38,0
31,875,2,11,5,1,1322,4,3,4,1,1,4,3,40,3,2,2,3,1,1,1,1,0.35,0
32,443,4,12,3,7,719,1,5,4,0,1,4,3,41,1,2,1,2,2,1,1,1,0.29,1
33,60,2,9,3,9,1391,1,3,2,0,1,1,1,27,1,2,1,3,1,2,1,1,0.25,0
34,536,1,6,3,1,1374,5,1,4,1,1,3,2,75,3,2,1,4,1,2,1,1,0.26,0
35,166,1,18,3,3,1131,1,1,4,1,1,2,3,33,3,2,1,3,1,1,1,1,0.65,1
36,887,2,48,3,9,15672,1,3,2,0,1,2,3,23,3,2,1,3,1,2,1,1,0.85,1
37,585,1,18,3,3,2039,1,3,1,1,1,4,1,20,1,1,1,3,1,1,1,1,0.41,1
38,804,2,12,3,1,7472,5,1,1,1,1,2,1,24,3,1,1,1,1,1,1,1,0.25,0
39,501,1,36,3,2,5493,1,5,2,0,1,4,4,42,3,3,1,3,2,1,1,1,0.58,0
40,319,1,15,4,3,3643,1,5,1,1,1,4,2,27,3,2,2,2,1,1,1,1,0.28,0
41,287,2,48,4,10,7582,2,1,2,0,1,4,4,31,3,3,1,4,1,2,1,1,0.43,0
42,192,2,27,3,9,3915,1,3,4,0,1,2,3,36,3,2,1,3,2,2,1,1,0.32,1
43,835,1,12,1,1,1082,1,3,4,0,1,4,3,48,1,2,2,3,1,1,1,1,0.81,1
44,931,2,9,3,4,1670,1,2,4,1,1,2,3,22,3,2,1,3,1,2,1,1,0.3,1
45,141,2,36,3,4,4795,1,2,4,1,1,1,4,30,3,2,1,4,1,2,1,1,0.63,0
46,205,1,30,5,2,10623,1,5,3,0,1,4,4,38,3,3,3,4,2,2,1,1,0.56,0
47,146,1,6,5,1,860,1,5,1,1,1,4,4,39,3,2,2,3,1,2,1,1,0.27,0
48,927,1,48,3,2,10297,1,4,4,0,1,4,4,39,2,3,3,3,2,2,1,1,0.85,1
49,972,1,24,2,1,1193,1,1,1,1,2,4,4,29,3,1,2,1,1,1,1,1,0.56,1
50,373,4,60,5,1,13756,5,5,2,0,1,4,4,63,1,3,1,4,1,2,1,1,0.58,0
51,578,2,36,5,1,2820,1,2,4,0,1,4,3,27,3,2,2,3,1,1,1,1,0.37,1
52,610,1,12,3,5,741,2,1,4,1,1,3,2,22,3,2,1,3,1,1,1,1,0.51,1
53,503,2,24,5,4,1216,2,2,4,0,1,4,4,38,1,2,2,3,2,1,1,1,0.59,1
54,809,2,15,1,1,1778,1,2,2,1,1,1,1,26,3,1,2,1,1,1,1,1,0.54,1
55,775,1,24,3,1,1371,5,3,4,1,1,4,1,25,3,1,1,3,1,1,1,1,0.59,1
56,889,4,28,2,2,7824,5,2,3,0,3,4,1,40,1,1,2,3,2,2,1,1,0.39,0
57,94,2,12,3,1,1318,4,5,4,0,1,4,1,54,3,2,1,3,1,2,1,1,0.31,0
58,848,1,9,3,4,1364,1,4,3,0,1,4,1,59,3,2,1,3,1,1,1,1,0.3,0
59,310,2,48,3,10,5381,5,1,3,0,1,4,4,40,1,3,1,1,1,2,1,1,0.27,0
60,297,4,10,3,1,1287,5,5,4,0,2,2,2,45,3,2,1,2,1,1,2,1,0.39,0
61,587,1,12,3,3,1289,1,3,4,0,3,1,2,21,3,2,1,2,1,1,1,1,0.26,0
62,9,2,30,5,1,5234,1,1,4,0,1,2,3,28,3,2,2,4,1,1,1,1,0.41,1
63,853,1,18,2,1,1442,1,4,4,0,1,4,4,32,3,3,2,2,2,1,1,1,0.86,1
64,450,4,36,5,2,11054,5,3,4,0,1,2,3,30,3,2,1,4,1,2,1,1,0.27,0
65,199,2,18,4,3,4297,1,5,4,0,1,3,4,40,3,2,1,4,1,2,1,1,0.41,1
66,525,2,26,3,2,7966,1,2,2,0,1,3,3,30,3,2,2,3,1,1,1,1,0.49,0
67,979,2,15,2,1,1264,2,3,2,0,1,2,2,25,3,1,1,3,1,1,1,1,0.68,1
68,125,1,12,5,1,2121,1,3,4,0,1,2,2,30,3,2,2,3,1,1,1,1,0.45,0
69,67,2,12,3,1,1007,4,3,4,0,1,1,1,22,3,2,1,3,1,1,1,1,0.52,0
70,375,1,48,2,9,7685,1,4,2,1,3,4,3,37,3,1,1,3,1,1,1,1,0.63,1
71,148,1,36,5,3,5371,1,3,3,0,3,2,2,28,3,2,2,3,1,1,1,1,0.53,0
72,248,3,24,3,3,1925,1,3,2,0,1,2,1,26,3,2,1,3,1,1,1,1,0.37,0
73,51,2,27,4,2,5965,1,5,1,0,1,2,3,30,3,2,2,4,1,2,1,1,0.34,0
74,885,1,12,3,7,795,1,2,4,1,1,4,2,53,3,2,1,3,1,1,1,1,0.59,1
75,461,1,15,3,1,1721,1,2,2,0,1,3,1,36,3,2,1,3,1,1,1,1,0.39,0
76,72,1,8,5,10,1164,1,5,3,0,1,4,4,51,1,3,2,4,2,2,1,1,0.36,0
77,581,2,12,5,1,3124,1,2,1,0,1,3,1,49,1,2,2,2,2,1,1,1,0.28,0
78,739,2,30,1,9,4280,2,3,4,1,1,4,3,26,3,1,2,2,1,1,1,1,0.56,1
79,226,2,48,3,4,10961,4,4,1,0,2,2,4,27,1,2,2,3,1,2,1,1,0.43,1
80,822,1,36,3,3,2712,1,5,2,0,1,2,2,41,1,2,1,3,2,1,1,1,0.45,1
81,720,3,9,1,4,1337,1,2,4,0,1,2,3,34,3,2,2,4,1,2,1,1,0.34,1
82,980,2,30,5,3,8386,1,4,2,0,1,2,2,49,3,2,1,3,1,1,1,1,0.34,1
83,301,2,36,1,4,3804,1,3,4,1,1,1,3,42,3,2,1,3,1,2,1,1,0.43,1
84,359,1,30,3,3,2406,1,4,4,1,1,4,1,23,3,1,1,3,1,1,1,1,0.48,1
85,11,1,48,3,9,4308,1,2,3,1,1,4,2,24,3,1,1,3,1,1,1,1,0.59,1
86,405,2,24,3,4,2039,1,2,1,0,1,1,2,22,3,2,1,3,1,2,1,1,0.34,1
87,307,1,12,3,4,727,2,2,4,0,1,3,4,33,3,2,1,2,1,2,1,1,0.58,1
88,262,1,18,5,1,5302,1,5,2,0,1,4,4,36,3,3,3,4,1,2,1,1,0.36,0
89,704,2,27,3,9,2528,1,2,4,1,1,1,2,32,3,2,1,3,2,2,1,1,0.34,0
90,315,1,36,2,3,2746,1,5,4,0,1,4,3,31,1,2,1,3,1,1,1,1,0.59,1
91,83,1,24,3,10,1755,1,5,4,1,3,4,1,58,3,2,1,2,1,2,1,1,0.33,0
92,504,1,24,3,1,1207,1,2,4,1,1,4,2,24,3,1,1,3,1,1,1,1,0.71,1
93,320,2,30,5,1,4249,1,1,4,0,1,2,3,28,3,2,2,4,1,1,1,1,0.42,1
94,376,4,18,4,4,2320,1,1,2,0,1,3,1,34,3,2,2,3,1,1,1,1,0.33,0
95,731,1,24,3,4,1987,1,3,2,0,1,4,1,21,3,1,1,2,2,1,1,1,0.4,1
96,594,1,24,2,10,1358,5,5,4,0,1,3,3,40,2,2,1,4,1,2,1,1,0.38,1
