instance_index,original_test_index,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,predicted_class,prediction_score,target_credit
68,765,2,12,3,4,1155,1,5,3,0,3,3,1,40,1,2,2,2,1,1,1,0,0.23,0
69,467,4,48,4,4,7238,5,5,3,0,1,3,3,32,1,2,2,3,2,1,1,0,0.18,0
70,778,4,36,5,2,5711,4,5,4,0,1,2,3,38,3,2,2,4,1,2,1,0,0.02,0
71,206,4,12,5,3,1935,1,5,4,0,1,4,1,43,3,2,3,3,1,2,1,0,0.04,0
72,705,4,15,3,1,5324,3,5,1,1,1,4,4,35,3,3,1,3,1,1,1,0,0.24,0
73,241,4,6,3,4,1595,1,4,3,0,1,2,2,51,3,2,1,3,2,1,1,0,0.01,0
74,804,2,12,3,1,7472,5,1,1,1,1,2,1,24,3,1,1,1,1,1,1,0,0.25,0
75,833,2,24,3,4,5084,5,5,2,1,1,4,3,42,3,2,1,3,1,2,1,0,0.2,0
76,764,4,24,5,1,2463,2,4,4,0,1,3,2,27,3,2,2,3,1,2,1,0,0.04,0
77,361,3,12,3,4,3399,5,5,2,0,1,3,3,37,3,2,1,4,1,1,1,0,0.1,0
78,502,3,9,3,4,1126,2,5,2,0,1,4,1,49,3,2,1,3,1,1,1,0,0.19,0
79,319,1,15,4,3,3643,1,5,1,1,1,4,2,27,3,2,2,2,1,1,1,0,0.28,0
80,21,1,6,3,4,2647,3,3,2,0,1,3,1,44,3,1,1,3,2,1,1,0,0.14,0
81,287,2,48,4,10,7582,2,1,2,0,1,4,4,31,3,3,1,4,1,2,1,0,0.43,0
82,895,4,36,4,2,8947,5,4,3,0,1,2,3,31,2,2,1,4,2,2,1,0,0.1,0
83,192,2,27,3,9,3915,1,3,4,0,1,2,3,36,3,2,1,3,2,2,1,0,0.32,1
84,931,2,9,3,4,1670,1,2,4,1,1,2,3,22,3,2,1,3,1,2,1,0,0.3,1
85,118,1,33,5,3,4281,3,3,1,1,1,4,3,23,3,2,2,3,1,1,1,0,0.1,1
86,245,4,24,3,9,1258,1,4,4,0,1,1,1,25,3,2,1,3,1,2,1,0,0.16,0
87,228,4,9,3,4,1478,1,4,4,0,1,2,3,22,3,2,1,3,1,1,1,0,0.02,1
88,146,1,6,5,1,860,1,5,1,1,1,4,4,39,3,2,2,3,1,2,1,0,0.27,0
89,288,2,12,3,4,1092,1,3,4,1,3,4,1,49,3,2,2,3,1,2,1,0,0.1,0
90,488,4,10,3,1,1418,2,3,3,0,1,2,1,35,3,1,1,2,1,1,2,0,0.23,0
91,93,3,24,5,3,3617,5,5,4,0,2,4,4,20,3,1,2,3,1,1,1,0,0.14,0
92,881,4,24,3,2,9277,5,3,2,0,1,4,4,48,3,3,1,3,1,2,1,0,0.24,0
93,578,2,36,5,1,2820,1,2,4,0,1,4,3,27,3,2,2,3,1,1,1,0,0.37,1
94,916,4,10,3,2,2848,2,3,1,0,2,2,1,32,3,2,1,3,2,1,1,0,0.12,0
95,889,4,28,2,2,7824,5,2,3,0,3,4,1,40,1,1,2,3,2,2,1,0,0.39,0
96,441,1,12,3,3,1620,1,3,2,1,2,3,2,30,3,2,1,3,1,1,1,0,0.14,0
97,666,2,30,2,3,3496,4,3,4,0,1,2,3,34,2,2,1,3,2,2,1,0,0.22,0
98,94,2,12,3,1,1318,4,5,4,0,1,4,1,54,3,2,1,3,1,2,1,0,0.31,0
99,848,1,9,3,4,1364,1,4,3,0,1,4,1,59,3,2,1,3,1,1,1,0,0.3,0
100,942,4,24,3,3,929,5,4,4,0,1,2,3,31,2,2,1,3,1,2,1,0,0.1,0
101,310,2,48,3,10,5381,5,1,3,0,1,4,4,40,1,3,1,1,1,2,1,0,0.27,0
102,582,4,9,3,3,1388,1,3,4,1,1,2,1,26,3,1,1,3,1,1,1,0,0.14,0
103,297,4,10,3,1,1287,5,5,4,0,2,2,2,45,3,2,1,2,1,1,2,0,0.39,0
104,587,1,12,3,3,1289,1,3,4,0,3,1,2,21,3,2,1,2,1,1,1,0,0.26,0
105,868,4,36,3,9,7409,5,5,3,0,1,2,2,37,3,2,2,3,1,1,1,0,0.16,0
106,9,2,30,5,1,5234,1,1,4,0,1,2,3,28,3,2,2,4,1,1,1,0,0.41,1
107,966,2,27,5,4,2520,3,3,4,0,1,2,2,23,3,2,2,2,1,1,1,0,0.16,1
108,537,2,18,5,3,3612,1,5,3,1,1,4,2,37,3,2,1,3,1,2,1,0,0.24,0
109,450,4,36,5,2,11054,5,3,4,0,1,2,3,30,3,2,1,4,1,2,1,0,0.27,0
110,485,2,6,4,1,1209,1,1,4,0,1,4,2,47,3,2,1,4,1,2,1,0,0.14,1
111,995,4,12,3,3,1736,1,4,3,1,1,4,1,31,3,2,1,2,1,1,1,0,0.08,0
112,199,2,18,4,3,4297,1,5,4,0,1,3,4,40,3,2,1,4,1,2,1,0,0.41,1
113,357,4,36,4,4,4463,1,3,4,0,1,2,3,26,3,2,2,4,1,2,1,0,0.07,1
114,525,2,26,3,2,7966,1,2,2,0,1,3,3,30,3,2,2,3,1,1,1,0,0.49,0
115,586,1,9,5,1,2799,1,3,2,0,1,2,1,36,3,1,2,3,2,1,1,0,0.08,0
116,160,4,24,5,4,2872,2,5,3,0,1,4,1,36,3,2,1,3,2,2,1,0,0.04,0
117,330,1,24,5,2,6615,1,1,2,0,1,4,4,75,3,3,2,4,1,2,1,0,0.17,0
118,125,1,12,5,1,2121,1,3,4,0,1,2,2,30,3,2,2,3,1,1,1,0,0.45,0
119,277,1,12,3,3,1262,5,5,2,0,1,4,2,49,3,2,1,2,1,2,1,0,0.19,0
120,987,4,13,3,4,1409,2,1,2,1,1,4,1,64,3,2,1,3,1,1,1,0,0.14,0
121,137,2,12,3,4,766,3,3,4,0,1,3,1,66,3,2,1,2,1,1,1,0,0.08,1
122,760,4,15,5,1,5045,5,5,1,1,1,4,3,59,3,2,1,3,1,2,1,0,0.16,0
123,248,3,24,3,3,1925,1,3,2,0,1,2,1,26,3,2,1,3,1,1,1,0,0.37,0
124,51,2,27,4,2,5965,1,5,1,0,1,2,3,30,3,2,2,4,1,2,1,0,0.34,0
125,769,4,12,5,4,1655,1,5,2,0,1,4,1,63,3,2,2,2,1,2,1,0,0.03,0
126,156,1,9,5,6,1288,2,5,3,0,3,4,1,48,3,2,2,3,2,1,2,0,0.15,0
127,676,4,24,5,3,5150,1,5,4,0,1,4,3,33,3,2,1,3,1,2,1,0,0.05,0
128,453,4,24,3,2,2670,1,5,4,0,1,4,3,35,3,2,1,4,1,2,1,0,0.05,0
129,965,2,30,3,4,1715,5,3,4,1,1,1,3,26,3,2,1,3,1,1,1,0,0.14,0
130,461,1,15,3,1,1721,1,2,2,0,1,3,1,36,3,2,1,3,1,1,1,0,0.39,0
131,214,4,36,5,4,3342,5,5,4,0,1,2,3,51,3,2,1,3,1,2,1,0,0.03,0
132,104,4,12,3,2,2445,5,2,2,0,1,4,3,26,3,1,1,3,1,2,1,0,0.02,0
133,72,1,8,5,10,1164,1,5,3,0,1,4,4,51,1,3,2,4,2,2,1,0,0.36,0
134,581,2,12,5,1,3124,1,2,1,0,1,3,1,49,1,2,2,2,2,1,1,0,0.28,0
135,326,4,12,5,3,5801,5,5,2,0,1,4,2,49,3,1,1,3,1,2,1,0,0.1,0
136,226,2,48,3,4,10961,4,4,1,0,2,2,4,27,1,2,2,3,1,2,1,0,0.43,1
137,905,1,12,3,4,1107,1,3,2,0,1,2,1,20,3,1,1,4,2,2,1,0,0.2,0
138,159,4,6,5,4,1898,5,3,1,0,1,2,1,34,3,2,2,2,2,1,1,0,0.02,0
139,822,1,36,3,3,2712,1,5,2,0,1,2,2,41,1,2,1,3,2,1,1,0,0.45,1
140,720,3,9,1,4,1337,1,2,4,0,1,2,3,34,3,2,2,4,1,2,1,0,0.34,1
141,515,1,6,5,1,609,1,4,4,1,1,3,2,37,3,2,2,3,1,1,2,0,0.21,0
142,389,4,9,3,9,1449,1,4,3,1,1,2,3,27,3,2,2,3,1,1,1,0,0.06,0
143,267,4,24,3,4,1533,1,2,4,1,1,3,3,38,2,2,1,3,1,2,1,0,0.16,0
144,980,2,30,5,3,8386,1,4,2,0,1,2,2,49,3,2,1,3,1,1,1,0,0.34,1
145,234,4,4,5,4,1544,1,4,2,0,1,1,1,42,3,2,3,2,2,1,1,0,0.02,0
146,712,4,21,3,2,2476,5,5,4,0,1,4,1,46,3,2,1,4,1,2,1,0,0.05,0
147,301,2,36,1,4,3804,1,3,4,1,1,1,3,42,3,2,1,3,1,2,1,0,0.43,1
148,344,3,10,3,1,3949,1,2,1,0,3,1,2,37,3,2,1,2,2,1,1,0,0.21,0
149,359,1,30,3,3,2406,1,4,4,1,1,4,1,23,3,1,1,3,1,1,1,0,0.48,1
150,803,4,12,5,4,976,5,5,4,0,1,4,3,35,3,2,2,3,1,1,1,0,0.01,0
151,282,3,18,2,4,1445,5,4,4,0,1,4,3,49,1,2,1,2,1,1,1,0,0.23,0
152,700,4,12,3,3,1123,3,3,4,1,1,4,3,29,3,1,1,2,1,1,1,0,0.05,1
153,405,2,24,3,4,2039,1,2,1,0,1,1,2,22,3,2,1,3,1,2,1,0,0.34,1
154,262,1,18,5,1,5302,1,5,2,0,1,4,4,36,3,3,3,4,1,2,1,0,0.36,0
155,704,2,27,3,9,2528,1,2,4,1,1,1,2,32,3,2,1,3,2,2,1,0,0.34,0
156,861,4,18,4,9,2169,1,3,4,0,1,2,3,28,3,2,1,3,1,2,1,0,0.15,1
157,230,3,36,3,4,4210,1,3,4,0,1,2,3,26,3,2,1,3,1,1,1,0,0.05,1
158,83,1,24,3,10,1755,1,5,4,1,3,4,1,58,3,2,1,2,1,2,1,0,0.33,0
159,109,2,14,3,9,1410,3,5,1,0,1,2,1,35,3,2,1,3,1,2,1,0,0.16,0
160,320,2,30,5,1,4249,1,1,4,0,1,2,3,28,3,2,2,4,1,1,1,0,0.42,1
161,376,4,18,4,4,2320,1,1,2,0,1,3,1,34,3,2,2,3,1,1,1,0,0.33,0
162,731,1,24,3,4,1987,1,3,2,0,1,4,1,21,3,1,1,2,2,1,1,0,0.4,1
163,594,1,24,2,10,1358,5,5,4,0,1,3,3,40,2,2,1,4,1,2,1,0,0.38,1
164,65,4,27,3,6,5190,5,5,4,0,1,4,2,48,3,2,4,3,2,2,1,0,0.18,0
165,401,2,18,5,9,1887,5,3,4,0,1,4,1,28,1,2,2,3,1,1,1,0,0.19,0
