instance_index,original_test_index,predicted_probability,SHAP_feature_1_name,SHAP_feature_1_rank,SHAP_feature_1_sign,SHAP_feature_1_value,SHAP_feature_2_name,SHAP_feature_2_rank,SHAP_feature_2_sign,SHAP_feature_2_value,SHAP_feature_3_name,SHAP_feature_3_rank,SHAP_feature_3_sign,SHAP_feature_3_value,other_feature_0_name,other_feature_0_mentioned,other_feature_0_value,other_feature_1_name,other_feature_1_mentioned,other_feature_1_value,other_feature_2_name,other_feature_2_mentioned,other_feature_2_value,other_feature_3_name,other_feature_3_mentioned,other_feature_3_value,other_feature_4_name,other_feature_4_mentioned,other_feature_4_value,other_feature_5_name,other_feature_5_mentioned,other_feature_5_value,other_feature_6_name,other_feature_6_mentioned,other_feature_6_value,other_feature_7_name,other_feature_7_mentioned,other_feature_7_value,other_feature_8_name,other_feature_8_mentioned,other_feature_8_value,other_feature_9_name,other_feature_9_mentioned,other_feature_9_value,other_feature_10_name,other_feature_10_mentioned,other_feature_10_value,other_feature_11_name,other_feature_11_mentioned,other_feature_11_value,other_feature_12_name,other_feature_12_mentioned,other_feature_12_value,other_feature_13_name,other_feature_13_mentioned,other_feature_13_value,other_feature_14_name,other_feature_14_mentioned,other_feature_14_value,other_feature_15_name,other_feature_15_mentioned,other_feature_15_value,other_feature_16_name,other_feature_16_mentioned,other_feature_16_value,other_feature_17_name,other_feature_17_mentioned,other_feature_17_value,other_feature_18_name,other_feature_18_mentioned,other_feature_18_value,other_feature_19_name,other_feature_19_mentioned,other_feature_19_value,other_feature_20_name,other_feature_20_mentioned,other_feature_20_value,other_feature_21_name,other_feature_21_mentioned,other_feature_21_value,other_feature_22_name,other_feature_22_mentioned,other_feature_22_value,other_feature_23_name,other_feature_23_mentioned,other_feature_23_value,other_feature_24_name,other_feature_24_mentioned,other_feature_24_value,other_feature_25_name,other_feature_25_mentioned,other_feature_25_value,other_feature_26_name,other_feature_26_mentioned,other_feature_26_value,other_feature_27_name,other_feature_27_mentioned,other_feature_27_value
16,79,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
17,274,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
18,134,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
19,532,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
20,192,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
21,282,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
22,138,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
23,609,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
24,242,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
25,478,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
26,533,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
27,528,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
28,573,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
29,503,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
30,78,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
31,297,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
32,54,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
33,370,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
34,644,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
35,155,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
36,587,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
37,447,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
38,200,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
39,405,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
40,627,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
41,260,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
42,185,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
43,425,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
44,361,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
45,461,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
46,317,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
47,250,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
48,9,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
49,624,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
50,310,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
51,455,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
52,466,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
53,646,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
54,172,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
55,423,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
56,31,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
57,403,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
58,285,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
59,548,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
60,212,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
61,635,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
62,252,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
63,309,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
64,333,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
65,66,,,,,,,,,,,,,,failures,,,higher,,,famsize,,,Pstatus,,,Medu,,,Fedu,,,Mjob,,,Fjob,,,reason,,,guardian,,,traveltime,,,studytime,,,schoolsup,,,famsup,,,paid,,,activities,,,nursery,,,internet,,,romantic,,,famrel,,,freetime,,,goout,,,Dalc,,,Walc,,,absences,,,sex,,,age,,,health,,
