instance_index,original_test_index,predicted_probability,SHAP_feature_1_name,SHAP_feature_1_rank,SHAP_feature_1_sign,SHAP_feature_1_value,SHAP_feature_2_name,SHAP_feature_2_rank,SHAP_feature_2_sign,SHAP_feature_2_value,SHAP_feature_3_name,SHAP_feature_3_rank,SHAP_feature_3_sign,SHAP_feature_3_value,other_feature_0_name,other_feature_0_value,other_feature_1_name,other_feature_1_value,other_feature_2_name,other_feature_2_value,other_feature_3_name,other_feature_3_value,other_feature_4_name,other_feature_4_value,other_feature_5_name,other_feature_5_value,other_feature_6_name,other_feature_6_value,other_feature_7_name,other_feature_7_value,other_feature_8_name,other_feature_8_value,other_feature_9_name,other_feature_9_value,other_feature_10_name,other_feature_10_value,other_feature_11_name,other_feature_11_value,other_feature_12_name,other_feature_12_value,other_feature_13_name,other_feature_13_value,other_feature_14_name,other_feature_14_value,other_feature_15_name,other_feature_15_value,other_feature_16_name,other_feature_16_value,other_feature_17_name,other_feature_17_value,other_feature_18_name,other_feature_18_value,other_feature_19_name,other_feature_19_value,other_feature_20_name,other_feature_20_value,other_feature_21_name,other_feature_21_value,other_feature_22_name,other_feature_22_value,other_feature_23_name,other_feature_23_value,other_feature_24_name,other_feature_24_value
10,575,0.34,failures,1,-1,0.0,higher,2,-1,0.0,Fedu,3,-1,3.0,famsize,0.0,Pstatus,0.0,Medu,4.0,Mjob,3.0,Fjob,2.0,reason,0.0,guardian,0.0,traveltime,1.0,studytime,1.0,schoolsup,1.0,famsup,1.0,paid,0.0,activities,0.0,nursery,0.0,internet,1.0,romantic,0.0,famrel,5.0,freetime,4.0,goout,4.0,Dalc,3.0,Walc,4.0,absences,8.0,sex,0.0,age,18.0,health,2.0
11,132,0.15,failures,1,-1,0.0,higher,2,-1,0.0,freetime,3,-1,2.0,famsize,1.0,Pstatus,0.0,Medu,2.0,Fedu,1.0,Mjob,2.0,Fjob,1.0,reason,0.0,guardian,0.0,traveltime,3.0,studytime,1.0,schoolsup,1.0,famsup,1.0,paid,0.0,activities,0.0,nursery,0.0,internet,1.0,romantic,0.0,famrel,3.0,goout,2.0,Dalc,1.0,Walc,2.0,absences,8.0,sex,0.0,age,17.0,health,5.0
12,610,0.32,failures,1,1,3.0,Fjob,2,-1,4.0,guardian,3,-1,2.0,famsize,0.0,Pstatus,0.0,Medu,1.0,Fedu,1.0,Mjob,0.0,reason,0.0,traveltime,2.0,studytime,2.0,schoolsup,1.0,famsup,1.0,paid,0.0,activities,1.0,nursery,0.0,higher,1.0,internet,0.0,romantic,1.0,famrel,3.0,freetime,5.0,goout,4.0,Dalc,1.0,Walc,4.0,absences,0.0,sex,0.0,age,19.0,health,1.0
13,563,0.61,failures,1,1,1.0,freetime,2,-1,2.0,higher,3,-1,0.0,famsize,0.0,Pstatus,1.0,Medu,2.0,Fedu,2.0,Mjob,2.0,Fjob,1.0,reason,0.0,guardian,0.0,traveltime,1.0,studytime,1.0,schoolsup,1.0,famsup,0.0,paid,0.0,activities,1.0,nursery,0.0,internet,0.0,romantic,1.0,famrel,1.0,goout,1.0,Dalc,2.0,Walc,3.0,absences,0.0,sex,1.0,age,17.0,health,5.0
14,495,0.23,higher,1,1,1.0,reason,2,-1,3.0,failures,3,-1,0.0,famsize,0.0,Pstatus,1.0,Medu,3.0,Fedu,3.0,Mjob,2.0,Fjob,1.0,guardian,0.0,traveltime,1.0,studytime,1.0,schoolsup,1.0,famsup,0.0,paid,0.0,activities,1.0,nursery,0.0,internet,1.0,romantic,1.0,famrel,4.0,freetime,5.0,goout,4.0,Dalc,1.0,Walc,1.0,absences,0.0,sex,0.0,age,16.0,health,4.0
15,562,0.1,failures,1,-1,0.0,higher,2,-1,0.0,studytime,3,-1,2.0,famsize,1.0,Pstatus,1.0,Medu,2.0,Fedu,2.0,Mjob,2.0,Fjob,2.0,reason,0.0,guardian,1.0,traveltime,1.0,schoolsup,1.0,famsup,0.0,paid,0.0,activities,1.0,nursery,0.0,internet,0.0,romantic,1.0,famrel,5.0,freetime,4.0,goout,3.0,Dalc,1.0,Walc,1.0,absences,0.0,sex,0.0,age,16.0,health,1.0
16,79,0.17,failures,1,-1,0.0,higher,2,-1,0.0,Medu,3,-1,3.0,famsize,0.0,Pstatus,1.0,Fedu,4.0,Mjob,0.0,Fjob,1.0,reason,0.0,guardian,0.0,traveltime,1.0,studytime,2.0,schoolsup,1.0,famsup,1.0,paid,0.0,activities,0.0,nursery,0.0,internet,1.0,romantic,0.0,famrel,2.0,freetime,4.0,goout,3.0,Dalc,1.0,Walc,2.0,absences,14.0,sex,0.0,age,16.0,health,3.0
17,274,0.1,failures,1,-1,0.0,schoolsup,2,-1,0.0,higher,3,-1,0.0,famsize,0.0,Pstatus,1.0,Medu,1.0,Fedu,1.0,Mjob,0.0,Fjob,1.0,reason,0.0,guardian,0.0,traveltime,1.0,studytime,2.0,famsup,0.0,paid,0.0,activities,0.0,nursery,1.0,internet,0.0,romantic,1.0,famrel,4.0,freetime,3.0,goout,2.0,Dalc,1.0,Walc,1.0,absences,10.0,sex,0.0,age,17.0,health,4.0
18,134,0.13,failures,1,-1,0.0,higher,2,-1,0.0,studytime,3,1,1.0,famsize,1.0,Pstatus,1.0,Medu,2.0,Fedu,2.0,Mjob,2.0,Fjob,1.0,reason,0.0,guardian,1.0,traveltime,1.0,schoolsup,1.0,famsup,1.0,paid,0.0,activities,0.0,nursery,0.0,internet,1.0,romantic,1.0,famrel,3.0,freetime,4.0,goout,4.0,Dalc,1.0,Walc,3.0,absences,2.0,sex,0.0,age,17.0,health,5.0
19,532,0.16,failures,1,-1,0.0,freetime,2,-1,2.0,higher,3,-1,0.0,famsize,0.0,Pstatus,1.0,Medu,2.0,Fedu,1.0,Mjob,1.0,Fjob,2.0,reason,1.0,guardian,0.0,traveltime,2.0,studytime,2.0,schoolsup,1.0,famsup,0.0,paid,0.0,activities,0.0,nursery,1.0,internet,1.0,romantic,1.0,famrel,4.0,goout,2.0,Dalc,1.0,Walc,4.0,absences,2.0,sex,1.0,age,16.0,health,5.0
20,192,0.17,failures,1,-1,0.0,higher,2,-1,0.0,Mjob,3,-1,4.0,famsize,0.0,Pstatus,1.0,Medu,4.0,Fedu,2.0,Fjob,2.0,reason,1.0,guardian,0.0,traveltime,1.0,studytime,1.0,schoolsup,1.0,famsup,1.0,paid,0.0,activities,1.0,nursery,0.0,internet,1.0,romantic,1.0,famrel,4.0,freetime,3.0,goout,3.0,Dalc,3.0,Walc,4.0,absences,8.0,sex,1.0,age,16.0,health,3.0
21,282,0.44,higher,1,1,1.0,failures,2,-1,0.0,studytime,3,1,1.0,famsize,0.0,Pstatus,1.0,Medu,3.0,Fedu,2.0,Mjob,3.0,Fjob,1.0,reason,0.0,guardian,0.0,traveltime,2.0,schoolsup,1.0,famsup,0.0,paid,0.0,activities,0.0,nursery,0.0,internet,1.0,romantic,0.0,famrel,4.0,freetime,4.0,goout,5.0,Dalc,2.0,Walc,4.0,absences,8.0,sex,1.0,age,18.0,health,5.0
22,138,0.19,failures,1,-1,0.0,higher,2,-1,0.0,goout,3,-1,3.0,famsize,0.0,Pstatus,1.0,Medu,3.0,Fedu,4.0,Mjob,0.0,Fjob,0.0,reason,0.0,guardian,0.0,traveltime,4.0,studytime,2.0,schoolsup,1.0,famsup,1.0,paid,0.0,activities,0.0,nursery,0.0,internet,0.0,romantic,1.0,famrel,5.0,freetime,3.0,Dalc,1.0,Walc,1.0,absences,2.0,sex,1.0,age,15.0,health,5.0
23,609,0.21,higher,1,1,1.0,failures,2,-1,0.0,guardian,3,-1,1.0,famsize,0.0,Pstatus,1.0,Medu,1.0,Fedu,2.0,Mjob,0.0,Fjob,4.0,reason,0.0,traveltime,2.0,studytime,2.0,schoolsup,1.0,famsup,1.0,paid,0.0,activities,0.0,nursery,0.0,internet,0.0,romantic,0.0,famrel,4.0,freetime,1.0,goout,1.0,Dalc,1.0,Walc,1.0,absences,0.0,sex,0.0,age,18.0,health,4.0
24,242,0.22,failures,1,-1,0.0,schoolsup,2,-1,0.0,higher,3,-1,0.0,famsize,1.0,Pstatus,1.0,Medu,2.0,Fedu,1.0,Mjob,0.0,Fjob,1.0,reason,0.0,guardian,0.0,traveltime,4.0,studytime,2.0,famsup,1.0,paid,0.0,activities,1.0,nursery,0.0,internet,1.0,romantic,1.0,famrel,4.0,freetime,3.0,goout,2.0,Dalc,4.0,Walc,5.0,absences,2.0,sex,1.0,age,18.0,health,3.0
25,478,0.36,failures,1,1,3.0,schoolsup,2,-1,0.0,guardian,3,-1,1.0,famsize,0.0,Pstatus,1.0,Medu,1.0,Fedu,1.0,Mjob,0.0,Fjob,1.0,reason,0.0,traveltime,2.0,studytime,2.0,famsup,1.0,paid,0.0,activities,0.0,nursery,0.0,higher,0.0,internet,0.0,romantic,0.0,famrel,3.0,freetime,4.0,goout,3.0,Dalc,1.0,Walc,1.0,absences,0.0,sex,0.0,age,16.0,health,1.0
26,533,0.13,failures,1,-1,0.0,higher,2,-1,0.0,Fedu,3,1,1.0,famsize,1.0,Pstatus,1.0,Medu,2.0,Mjob,2.0,Fjob,2.0,reason,1.0,guardian,0.0,traveltime,1.0,studytime,2.0,schoolsup,1.0,famsup,0.0,paid,0.0,activities,0.0,nursery,0.0,internet,1.0,romantic,1.0,famrel,3.0,freetime,2.0,goout,2.0,Dalc,1.0,Walc,1.0,absences,0.0,sex,0.0,age,16.0,health,3.0
27,528,0.11,failures,1,-1,0.0,higher,2,-1,0.0,studytime,3,1,1.0,famsize,0.0,Pstatus,1.0,Medu,2.0,Fedu,2.0,Mjob,0.0,Fjob,1.0,reason,1.0,guardian,0.0,traveltime,1.0,schoolsup,1.0,famsup,1.0,paid,1.0,activities,0.0,nursery,0.0,internet,1.0,romantic,0.0,famrel,5.0,freetime,1.0,goout,3.0,Dalc,1.0,Walc,2.0,absences,5.0,sex,0.0,age,17.0,health,5.0
28,573,0.16,failures,1,-1,0.0,higher,2,-1,0.0,famrel,3,-1,4.0,famsize,0.0,Pstatus,1.0,Medu,1.0,Fedu,1.0,Mjob,2.0,Fjob,4.0,reason,0.0,guardian,0.0,traveltime,1.0,studytime,1.0,schoolsup,1.0,famsup,1.0,paid,0.0,activities,1.0,nursery,0.0,internet,0.0,romantic,0.0,freetime,3.0,goout,2.0,Dalc,1.0,Walc,2.0,absences,9.0,sex,0.0,age,17.0,health,5.0
29,503,0.12,failures,1,-1,0.0,studytime,2,-1,4.0,schoolsup,3,-1,0.0,famsize,0.0,Pstatus,1.0,Medu,1.0,Fedu,1.0,Mjob,2.0,Fjob,1.0,reason,0.0,guardian,2.0,traveltime,1.0,famsup,1.0,paid,0.0,activities,1.0,nursery,0.0,higher,0.0,internet,1.0,romantic,0.0,famrel,2.0,freetime,2.0,goout,1.0,Dalc,1.0,Walc,1.0,absences,0.0,sex,0.0,age,16.0,health,5.0
30,78,0.24,schoolsup,1,-1,0.0,higher,2,1,1.0,failures,3,1,3.0,famsize,0.0,Pstatus,1.0,Medu,2.0,Fedu,1.0,Mjob,2.0,Fjob,1.0,reason,2.0,guardian,0.0,traveltime,2.0,studytime,1.0,famsup,1.0,paid,0.0,activities,1.0,nursery,0.0,internet,1.0,romantic,0.0,famrel,4.0,freetime,5.0,goout,1.0,Dalc,1.0,Walc,1.0,absences,0.0,sex,1.0,age,17.0,health,3.0
31,297,0.3,higher,1,1,1.0,failures,2,-1,0.0,goout,3,-1,2.0,famsize,0.0,Pstatus,1.0,Medu,2.0,Fedu,2.0,Mjob,2.0,Fjob,2.0,reason,1.0,guardian,0.0,traveltime,2.0,studytime,1.0,schoolsup,1.0,famsup,0.0,paid,0.0,activities,0.0,nursery,1.0,internet,0.0,romantic,0.0,famrel,5.0,freetime,2.0,Dalc,1.0,Walc,1.0,absences,0.0,sex,1.0,age,17.0,health,4.0
32,54,0.11,failures,1,-1,0.0,higher,2,-1,0.0,Fedu,3,-1,3.0,famsize,1.0,Pstatus,0.0,Medu,3.0,Mjob,2.0,Fjob,1.0,reason,1.0,guardian,0.0,traveltime,1.0,studytime,1.0,schoolsup,1.0,famsup,0.0,paid,0.0,activities,0.0,nursery,0.0,internet,1.0,romantic,0.0,famrel,5.0,freetime,3.0,goout,4.0,Dalc,4.0,Walc,4.0,absences,0.0,sex,0.0,age,15.0,health,1.0
33,370,0.4,failures,1,1,2.0,famsize,2,-1,1.0,nursery,3,-1,1.0,Pstatus,0.0,Medu,1.0,Fedu,1.0,Mjob,2.0,Fjob,1.0,reason,0.0,guardian,2.0,traveltime,3.0,studytime,2.0,schoolsup,1.0,famsup,1.0,paid,0.0,activities,0.0,higher,0.0,internet,1.0,romantic,1.0,famrel,5.0,freetime,3.0,goout,4.0,Dalc,1.0,Walc,1.0,absences,2.0,sex,0.0,age,19.0,health,4.0
34,644,0.37,failures,1,1,1.0,studytime,2,-1,3.0,higher,3,-1,0.0,famsize,0.0,Pstatus,1.0,Medu,2.0,Fedu,3.0,Mjob,3.0,Fjob,1.0,reason,0.0,guardian,0.0,traveltime,1.0,schoolsup,1.0,famsup,0.0,paid,0.0,activities,1.0,nursery,1.0,internet,1.0,romantic,0.0,famrel,5.0,freetime,4.0,goout,2.0,Dalc,1.0,Walc,2.0,absences,4.0,sex,0.0,age,19.0,health,5.0
35,155,0.16,failures,1,-1,0.0,higher,2,-1,0.0,absences,3,-1,22.0,famsize,0.0,Pstatus,1.0,Medu,2.0,Fedu,1.0,Mjob,2.0,Fjob,1.0,reason,2.0,guardian,0.0,traveltime,1.0,studytime,1.0,schoolsup,1.0,famsup,1.0,paid,0.0,activities,0.0,nursery,0.0,internet,1.0,romantic,0.0,famrel,5.0,freetime,4.0,goout,5.0,Dalc,1.0,Walc,2.0,sex,1.0,age,17.0,health,5.0
36,587,0.47,failures,1,1,1.0,famsize,2,-1,1.0,studytime,3,-1,2.0,Pstatus,1.0,Medu,2.0,Fedu,2.0,Mjob,3.0,Fjob,2.0,reason,0.0,guardian,0.0,traveltime,1.0,schoolsup,1.0,famsup,1.0,paid,0.0,activities,1.0,nursery,0.0,higher,0.0,internet,1.0,romantic,0.0,famrel,2.0,freetime,3.0,goout,3.0,Dalc,1.0,Walc,2.0,absences,3.0,sex,0.0,age,18.0,health,4.0
37,447,0.34,higher,1,1,1.0,failures,2,-1,0.0,traveltime,3,-1,3.0,famsize,0.0,Pstatus,1.0,Medu,2.0,Fedu,1.0,Mjob,2.0,Fjob,1.0,reason,1.0,guardian,0.0,studytime,1.0,schoolsup,1.0,famsup,0.0,paid,0.0,activities,1.0,nursery,0.0,internet,0.0,romantic,1.0,famrel,5.0,freetime,5.0,goout,5.0,Dalc,5.0,Walc,5.0,absences,8.0,sex,1.0,age,17.0,health,3.0
38,200,0.13,failures,1,-1,0.0,higher,2,-1,0.0,Walc,3,-1,2.0,famsize,0.0,Pstatus,1.0,Medu,1.0,Fedu,2.0,Mjob,3.0,Fjob,2.0,reason,1.0,guardian,0.0,traveltime,1.0,studytime,1.0,schoolsup,1.0,famsup,1.0,paid,0.0,activities,1.0,nursery,0.0,internet,1.0,romantic,1.0,famrel,3.0,freetime,3.0,goout,3.0,Dalc,1.0,absences,0.0,sex,1.0,age,16.0,health,3.0
39,405,0.24,higher,1,1,1.0,failures,2,1,1.0,reason,3,-1,2.0,famsize,1.0,Pstatus,0.0,Medu,2.0,Fedu,3.0,Mjob,0.0,Fjob,1.0,guardian,2.0,traveltime,2.0,studytime,1.0,schoolsup,1.0,famsup,0.0,paid,0.0,activities,0.0,nursery,0.0,internet,1.0,romantic,0.0,famrel,2.0,freetime,2.0,goout,3.0,Dalc,3.0,Walc,4.0,absences,16.0,sex,0.0,age,19.0,health,5.0
40,627,0.42,higher,1,1,1.0,failures,2,-1,0.0,traveltime,3,-1,3.0,famsize,1.0,Pstatus,1.0,Medu,1.0,Fedu,2.0,Mjob,0.0,Fjob,2.0,reason,1.0,guardian,1.0,studytime,1.0,schoolsup,1.0,famsup,1.0,paid,0.0,activities,1.0,nursery,0.0,internet,1.0,romantic,1.0,famrel,4.0,freetime,3.0,goout,3.0,Dalc,2.0,Walc,3.0,absences,3.0,sex,1.0,age,18.0,health,3.0
41,260,0.59,higher,1,1,1.0,failures,2,-1,0.0,studytime,3,1,1.0,famsize,0.0,Pstatus,1.0,Medu,1.0,Fedu,2.0,Mjob,2.0,Fjob,1.0,reason,0.0,guardian,0.0,traveltime,1.0,schoolsup,1.0,famsup,0.0,paid,0.0,activities,0.0,nursery,0.0,internet,1.0,romantic,0.0,famrel,5.0,freetime,3.0,goout,5.0,Dalc,1.0,Walc,2.0,absences,4.0,sex,0.0,age,16.0,health,5.0
42,185,0.15,reason,1,-1,3.0,failures,2,-1,0.0,famrel,3,-1,4.0,famsize,0.0,Pstatus,1.0,Medu,1.0,Fedu,0.0,Mjob,2.0,Fjob,1.0,guardian,0.0,traveltime,2.0,studytime,2.0,schoolsup,1.0,famsup,1.0,paid,0.0,activities,1.0,nursery,0.0,higher,0.0,internet,1.0,romantic,1.0,freetime,3.0,goout,2.0,Dalc,1.0,Walc,1.0,absences,0.0,sex,1.0,age,16.0,health,3.0
43,425,0.51,failures,1,1,1.0,freetime,2,-1,1.0,famrel,3,-1,4.0,famsize,0.0,Pstatus,1.0,Medu,1.0,Fedu,1.0,Mjob,0.0,Fjob,2.0,reason,1.0,guardian,0.0,traveltime,1.0,studytime,1.0,schoolsup,1.0,famsup,1.0,paid,0.0,activities,0.0,nursery,0.0,higher,0.0,internet,0.0,romantic,1.0,goout,3.0,Dalc,1.0,Walc,1.0,absences,6.0,sex,0.0,age,15.0,health,2.0
44,361,0.15,failures,1,-1,0.0,higher,2,-1,0.0,Walc,3,-1,1.0,famsize,0.0,Pstatus,1.0,Medu,4.0,Fedu,2.0,Mjob,1.0,Fjob,1.0,reason,0.0,guardian,0.0,traveltime,2.0,studytime,2.0,schoolsup,1.0,famsup,1.0,paid,0.0,activities,1.0,nursery,0.0,internet,1.0,romantic,1.0,famrel,5.0,freetime,4.0,goout,4.0,Dalc,1.0,absences,9.0,sex,1.0,age,19.0,health,1.0
45,461,0.3,failures,1,-1,0.0,higher,2,-1,0.0,freetime,3,-1,2.0,famsize,0.0,Pstatus,1.0,Medu,1.0,Fedu,1.0,Mjob,0.0,Fjob,1.0,reason,1.0,guardian,0.0,traveltime,2.0,studytime,1.0,schoolsup,1.0,famsup,0.0,paid,0.0,activities,1.0,nursery,0.0,internet,1.0,romantic,1.0,famrel,4.0,goout,2.0,Dalc,4.0,Walc,3.0,absences,0.0,sex,0.0,age,16.0,health,2.0
46,317,0.11,failures,1,-1,0.0,higher,2,-1,0.0,famsize,3,-1,1.0,Pstatus,1.0,Medu,2.0,Fedu,2.0,Mjob,3.0,Fjob,1.0,reason,0.0,guardian,0.0,traveltime,2.0,studytime,2.0,schoolsup,0.0,famsup,1.0,paid,0.0,activities,0.0,nursery,0.0,internet,1.0,romantic,1.0,famrel,4.0,freetime,4.0,goout,4.0,Dalc,2.0,Walc,3.0,absences,6.0,sex,0.0,age,17.0,health,5.0
47,250,0.14,Dalc,1,1,5.0,failures,2,-1,0.0,higher,3,-1,0.0,famsize,1.0,Pstatus,1.0,Medu,2.0,Fedu,2.0,Mjob,2.0,Fjob,1.0,reason,2.0,guardian,1.0,traveltime,1.0,studytime,2.0,schoolsup,1.0,famsup,0.0,paid,0.0,activities,1.0,nursery,1.0,internet,1.0,romantic,1.0,famrel,4.0,freetime,4.0,goout,2.0,Walc,5.0,absences,0.0,sex,1.0,age,17.0,health,4.0
48,9,0.17,failures,1,-1,0.0,Fedu,2,-1,4.0,higher,3,-1,0.0,famsize,0.0,Pstatus,1.0,Medu,3.0,Mjob,2.0,Fjob,1.0,reason,2.0,guardian,0.0,traveltime,1.0,studytime,2.0,schoolsup,1.0,famsup,1.0,paid,0.0,activities,1.0,nursery,0.0,internet,1.0,romantic,0.0,famrel,5.0,freetime,5.0,goout,1.0,Dalc,1.0,Walc,1.0,absences,0.0,sex,1.0,age,15.0,health,5.0
49,624,0.35,reason,1,-1,3.0,failures,2,1,1.0,freetime,3,-1,2.0,famsize,0.0,Pstatus,1.0,Medu,1.0,Fedu,1.0,Mjob,2.0,Fjob,2.0,guardian,0.0,traveltime,3.0,studytime,1.0,schoolsup,1.0,famsup,1.0,paid,0.0,activities,0.0,nursery,0.0,higher,0.0,internet,1.0,romantic,1.0,famrel,5.0,goout,1.0,Dalc,1.0,Walc,2.0,absences,0.0,sex,0.0,age,17.0,health,1.0
50,310,0.19,higher,1,1,1.0,reason,2,-1,3.0,failures,3,-1,0.0,famsize,0.0,Pstatus,1.0,Medu,2.0,Fedu,1.0,Mjob,2.0,Fjob,1.0,guardian,0.0,traveltime,2.0,studytime,2.0,schoolsup,1.0,famsup,1.0,paid,0.0,activities,0.0,nursery,0.0,internet,1.0,romantic,1.0,famrel,4.0,freetime,3.0,goout,5.0,Dalc,1.0,Walc,2.0,absences,12.0,sex,0.0,age,18.0,health,3.0
51,455,0.11,failures,1,-1,0.0,famrel,2,-1,4.0,higher,3,-1,0.0,famsize,0.0,Pstatus,1.0,Medu,2.0,Fedu,1.0,Mjob,0.0,Fjob,1.0,reason,2.0,guardian,0.0,traveltime,1.0,studytime,2.0,schoolsup,0.0,famsup,1.0,paid,0.0,activities,0.0,nursery,1.0,internet,1.0,romantic,0.0,freetime,4.0,goout,2.0,Dalc,3.0,Walc,3.0,absences,0.0,sex,0.0,age,15.0,health,2.0
