instance_index,original_test_index,predicted_probability,SHAP_feature_1_name,SHAP_feature_1_rank,SHAP_feature_1_sign,SHAP_feature_1_value,SHAP_feature_2_name,SHAP_feature_2_rank,SHAP_feature_2_sign,SHAP_feature_2_value,SHAP_feature_3_name,SHAP_feature_3_rank,SHAP_feature_3_sign,SHAP_feature_3_value,other_feature_0_name,other_feature_0_mentioned,other_feature_0_value,other_feature_1_name,other_feature_1_mentioned,other_feature_1_value,other_feature_2_name,other_feature_2_mentioned,other_feature_2_value,other_feature_3_name,other_feature_3_mentioned,other_feature_3_value,other_feature_4_name,other_feature_4_mentioned,other_feature_4_value,other_feature_5_name,other_feature_5_mentioned,other_feature_5_value,other_feature_6_name,other_feature_6_mentioned,other_feature_6_value,other_feature_7_name,other_feature_7_mentioned,other_feature_7_value,other_feature_8_name,other_feature_8_mentioned,other_feature_8_value,other_feature_9_name,other_feature_9_mentioned,other_feature_9_value,other_feature_10_name,other_feature_10_mentioned,other_feature_10_value,other_feature_11_name,other_feature_11_mentioned,other_feature_11_value,other_feature_12_name,other_feature_12_mentioned,other_feature_12_value,other_feature_13_name,other_feature_13_mentioned,other_feature_13_value,other_feature_14_name,other_feature_14_mentioned,other_feature_14_value,other_feature_15_name,other_feature_15_mentioned,other_feature_15_value,other_feature_16_name,other_feature_16_mentioned,other_feature_16_value,other_feature_17_name,other_feature_17_mentioned,other_feature_17_value,other_feature_18_name,other_feature_18_mentioned,other_feature_18_value,other_feature_19_name,other_feature_19_mentioned,other_feature_19_value
20,503,,,,,,,,,,,,,,status,,,purpose,,,duration,,,credit_history,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
21,809,,,,,,,,,,,,,,status,,,purpose,,,duration,,,credit_history,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
22,775,,,,,,,,,,,,,,status,,,purpose,,,duration,,,credit_history,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
23,853,,,,,,,,,,,,,,status,,,purpose,,,duration,,,credit_history,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
24,979,,,,,,,,,,,,,,status,,,purpose,,,duration,,,credit_history,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
25,67,,,,,,,,,,,,,,status,,,purpose,,,duration,,,credit_history,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
26,375,,,,,,,,,,,,,,status,,,purpose,,,duration,,,credit_history,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
27,148,,,,,,,,,,,,,,status,,,purpose,,,duration,,,credit_history,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
28,885,,,,,,,,,,,,,,status,,,purpose,,,duration,,,credit_history,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
29,739,,,,,,,,,,,,,,status,,,purpose,,,duration,,,credit_history,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
30,11,,,,,,,,,,,,,,status,,,purpose,,,duration,,,credit_history,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
31,307,,,,,,,,,,,,,,status,,,purpose,,,duration,,,credit_history,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
32,315,,,,,,,,,,,,,,status,,,purpose,,,duration,,,credit_history,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
33,504,,,,,,,,,,,,,,status,,,purpose,,,duration,,,credit_history,,,amount,,,savings,,,employment_duration,,,installment_rate,,,other_debtors,,,present_residence,,,property,,,other_installment_plans,,,housing,,,number_credits,,,job,,,people_liable,,,telephone,,,age,,,sex,,,foreign_worker,,
